ESTABS_ENTRY,ESTABS_EXIT,ESTAB,YEAR,NAICS,state,county
65,80,620,2021,00,51,001
233,238,2633,2021,00,51,003
19,20,239,2021,00,51,005
18,32,232,2021,00,51,007
47,40,524,2021,00,51,009
564,632,5750,2021,00,51,013
94,115,1266,2021,00,51,015
8,12,103,2021,00,51,017
3,8,71,2021,00,51,021
63,46,679,2021,00,51,023
837,687,7096,2021,00,51,041
31,19,282,2021,00,51,011
166,143,1573,2021,00,51,019
22,24,224,2021,00,51,025
15,29,329,2021,00,51,027
14,15,230,2021,00,51,029
30,29,350,2021,00,51,033
29,25,377,2021,00,51,035
18,17,185,2021,00,51,037
5,0,59,2021,00,51,045
94,67,983,2021,00,51,047
27,24,275,2021,00,51,057
97,103,1083,2021,00,51,031
12,8,146,2021,00,51,036
31,44,330,2021,00,51,043
14,6,136,2021,00,51,049
11,15,182,2021,00,51,051
33,31,340,2021,00,51,053
187,169,1812,2021,00,51,061
26,19,299,2021,00,51,063
102,101,1095,2021,00,51,067
146,136,1469,2021,00,51,069
60,85,779,2021,00,51,073
55,72,654,2021,00,51,075
4,6,78,2021,00,51,081
3068,3124,28707,2021,00,51,059
34,30,358,2021,00,51,065
23,21,269,2021,00,51,071
38,38,330,2021,00,51,079
273,312,3070,2021,00,51,085
785,942,8550,2021,00,51,087
5,11,73,2021,00,51,091
61,46,652,2021,00,51,093
11,6,105,2021,00,51,097
36,44,447,2021,00,51,099
14,19,231,2021,00,51,105
15,17,141,2021,00,51,077
42,60,627,2021,00,51,083
43,55,746,2021,00,51,089
169,144,1582,2021,00,51,095
25,40,320,2021,00,51,101
1343,1000,10350,2021,00,51,107
10,15,142,2021,00,51,111
29,25,250,2021,00,51,113
55,74,719,2021,00,51,117
23,30,259,2021,00,51,119
39,27,335,2021,00,51,125
17,22,271,2021,00,51,133
38,41,415,2021,00,51,103
83,47,575,2021,00,51,109
10,18,166,2021,00,51,115
160,187,1824,2021,00,51,121
39,42,382,2021,00,51,127
16,28,271,2021,00,51,135
38,41,380,2021,00,51,139
19,26,246,2021,00,51,141
70,67,799,2021,00,51,143
27,51,474,2021,00,51,147
42,58,424,2021,00,51,149
20,30,275,2021,00,51,131
70,47,624,2021,00,51,137
66,60,678,2021,00,51,145
1000,782,7916,2021,00,51,153
48,51,586,2021,00,51,155
18,22,176,2021,00,51,157
216,155,1942,2021,00,51,161
32,37,392,2021,00,51,163
29,25,415,2021,00,51,167
11,23,234,2021,00,51,169
35,44,457,2021,00,51,173
12,17,200,2021,00,51,175
17,14,165,2021,00,51,159
115,126,1436,2021,00,51,165
68,73,792,2021,00,51,171
272,217,2440,2021,00,51,177
263,195,2223,2021,00,51,179
9,9,75,2021,00,51,181
54,91,850,2021,00,51,185
78,70,769,2021,00,51,187
90,101,1063,2021,00,51,191
27,48,563,2021,00,51,195
39,52,618,2021,00,51,197
385,438,4128,2021,00,51,510
40,54,550,2021,00,51,520
536,469,5233,2021,00,51,550
10,17,166,2021,00,51,183
24,20,286,2021,00,51,193
103,122,1335,2021,00,51,199
155,178,1882,2021,00,51,540
10,8,176,2021,00,51,580
67,86,1140,2021,00,51,590
122,143,1570,2021,00,51,600
63,74,783,2021,00,51,610
153,128,1292,2021,00,51,630
12,12,300,2021,00,51,640
41,35,409,2021,00,51,670
5,5,92,2021,00,51,530
55,62,562,2021,00,51,570
10,25,218,2021,00,51,595
11,31,237,2021,00,51,620
249,223,2221,2021,00,51,650
23,18,241,2021,00,51,678
132,130,1360,2021,00,51,683
31,27,275,2021,00,51,685
347,302,3465,2021,00,51,700
464,494,5053,2021,00,51,710
53,64,635,2021,00,51,730
20,25,238,2021,00,51,750
123,140,1519,2021,00,51,660
152,180,2052,2021,00,51,680
33,40,456,2021,00,51,690
14,21,201,2021,00,51,720
20,18,196,2021,00,51,735
623,607,5816,2021,00,51,760
69,62,959,2021,00,51,775
53,63,728,2021,00,51,790
1143,907,10398,2021,00,51,810
38,53,585,2021,00,51,820
55,32,562,2021,00,51,830
268,260,2907,2021,00,51,770
179,159,1583,2021,00,51,800
108,114,1293,2021,00,51,840
150,162,1498,2021,00,51,740
127,165,1773,2021,00,42,001
2630,3243,30372,2021,00,42,003
80,89,1132,2021,00,42,005
332,407,4569,2021,00,42,019
537,674,7717,2021,00,42,011
229,278,2992,2021,00,42,007
92,87,1054,2021,00,42,025
220,254,2975,2021,00,42,013
1717,1748,17509,2021,00,42,017
173,238,2750,2021,00,42,021
215,277,3057,2021,00,42,027
1252,1142,11899,2021,00,42,045
50,87,941,2021,00,42,009
93,102,1215,2021,00,42,015
8,5,104,2021,00,42,023
1222,1323,13448,2021,00,42,029
54,88,863,2021,00,42,031
117,140,1736,2021,00,42,033
106,138,1299,2021,00,42,037
107,121,1781,2021,00,42,039
521,577,6456,2021,00,42,043
356,464,5577,2021,00,42,049
170,211,2296,2021,00,42,051
370,442,4748,2021,00,42,069
42,44,617,2021,00,42,059
69,56,743,2021,00,42,035
541,485,5859,2021,00,42,041
53,57,827,2021,00,42,047
5,7,77,2021,00,42,053
210,241,2893,2021,00,42,055
13,11,230,2021,00,42,057
86,137,1628,2021,00,42,063
58,84,995,2021,00,42,065
982,954,12565,2021,00,42,071
175,207,2494,2021,00,42,075
787,806,7957,2021,00,42,077
322,339,3067,2021,00,42,089
520,550,5873,2021,00,42,095
74,76,854,2021,00,42,083
57,79,756,2021,00,42,061
36,33,456,2021,00,42,067
133,148,1717,2021,00,42,073
179,228,2503,2021,00,42,081
68,71,936,2021,00,42,087
82,102,413,2021,00,42,093
58,60,708,2021,00,42,099
3335,3427,26467,2021,00,42,101
173,227,2468,2021,00,42,107
559,700,6461,2021,00,42,079
154,255,2440,2021,00,42,085
2323,2339,24078,2021,00,42,091
60,63,837,2021,00,42,109
121,153,1510,2021,00,42,097
95,69,837,2021,00,42,103
16,18,146,2021,00,42,113
74,77,744,2021,00,42,115
65,85,874,2021,00,42,119
54,83,1050,2021,00,42,121
380,427,4758,2021,00,42,125
641,661,8065,2021,00,42,133
48,54,571,2021,00,42,131
28,24,335,2021,00,42,105
102,128,1486,2021,00,42,111
54,71,801,2021,00,42,117
38,68,806,2021,00,42,123
96,99,1148,2021,00,42,127
528,673,7680,2021,00,42,129
92,104,1369,2021,00,24,001
1271,1255,13187,2021,00,24,003
1711,1824,18180,2021,00,24,005
151,138,1581,2021,00,24,009
40,54,549,2021,00,24,011
297,344,3799,2021,00,24,013
449,480,5011,2021,00,24,025
855,889,8745,2021,00,24,027
2546,2576,24494,2021,00,24,031
100,116,1234,2021,00,24,035
158,190,1851,2021,00,24,037
194,206,2294,2021,00,24,045
169,153,1816,2021,00,24,047
1180,1256,10849,2021,00,24,510
262,303,3174,2021,00,24,043
138,136,1609,2021,00,24,015
273,219,2468,2021,00,24,017
47,58,612,2021,00,24,019
537,526,5795,2021,00,24,021
64,73,820,2021,00,24,023
37,42,527,2021,00,24,029
1818,1627,14331,2021,00,24,033
18,26,311,2021,00,24,039
122,111,1313,2021,00,24,041
546,347,3779,2021,00,10,001
1702,1511,14907,2021,00,10,003
564,459,5394,2021,00,10,005
20,18,193,2021,00,54,001
157,132,1560,2021,00,54,003
12,11,217,2021,00,54,005
13,17,224,2021,00,54,007
26,26,391,2021,00,54,009
135,184,2055,2021,00,54,011
8,19,74,2021,00,54,013
4,9,65,2021,00,54,015
14,10,218,2021,00,54,023
61,77,805,2021,00,54,025
13,24,274,2021,00,54,027
23,40,465,2021,00,54,029
18,21,247,2021,00,54,031
30,41,425,2021,00,54,035
112,88,855,2021,00,54,037
37,36,321,2021,00,54,041
9,16,144,2021,00,54,043
27,42,522,2021,00,54,045
13,21,178,2021,00,54,047
75,93,1017,2021,00,54,049
33,21,415,2021,00,54,057
15,15,207,2021,00,54,065
10,11,124,2021,00,54,073
15,16,193,2021,00,54,075
15,23,196,2021,00,54,091
18,15,148,2021,00,54,093
8,4,54,2021,00,54,105
125,151,1796,2021,00,54,107
26,20,250,2021,00,54,109
24,24,311,2021,00,54,103
7,7,71,2021,00,54,017
43,72,662,2021,00,54,019
6,10,93,2021,00,54,021
132,136,1651,2021,00,54,033
309,397,4238,2021,00,54,039
34,32,454,2021,00,54,051
17,26,296,2021,00,54,053
87,85,1109,2021,00,54,055
22,55,296,2021,00,54,059
245,201,2227,2021,00,54,061
8,16,141,2021,00,54,063
41,55,504,2021,00,54,067
76,92,1231,2021,00,54,069
11,13,123,2021,00,54,071
37,45,467,2021,00,54,077
99,81,1116,2021,00,54,079
112,120,1526,2021,00,54,081
51,35,596,2021,00,54,083
11,12,169,2021,00,54,085
18,17,190,2021,00,54,087
14,14,160,2021,00,54,089
9,12,119,2021,00,54,095
34,42,472,2021,00,54,097
30,51,558,2021,00,54,099
5,10,105,2021,00,54,101
19,19,299,2021,00,21,001
18,17,222,2021,00,21,003
28,27,310,2021,00,21,005
14,6,134,2021,00,21,007
61,75,774,2021,00,21,009
16,6,126,2021,00,21,011
33,31,431,2021,00,21,013
10,12,150,2021,00,21,025
24,11,270,2021,00,21,027
132,72,1105,2021,00,21,029
15,15,171,2021,00,21,031
149,129,1563,2021,00,21,037
4,5,79,2021,00,21,039
12,18,205,2021,00,21,041
79,94,1201,2021,00,21,047
0,6,96,2021,00,21,057
3,6,35,2021,00,21,063
12,18,152,2021,00,21,065
65,50,622,2021,00,21,083
9,17,146,2021,00,21,087
32,45,400,2021,00,21,089
13,6,103,2021,00,21,091
222,148,2071,2021,00,21,093
18,29,243,2021,00,21,097
20,21,240,2021,00,21,099
79,67,915,2021,00,21,101
18,18,194,2021,00,21,103
7,6,66,2021,00,21,105
47,66,854,2021,00,21,107
10,6,93,2021,00,21,109
1720,1740,18285,2021,00,21,111
124,85,1117,2021,00,21,113
247,215,2874,2021,00,21,117
16,13,149,2021,00,21,119
100,83,1073,2021,00,21,125
7,7,87,2021,00,21,131
17,28,259,2021,00,21,133
8,12,120,2021,00,21,135
26,30,267,2021,00,21,137
8,19,125,2021,00,21,139
144,150,1932,2021,00,21,145
146,146,1589,2021,00,21,151
17,14,138,2021,00,21,153
26,27,310,2021,00,21,155
54,53,645,2021,00,21,157
12,10,117,2021,00,21,159
35,25,323,2021,00,21,163
32,31,314,2021,00,21,167
10,8,108,2021,00,21,169
17,14,189,2021,00,21,171
52,40,506,2021,00,21,173
14,15,148,2021,00,21,175
30,40,474,2021,00,21,177
92,76,913,2021,00,21,179
17,12,117,2021,00,21,187
0,4,38,2021,00,21,189
14,10,155,2021,00,21,191
56,50,517,2021,00,21,193
71,117,1025,2021,00,21,195
10,7,160,2021,00,21,197
113,86,1345,2021,00,21,199
51,21,495,2021,00,21,205
20,22,306,2021,00,21,207
88,65,921,2021,00,21,209
88,87,965,2021,00,21,211
24,25,198,2021,00,21,215
14,14,178,2021,00,21,219
4,3,67,2021,00,21,223
10,14,225,2021,00,21,225
18,24,215,2021,00,21,229
13,11,192,2021,00,21,233
46,47,555,2021,00,21,235
5,13,65,2021,00,21,237
42,54,504,2021,00,21,239
266,270,2989,2021,00,21,015
30,39,345,2021,00,21,017
71,107,1088,2021,00,21,019
54,44,697,2021,00,21,021
5,6,86,2021,00,21,023
20,29,363,2021,00,21,043
14,22,240,2021,00,21,033
85,59,808,2021,00,21,035
20,24,200,2021,00,21,045
66,65,697,2021,00,21,049
12,22,212,2021,00,21,051
225,171,2220,2021,00,21,059
11,15,164,2021,00,21,053
9,17,137,2021,00,21,055
9,7,98,2021,00,21,061
804,731,8186,2021,00,21,067
17,21,207,2021,00,21,069
73,64,643,2021,00,21,071
85,95,1128,2021,00,21,073
6,11,119,2021,00,21,075
6,6,90,2021,00,21,077
29,24,206,2021,00,21,079
31,33,332,2021,00,21,081
34,30,406,2021,00,21,085
27,42,340,2021,00,21,095
27,34,319,2021,00,21,115
31,37,478,2021,00,21,121
19,12,198,2021,00,21,123
19,22,202,2021,00,21,127
4,0,90,2021,00,21,129
27,34,437,2021,00,21,141
14,10,150,2021,00,21,143
12,16,141,2021,00,21,147
14,10,153,2021,00,21,149
26,32,387,2021,00,21,161
3,3,49,2021,00,21,165
6,8,67,2021,00,21,181
30,24,347,2021,00,21,183
142,135,1087,2021,00,21,185
0,0,19,2021,00,21,201
16,13,181,2021,00,21,203
33,28,375,2021,00,21,213
41,57,529,2021,00,21,217
17,18,198,2021,00,21,221
242,190,2731,2021,00,21,227
13,21,247,2021,00,21,231
130,96,1479,2021,00,47,001
73,50,789,2021,00,47,003
19,23,262,2021,00,47,005
5,10,105,2021,00,47,007
180,169,2252,2021,00,47,009
169,137,1895,2021,00,47,011
41,44,524,2021,00,47,013
16,19,184,2021,00,47,015
31,40,405,2021,00,47,017
69,44,686,2021,00,47,019
23,17,414,2021,00,47,025
6,6,86,2021,00,47,027
34,33,425,2021,00,47,029
102,70,1186,2021,00,47,031
23,20,223,2021,00,47,033
101,77,1033,2021,00,47,035
2234,1886,19213,2021,00,47,037
22,21,199,2021,00,47,039
31,22,300,2021,00,47,041
54,49,735,2021,00,47,045
105,62,645,2021,00,47,047
29,20,251,2021,00,47,049
57,51,664,2021,00,47,051
81,77,855,2021,00,47,053
39,41,507,2021,00,47,055
25,16,217,2021,00,47,057
88,73,1133,2021,00,47,059
7,11,129,2021,00,47,061
96,89,1225,2021,00,47,063
960,739,8934,2021,00,47,065
5,0,53,2021,00,47,067
37,34,332,2021,00,47,069
53,44,569,2021,00,47,073
25,26,266,2021,00,47,075
38,35,454,2021,00,47,077
52,55,647,2021,00,47,079
24,30,273,2021,00,47,081
12,12,98,2021,00,47,083
34,31,309,2021,00,47,085
66,63,681,2021,00,47,089
25,15,218,2021,00,47,091
1146,925,11261,2021,00,47,093
6,6,62,2021,00,47,095
19,34,267,2021,00,47,097
68,52,714,2021,00,47,099
22,13,210,2021,00,47,101
44,44,543,2021,00,47,103
68,72,904,2021,00,47,105
71,60,881,2021,00,47,107
36,26,385,2021,00,47,109
22,27,292,2021,00,47,111
209,190,2418,2021,00,47,113
44,35,433,2021,00,47,115
41,31,493,2021,00,47,117
189,132,1750,2021,00,47,119
10,8,91,2021,00,47,121
60,55,677,2021,00,47,123
353,265,2924,2021,00,47,125
8,0,76,2021,00,47,127
7,12,136,2021,00,47,129
47,48,584,2021,00,47,131
33,27,318,2021,00,47,133
9,7,103,2021,00,47,135
5,9,71,2021,00,47,137
26,25,202,2021,00,47,139
171,126,1779,2021,00,47,141
34,40,459,2021,00,47,143
49,61,687,2021,00,47,145
127,99,1214,2021,00,47,147
607,456,5385,2021,00,47,149
19,16,309,2021,00,47,151
13,15,176,2021,00,47,153
266,222,2713,2021,00,47,155
1957,1618,18541,2021,00,47,157
26,25,257,2021,00,47,159
16,12,157,2021,00,47,161
259,287,3066,2021,00,47,163
390,261,3222,2021,00,47,165
71,70,670,2021,00,47,167
16,12,113,2021,00,47,169
17,15,224,2021,00,47,171
14,12,187,2021,00,47,173
10,8,43,2021,00,47,175
241,256,2796,2021,00,47,179
25,15,200,2021,00,47,181
34,48,511,2021,00,47,183
326,246,2776,2021,00,47,189
945,702,7278,2021,00,47,187
68,55,607,2021,00,47,021
