Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
CAINC5N-46,10001,"Kent, DE",2021,Thousands of dollars,3,1264182,5
CAINC5N-46,10001,"Kent, DE",2020,Thousands of dollars,3,1229813,5
CAINC5N-46,10001,"Kent, DE",2022,Thousands of dollars,3,1367657,5
CAINC5N-46,10003,"New Castle, DE",2021,Thousands of dollars,3,6486953,5
CAINC5N-46,10003,"New Castle, DE",2020,Thousands of dollars,3,5862011,5
CAINC5N-46,10003,"New Castle, DE",2022,Thousands of dollars,3,7103894,5
CAINC5N-46,10005,"Sussex, DE",2021,Thousands of dollars,3,3239646,5
CAINC5N-46,10005,"Sussex, DE",2020,Thousands of dollars,3,2833235,5
CAINC5N-46,10005,"Sussex, DE",2022,Thousands of dollars,3,3732936,5
CAINC5N-46,13001,"Appling, GA",2021,Thousands of dollars,3,78855,5
CAINC5N-46,13001,"Appling, GA",2020,Thousands of dollars,3,74621,5
CAINC5N-46,13001,"Appling, GA",2022,Thousands of dollars,3,82489,5
CAINC5N-46,13003,"Atkinson, GA",2022,Thousands of dollars,3,24017,5
CAINC5N-46,13003,"Atkinson, GA",2021,Thousands of dollars,3,27872,5
CAINC5N-46,13003,"Atkinson, GA",2020,Thousands of dollars,3,26966,5
CAINC5N-46,13005,"Bacon, GA",2021,Thousands of dollars,3,45596,5
CAINC5N-46,13005,"Bacon, GA",2020,Thousands of dollars,3,42107,5
CAINC5N-46,13005,"Bacon, GA",2022,Thousands of dollars,3,43073,5
CAINC5N-46,13007,"Baker, GA",2021,Thousands of dollars,3,22885,5
CAINC5N-46,13007,"Baker, GA",2020,Thousands of dollars,3,24431,5
CAINC5N-46,13007,"Baker, GA",2022,Thousands of dollars,3,17640,5
CAINC5N-46,13009,"Baldwin, GA",2021,Thousands of dollars,3,338808,5
CAINC5N-46,13009,"Baldwin, GA",2020,Thousands of dollars,3,282555,5
CAINC5N-46,13009,"Baldwin, GA",2022,Thousands of dollars,3,399658,5
CAINC5N-46,13011,"Banks, GA",2021,Thousands of dollars,3,107641,5
CAINC5N-46,13011,"Banks, GA",2020,Thousands of dollars,3,107820,5
CAINC5N-46,13011,"Banks, GA",2022,Thousands of dollars,3,93828,5
CAINC5N-46,13013,"Barrow, GA",2021,Thousands of dollars,3,458804,5
CAINC5N-46,13013,"Barrow, GA",2020,Thousands of dollars,3,430805,5
CAINC5N-46,13013,"Barrow, GA",2022,Thousands of dollars,3,518831,5
CAINC5N-46,13015,"Bartow, GA",2020,Thousands of dollars,3,649390,5
CAINC5N-46,13015,"Bartow, GA",2021,Thousands of dollars,3,687959,5
CAINC5N-46,13015,"Bartow, GA",2022,Thousands of dollars,3,714956,5
CAINC5N-46,13017,"Ben Hill, GA",2021,Thousands of dollars,3,95384,5
CAINC5N-46,13017,"Ben Hill, GA",2020,Thousands of dollars,3,83167,5
CAINC5N-46,13017,"Ben Hill, GA",2022,Thousands of dollars,3,113653,5
CAINC5N-46,13019,"Berrien, GA",2021,Thousands of dollars,3,104919,5
CAINC5N-46,13019,"Berrien, GA",2020,Thousands of dollars,3,106862,5
CAINC5N-46,13019,"Berrien, GA",2022,Thousands of dollars,3,101793,5
CAINC5N-46,13021,"Bibb, GA",2021,Thousands of dollars,3,1244694,5
CAINC5N-46,13021,"Bibb, GA",2020,Thousands of dollars,3,1159515,5
CAINC5N-46,13021,"Bibb, GA",2022,Thousands of dollars,3,1333610,5
CAINC5N-46,13023,"Bleckley, GA",2021,Thousands of dollars,3,90925,5
CAINC5N-46,13023,"Bleckley, GA",2020,Thousands of dollars,3,90448,5
CAINC5N-46,13023,"Bleckley, GA",2022,Thousands of dollars,3,81024,5
CAINC5N-46,13025,"Brantley, GA",2021,Thousands of dollars,3,58206,5
CAINC5N-46,13025,"Brantley, GA",2020,Thousands of dollars,3,55592,5
CAINC5N-46,13025,"Brantley, GA",2022,Thousands of dollars,3,58739,5
CAINC5N-46,13027,"Brooks, GA",2020,Thousands of dollars,3,91850,5
CAINC5N-46,13027,"Brooks, GA",2021,Thousands of dollars,3,96009,5
CAINC5N-46,13027,"Brooks, GA",2022,Thousands of dollars,3,92052,5
CAINC5N-46,13029,"Bryan, GA",2022,Thousands of dollars,3,407008,5
CAINC5N-46,13029,"Bryan, GA",2021,Thousands of dollars,3,366195,5
CAINC5N-46,13029,"Bryan, GA",2020,Thousands of dollars,3,321748,5
CAINC5N-46,13031,"Bulloch, GA",2022,Thousands of dollars,3,548321,5
CAINC5N-46,13031,"Bulloch, GA",2021,Thousands of dollars,3,511838,5
CAINC5N-46,13031,"Bulloch, GA",2020,Thousands of dollars,3,478674,5
CAINC5N-46,13033,"Burke, GA",2021,Thousands of dollars,3,106337,5
CAINC5N-46,13033,"Burke, GA",2020,Thousands of dollars,3,114742,5
CAINC5N-46,13033,"Burke, GA",2022,Thousands of dollars,3,117944,5
CAINC5N-46,13035,"Butts, GA",2021,Thousands of dollars,3,124120,5
CAINC5N-46,13035,"Butts, GA",2020,Thousands of dollars,3,119522,5
CAINC5N-46,13035,"Butts, GA",2022,Thousands of dollars,3,139715,5
CAINC5N-46,13037,"Calhoun, GA",2021,Thousands of dollars,3,24095,5
CAINC5N-46,13037,"Calhoun, GA",2020,Thousands of dollars,3,24240,5
CAINC5N-46,13037,"Calhoun, GA",2022,Thousands of dollars,3,20550,5
CAINC5N-46,13039,"Camden, GA",2020,Thousands of dollars,3,372899,5
CAINC5N-46,13039,"Camden, GA",2021,Thousands of dollars,3,379486,5
CAINC5N-46,13039,"Camden, GA",2022,Thousands of dollars,3,411403,5
CAINC5N-46,13043,"Candler, GA",2020,Thousands of dollars,3,54297,5
CAINC5N-46,13043,"Candler, GA",2021,Thousands of dollars,3,50909,5
CAINC5N-46,13043,"Candler, GA",2022,Thousands of dollars,3,50248,5
CAINC5N-46,13045,"Carroll, GA",2021,Thousands of dollars,3,1027309,5
CAINC5N-46,13045,"Carroll, GA",2020,Thousands of dollars,3,859713,5
CAINC5N-46,13045,"Carroll, GA",2022,Thousands of dollars,3,1011611,5
CAINC5N-46,13047,"Catoosa, GA",2021,Thousands of dollars,3,302122,5
CAINC5N-46,13047,"Catoosa, GA",2020,Thousands of dollars,3,291133,5
CAINC5N-46,13047,"Catoosa, GA",2022,Thousands of dollars,3,329632,5
CAINC5N-46,13049,"Charlton, GA",2020,Thousands of dollars,3,39665,5
CAINC5N-46,13049,"Charlton, GA",2021,Thousands of dollars,3,42790,5
CAINC5N-46,13049,"Charlton, GA",2022,Thousands of dollars,3,41612,5
CAINC5N-46,13051,"Chatham, GA",2022,Thousands of dollars,3,3685999,5
CAINC5N-46,13051,"Chatham, GA",2021,Thousands of dollars,3,3570527,5
CAINC5N-46,13051,"Chatham, GA",2020,Thousands of dollars,3,3230631,5
CAINC5N-46,13053,"Chattahoochee, GA",2021,Thousands of dollars,3,114555,5
CAINC5N-46,13053,"Chattahoochee, GA",2020,Thousands of dollars,3,116563,5
CAINC5N-46,13053,"Chattahoochee, GA",2022,Thousands of dollars,3,111689,5
CAINC5N-46,13055,"Chattooga, GA",2020,Thousands of dollars,3,94506,5
CAINC5N-46,13055,"Chattooga, GA",2021,Thousands of dollars,3,96139,5
CAINC5N-46,13055,"Chattooga, GA",2022,Thousands of dollars,3,97439,5
CAINC5N-46,13057,"Cherokee, GA",2020,Thousands of dollars,3,2297365,5
CAINC5N-46,13057,"Cherokee, GA",2021,Thousands of dollars,3,2631756,5
CAINC5N-46,13057,"Cherokee, GA",2022,Thousands of dollars,3,2938907,5
CAINC5N-46,13059,"Clarke, GA",2020,Thousands of dollars,3,1048706,5
CAINC5N-46,13059,"Clarke, GA",2021,Thousands of dollars,3,1120684,5
CAINC5N-46,13059,"Clarke, GA",2022,Thousands of dollars,3,1148530,5
CAINC5N-46,13061,"Clay, GA",2021,Thousands of dollars,3,18853,5
CAINC5N-46,13061,"Clay, GA",2020,Thousands of dollars,3,19315,5
CAINC5N-46,13061,"Clay, GA",2022,Thousands of dollars,3,14831,5
CAINC5N-46,13063,"Clayton, GA",2021,Thousands of dollars,3,1199497,5
CAINC5N-46,13063,"Clayton, GA",2020,Thousands of dollars,3,1050360,5
