county_fips,county_name,dir_income,total_income,dir_share_pct
10001,"Kent, DE",1367657,9562632,14.302097999797544
10003,"New Castle, DE",7103894,38597085,18.40526039725539
10005,"Sussex, DE",3732936,17048498,21.895981687067096
13001,"Appling, GA",82489,822449,10.029679651868992
13003,"Atkinson, GA",24017,309773,7.75309662236541
13005,"Bacon, GA",43073,453803,9.491563519853328
13007,"Baker, GA",17640,137584,12.821258285847193
13009,"Baldwin, GA",399658,1889095,21.15605620680802
13011,"Banks, GA",93828,866670,10.826266052822874
13013,"Barrow, GA",518831,4304226,12.0539906594124
13015,"Bartow, GA",714956,5549724,12.88273074480821
13017,"Ben Hill, GA",113653,688817,16.49973795652546
13019,"Berrien, GA",101793,747033,13.626305665211577
13021,"Bibb, GA",1333610,7284080,18.308557841209872
13023,"Bleckley, GA",81024,512692,15.803640392282306
13025,"Brantley, GA",58739,665024,8.832613559811374
13027,"Brooks, GA",92052,653789,14.079771914180265
13029,"Bryan, GA",407008,2814758,14.45978659621893
13031,"Bulloch, GA",548321,3281890,16.707476484586625
13033,"Burke, GA",117944,1035115,11.39428952338629
13035,"Butts, GA",139715,1120497,12.469020443606722
13037,"Calhoun, GA",20550,188798,10.884649201792392
13039,"Camden, GA",411403,2552806,16.11571737139446
13043,"Candler, GA",50248,455582,11.029408536772744
13045,"Carroll, GA",1011611,6215762,16.274931376072637
13047,"Catoosa, GA",329632,3020270,10.913991133243055
13049,"Charlton, GA",41612,403874,10.303213378429907
13051,"Chatham, GA",3685999,17060925,21.60491884232537
13053,"Chattahoochee, GA",111689,330249,33.81963306474812
13055,"Chattooga, GA",97439,926377,10.518287910861345
13057,"Cherokee, GA",2938907,18928671,15.52621945830217
13059,"Clarke, GA",1148530,5468300,21.003419709964703
13061,"Clay, GA",14831,109090,13.595196626638556
13063,"Clayton, GA",1236002,10107665,12.228363326247951
13065,"Clinch, GA",25009,293725,8.514426759724232
13067,"Cobb, GA",10451290,55378964,18.87231043180945
13069,"Coffee, GA",190362,1700516,11.19436688628628
13071,"Colquitt, GA",260097,1902500,13.671327201051248
13073,"Columbia, GA",1593023,9604243,16.58665862577613
13075,"Cook, GA",91744,685174,13.389883445664896
13077,"Coweta, GA",1313298,9053922,14.505293948854431
13079,"Crawford, GA",58463,497007,11.763013398201636
13081,"Crisp, GA",137158,910554,15.063137386689862
13083,"Dade, GA",97617,681922,14.314980305665456
13085,"Dawson, GA",296653,1816796,16.328360476355076
13087,"Decatur, GA",174590,1249377,13.97416472369829
13089,"DeKalb, GA",9683383,49263304,19.656381553295734
13091,"Dodge, GA",94930,723286,13.124821992959909
13093,"Dooly, GA",57011,483548,11.790142860688082
13095,"Dougherty, GA",661388,3807102,17.37247911928811
13097,"Douglas, GA",783005,6451778,12.136266932929187
13099,"Early, GA",59360,463881,12.796385279845476
13101,"Echols, GA",12443,122955,10.119962587938677
13103,"Effingham, GA",315887,3369183,9.375774483012647
13105,"Elbert, GA",139633,857119,16.290970098667746
13107,"Emanuel, GA",108005,909067,11.880862466682874
13109,"Evans, GA",53460,433375,12.335736948370348
13111,"Fannin, GA",300290,1316067,22.817227390398816
13113,"Fayette, GA",1600152,8984899,17.809348775094744
13115,"Floyd, GA",658133,4408242,14.92960232219556
13117,"Forsyth, GA",3381669,21381152,15.816121600931513
13119,"Franklin, GA",134784,1075318,12.534338679348805
13121,"Fulton, GA",29427987,107989235,27.250852365052868
13123,"Gilmer, GA",280607,1488007,18.85790859854826
13125,"Glascock, GA",12221,116414,10.4978782620647
13127,"Glynn, GA",1466960,5079974,28.877313151602745
13129,"Gordon, GA",308532,2671255,11.550076649365186
13131,"Grady, GA",125559,999758,12.558939263301719
13133,"Greene, GA",727411,1597842,45.52458878912934
13135,"Gwinnett, GA",7358050,50496468,14.57141517303745
13137,"Habersham, GA",307948,1924685,15.999916869513713
13139,"Hall, GA",2205276,12146226,18.156059338925523
