Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
CAINC5N-10,10001,"Kent, DE",2021,Thousands of dollars,3,9158906,
CAINC5N-10,10001,"Kent, DE",2020,Thousands of dollars,3,8272024,
CAINC5N-10,10001,"Kent, DE",2022,Thousands of dollars,3,9562632,
CAINC5N-10,10003,"New Castle, DE",2021,Thousands of dollars,3,35320702,
CAINC5N-10,10003,"New Castle, DE",2020,Thousands of dollars,3,33340553,
CAINC5N-10,10003,"New Castle, DE",2022,Thousands of dollars,3,38597085,
CAINC5N-10,10005,"Sussex, DE",2021,Thousands of dollars,3,15441124,
CAINC5N-10,10005,"Sussex, DE",2020,Thousands of dollars,3,13436435,
CAINC5N-10,10005,"Sussex, DE",2022,Thousands of dollars,3,17048498,
CAINC5N-10,13001,"Appling, GA",2021,Thousands of dollars,3,788389,
CAINC5N-10,13001,"Appling, GA",2020,Thousands of dollars,3,718540,
CAINC5N-10,13001,"Appling, GA",2022,Thousands of dollars,3,822449,
CAINC5N-10,13003,"Atkinson, GA",2022,Thousands of dollars,3,309773,
CAINC5N-10,13003,"Atkinson, GA",2021,Thousands of dollars,3,299349,
CAINC5N-10,13003,"Atkinson, GA",2020,Thousands of dollars,3,268794,
CAINC5N-10,13005,"Bacon, GA",2021,Thousands of dollars,3,438566,
CAINC5N-10,13005,"Bacon, GA",2020,Thousands of dollars,3,415595,
CAINC5N-10,13005,"Bacon, GA",2022,Thousands of dollars,3,453803,
CAINC5N-10,13007,"Baker, GA",2021,Thousands of dollars,3,144845,
CAINC5N-10,13007,"Baker, GA",2020,Thousands of dollars,3,127901,
CAINC5N-10,13007,"Baker, GA",2022,Thousands of dollars,3,137584,
CAINC5N-10,13009,"Baldwin, GA",2021,Thousands of dollars,3,1832801,
CAINC5N-10,13009,"Baldwin, GA",2020,Thousands of dollars,3,1644990,
CAINC5N-10,13009,"Baldwin, GA",2022,Thousands of dollars,3,1889095,
CAINC5N-10,13011,"Banks, GA",2021,Thousands of dollars,3,798994,
CAINC5N-10,13011,"Banks, GA",2020,Thousands of dollars,3,710501,
CAINC5N-10,13011,"Banks, GA",2022,Thousands of dollars,3,866670,
CAINC5N-10,13013,"Barrow, GA",2021,Thousands of dollars,3,3972276,
CAINC5N-10,13013,"Barrow, GA",2020,Thousands of dollars,3,3457965,
CAINC5N-10,13013,"Barrow, GA",2022,Thousands of dollars,3,4304226,
CAINC5N-10,13015,"Bartow, GA",2020,Thousands of dollars,3,4762908,
CAINC5N-10,13015,"Bartow, GA",2021,Thousands of dollars,3,5272665,
CAINC5N-10,13015,"Bartow, GA",2022,Thousands of dollars,3,5549724,
CAINC5N-10,13017,"Ben Hill, GA",2020,Thousands of dollars,3,598413,
CAINC5N-10,13017,"Ben Hill, GA",2021,Thousands of dollars,3,672580,
CAINC5N-10,13017,"Ben Hill, GA",2022,Thousands of dollars,3,688817,
CAINC5N-10,13019,"Berrien, GA",2021,Thousands of dollars,3,730267,
CAINC5N-10,13019,"Berrien, GA",2020,Thousands of dollars,3,684632,
CAINC5N-10,13019,"Berrien, GA",2022,Thousands of dollars,3,747033,
CAINC5N-10,13021,"Bibb, GA",2021,Thousands of dollars,3,7399171,
CAINC5N-10,13021,"Bibb, GA",2020,Thousands of dollars,3,6794617,
CAINC5N-10,13021,"Bibb, GA",2022,Thousands of dollars,3,7284080,
CAINC5N-10,13023,"Bleckley, GA",2021,Thousands of dollars,3,530127,
CAINC5N-10,13023,"Bleckley, GA",2020,Thousands of dollars,3,488740,
CAINC5N-10,13023,"Bleckley, GA",2022,Thousands of dollars,3,512692,
CAINC5N-10,13025,"Brantley, GA",2021,Thousands of dollars,3,641948,
CAINC5N-10,13025,"Brantley, GA",2020,Thousands of dollars,3,589720,
CAINC5N-10,13025,"Brantley, GA",2022,Thousands of dollars,3,665024,
CAINC5N-10,13027,"Brooks, GA",2020,Thousands of dollars,3,612113,
CAINC5N-10,13027,"Brooks, GA",2021,Thousands of dollars,3,657101,
CAINC5N-10,13027,"Brooks, GA",2022,Thousands of dollars,3,653789,
CAINC5N-10,13029,"Bryan, GA",2020,Thousands of dollars,3,2333727,
CAINC5N-10,13029,"Bryan, GA",2021,Thousands of dollars,3,2628513,
CAINC5N-10,13029,"Bryan, GA",2022,Thousands of dollars,3,2814758,
CAINC5N-10,13031,"Bulloch, GA",2022,Thousands of dollars,3,3281890,
CAINC5N-10,13031,"Bulloch, GA",2021,Thousands of dollars,3,3163569,
CAINC5N-10,13031,"Bulloch, GA",2020,Thousands of dollars,3,2869416,
CAINC5N-10,13033,"Burke, GA",2021,Thousands of dollars,3,1018800,
CAINC5N-10,13033,"Burke, GA",2020,Thousands of dollars,3,967766,
CAINC5N-10,13033,"Burke, GA",2022,Thousands of dollars,3,1035115,
CAINC5N-10,13035,"Butts, GA",2021,Thousands of dollars,3,1081756,
CAINC5N-10,13035,"Butts, GA",2020,Thousands of dollars,3,954425,
CAINC5N-10,13035,"Butts, GA",2022,Thousands of dollars,3,1120497,
CAINC5N-10,13037,"Calhoun, GA",2021,Thousands of dollars,3,197395,
CAINC5N-10,13037,"Calhoun, GA",2020,Thousands of dollars,3,177948,
CAINC5N-10,13037,"Calhoun, GA",2022,Thousands of dollars,3,188798,
CAINC5N-10,13039,"Camden, GA",2020,Thousands of dollars,3,2167388,
CAINC5N-10,13039,"Camden, GA",2021,Thousands of dollars,3,2439118,
CAINC5N-10,13039,"Camden, GA",2022,Thousands of dollars,3,2552806,
CAINC5N-10,13043,"Candler, GA",2020,Thousands of dollars,3,402905,
CAINC5N-10,13043,"Candler, GA",2021,Thousands of dollars,3,449925,
CAINC5N-10,13043,"Candler, GA",2022,Thousands of dollars,3,455582,
CAINC5N-10,13045,"Carroll, GA",2021,Thousands of dollars,3,5980717,
CAINC5N-10,13045,"Carroll, GA",2020,Thousands of dollars,3,5328111,
CAINC5N-10,13045,"Carroll, GA",2022,Thousands of dollars,3,6215762,
CAINC5N-10,13047,"Catoosa, GA",2021,Thousands of dollars,3,2884113,
CAINC5N-10,13047,"Catoosa, GA",2020,Thousands of dollars,3,2655485,
CAINC5N-10,13047,"Catoosa, GA",2022,Thousands of dollars,3,3020270,
CAINC5N-10,13049,"Charlton, GA",2020,Thousands of dollars,3,363113,
CAINC5N-10,13049,"Charlton, GA",2021,Thousands of dollars,3,397938,
CAINC5N-10,13049,"Charlton, GA",2022,Thousands of dollars,3,403874,
CAINC5N-10,13051,"Chatham, GA",2022,Thousands of dollars,3,17060925,
CAINC5N-10,13051,"Chatham, GA",2021,Thousands of dollars,3,16717137,
CAINC5N-10,13051,"Chatham, GA",2020,Thousands of dollars,3,15176517,
CAINC5N-10,13053,"Chattahoochee, GA",2021,Thousands of dollars,3,349583,
CAINC5N-10,13053,"Chattahoochee, GA",2020,Thousands of dollars,3,326980,
CAINC5N-10,13053,"Chattahoochee, GA",2022,Thousands of dollars,3,330249,
CAINC5N-10,13055,"Chattooga, GA",2020,Thousands of dollars,3,842225,
CAINC5N-10,13055,"Chattooga, GA",2021,Thousands of dollars,3,919564,
CAINC5N-10,13055,"Chattooga, GA",2022,Thousands of dollars,3,926377,
CAINC5N-10,13057,"Cherokee, GA",2020,Thousands of dollars,3,15177591,
CAINC5N-10,13057,"Cherokee, GA",2021,Thousands of dollars,3,17283417,
CAINC5N-10,13057,"Cherokee, GA",2022,Thousands of dollars,3,18928671,
CAINC5N-10,13059,"Clarke, GA",2020,Thousands of dollars,3,4869929,
CAINC5N-10,13059,"Clarke, GA",2021,Thousands of dollars,3,5249794,
CAINC5N-10,13059,"Clarke, GA",2022,Thousands of dollars,3,5468300,
CAINC5N-10,13061,"Clay, GA",2021,Thousands of dollars,3,116652,
CAINC5N-10,13061,"Clay, GA",2020,Thousands of dollars,3,110651,
CAINC5N-10,13061,"Clay, GA",2022,Thousands of dollars,3,109090,
CAINC5N-10,13063,"Clayton, GA",2021,Thousands of dollars,3,10473226,
CAINC5N-10,13063,"Clayton, GA",2020,Thousands of dollars,3,9597438,
CAINC5N-10,13063,"Clayton, GA",2022,Thousands of dollars,3,10107665,
CAINC5N-10,13065,"Clinch, GA",2020,Thousands of dollars,3,275652,
CAINC5N-10,13065,"Clinch, GA",2021,Thousands of dollars,3,283407,
CAINC5N-10,13065,"Clinch, GA",2022,Thousands of dollars,3,293725,
CAINC5N-10,13067,"Cobb, GA",2021,Thousands of dollars,3,52051755,
CAINC5N-10,13067,"Cobb, GA",2020,Thousands of dollars,3,47796915,
CAINC5N-10,13067,"Cobb, GA",2022,Thousands of dollars,3,55378964,
CAINC5N-10,13069,"Coffee, GA",2021,Thousands of dollars,3,1761477,
CAINC5N-10,13069,"Coffee, GA",2020,Thousands of dollars,3,1530133,
CAINC5N-10,13069,"Coffee, GA",2022,Thousands of dollars,3,1700516,
CAINC5N-10,13071,"Colquitt, GA",2021,Thousands of dollars,3,1869594,
CAINC5N-10,13071,"Colquitt, GA",2020,Thousands of dollars,3,1729139,
CAINC5N-10,13071,"Colquitt, GA",2022,Thousands of dollars,3,1902500,
CAINC5N-10,13073,"Columbia, GA",2021,Thousands of dollars,3,9348337,
