county_fips,county_name,years_data,mean_income,std_income,coefficient_of_variation
10001,"Kent, DE",15,6920965.733333333,1332609.7202688665,0.19254678777712195
10003,"New Castle, DE",15,28905643.333333332,4478310.881441121,0.15492860095858288
10005,"Sussex, DE",15,10558241.866666667,3056862.1897863518,0.28952378894038644
13001,"Appling, GA",15,590931.6666666666,116120.8140599797,0.19650463938579427
13003,"Atkinson, GA",15,228667.26666666666,39481.842335553745,0.17266066504003522
13005,"Bacon, GA",15,336296.5333333333,60592.24137493261,0.18017504008842775
13007,"Baker, GA",15,116389.53333333334,13846.649356776672,0.11896816629653988
13009,"Baldwin, GA",15,1418613.2666666666,216651.33078799568,0.15272050239390755
13011,"Banks, GA",15,605643.2,122921.82080679224,0.2029607874847637
13013,"Barrow, GA",15,2670389.6666666665,772544.8856074564,0.2893004325364213
13015,"Bartow, GA",15,3761746.8666666667,874886.677640585,0.23257457469907686
13017,"Ben Hill, GA",15,517224.2,80541.70380900284,0.15571913264886453
13019,"Berrien, GA",15,571653.2666666667,89000.6968941148,0.15568999966200045
13021,"Bibb, GA",15,5904090.466666667,747357.9281748725,0.12658307530928065
13023,"Bleckley, GA",15,421873.93333333335,51159.11368670809,0.12126635386663241
13025,"Brantley, GA",15,483124.6666666667,88305.9893694862,0.1827809579228402
13027,"Brooks, GA",15,522943.5333333333,69745.61371857698,0.13337121366432483
13029,"Bryan, GA",15,1796379.2666666666,499581.5239987602,0.2781047038723487
13031,"Bulloch, GA",15,2303916.8666666667,492076.3374333683,0.2135825057547801
13033,"Burke, GA",15,770571.7333333333,141099.57974599086,0.18311024612286697
13035,"Butts, GA",15,765652.4666666667,173400.27978345638,0.22647387337282318
13037,"Calhoun, GA",15,156068.4,17941.019348329763,0.11495613044235581
13039,"Camden, GA",15,1819376.4,345147.4714381003,0.18970646834712176
13043,"Candler, GA",15,329514.4,62508.57132517336,0.18969905814487426
13045,"Carroll, GA",15,4226422.2,974271.3635381352,0.23051917613392603
13047,"Catoosa, GA",15,2202886.2,396647.2272815876,0.18005797452523312
13049,"Charlton, GA",15,307710.4,46535.21903707526,0.1512305695130072
13051,"Chatham, GA",15,12589149.733333332,2328053.8287487645,0.1849254221343149
13053,"Chattahoochee, GA",15,345061.4,34343.43736810779,0.09952848208495008
13055,"Chattooga, GA",15,719318.9333333333,105381.77226939246,0.14650215278089782
13057,"Cherokee, GA",15,11606098.133333333,3527516.3910633028,0.303936460862078
13059,"Clarke, GA",15,3876635.3333333335,832028.7222587474,0.21462651261121476
13061,"Clay, GA",15,91406.66666666667,11749.205144341022,0.12853772676326694
13063,"Clayton, GA",15,7593774.066666666,1421154.324482213,0.18714730146113465
13065,"Clinch, GA",15,223717.66666666666,42514.48863062814,0.19003634922571222
13067,"Cobb, GA",15,38602492.733333334,8741858.62868547,0.22645839710596868
13069,"Coffee, GA",15,1289192.8,229457.11491947997,0.1779851042601851
13071,"Colquitt, GA",15,1419874.7333333334,242861.1913643755,0.17104409682270244
13073,"Columbia, GA",15,6802115.4,1611788.1170075322,0.2369539506794507
13075,"Cook, GA",15,525791.6666666666,83458.70500147848,0.15872960773718073
13077,"Coweta, GA",15,6071415.733333333,1575742.9262958774,0.25953467782558876
13079,"Crawford, GA",15,401644.6666666667,45964.69996120729,0.11444120581178875
13081,"Crisp, GA",15,687929.5333333333,124635.97336349833,0.181175494471912
13083,"Dade, GA",15,521662.4,85708.67396077415,0.16429912134893015
13085,"Dawson, GA",15,1039863.7333333333,348611.0267718504,0.3352468362891751
13087,"Decatur, GA",15,935022.2,144703.38113247883,0.1547592999743523
13089,"DeKalb, GA",15,34121768.86666667,8023463.986109694,0.23514208825052335
13091,"Dodge, GA",15,604495.4,68800.69495060144,0.11381508436722833
13093,"Dooly, GA",15,374805.3333333333,66769.30579312053,0.17814395862328675
13095,"Dougherty, GA",15,3063725.7333333334,361741.9678803163,0.11807256894589617
13097,"Douglas, GA",15,4785396.4,889500.1359142914,0.18587804678297734
13099,"Early, GA",15,373230.6666666667,48146.34578874625,0.12899890091760835
13101,"Echols, GA",15,101261.0,15747.475412177751,0.15551372603645777
13103,"Effingham, GA",15,2292282.466666667,560215.1315214115,0.24439184073856784
13105,"Elbert, GA",15,646478.6666666666,98629.85689772984,0.1525647511406355
13107,"Emanuel, GA",15,698559.6,122386.38577577632,0.1751982018080867
13109,"Evans, GA",15,344644.4666666667,48406.939337051175,0.1404547120841183
13111,"Fannin, GA",15,838859.2666666667,234374.23878351558,0.27939637564574665
13113,"Fayette, GA",15,6480762.133333334,1485051.6748975853,0.22914769040192492
13115,"Floyd, GA",15,3429815.0,525764.4352564857,0.15329235986678166
13117,"Forsyth, GA",15,12898730.933333334,4309026.299758939,0.33406591098225086
13119,"Franklin, GA",15,755636.7333333333,138817.36768886907,0.18370913107480272
13121,"Fulton, GA",15,77477947.06666666,19792391.779690582,0.2554583920849119
13123,"Gilmer, GA",15,987940.8,237210.44142225877,0.24010592681490506
13125,"Glascock, GA",15,93261.66666666667,14688.898143382528,0.1575019905647107
13127,"Glynn, GA",15,3594973.2666666666,744197.0140572864,0.20701044454422918
13129,"Gordon, GA",15,1868047.6666666667,381337.86305016535,0.20413711590701666
13131,"Grady, GA",15,787267.6,113960.61330552513,0.14475460860516187
13133,"Greene, GA",15,902228.8,320556.59844450915,0.3552941320921136
13135,"Gwinnett, GA",15,35013257.13333333,8096649.036619284,0.23124523964698815
13137,"Habersham, GA",15,1416101.0,257885.73606707514,0.18210970549916647
13139,"Hall, GA",15,7851966.666666667,2154151.8713767165,0.2743455191323681
13141,"Hancock, GA",15,238415.6,36872.83519611693,0.15465781264362286
13143,"Haralson, GA",15,991432.0,207960.7486196099,0.2097579547761318
13145,"Harris, GA",15,1491000.6666666667,308899.5165418838,0.20717597479850253
13147,"Hart, GA",15,886112.7333333333,172840.0620257545,0.19505425836233461
13149,"Heard, GA",15,349366.8,65369.653657597766,0.18710894583457205
13151,"Henry, GA",15,8239833.0,1869300.8752623457,0.22686150013748405
13153,"Houston, GA",15,6150012.133333334,1144139.2743009834,0.1860385393550199
13155,"Irwin, GA",15,298948.6,52280.67719093601,0.17488182647764872
13157,"Jackson, GA",15,2649652.533333333,934171.6172068375,0.3525638193894144
13159,"Jasper, GA",15,499041.13333333336,117663.12943184555,0.23577841899708243
13161,"Jeff Davis, GA",15,436513.93333333335,66172.15423150508,0.15159230709131638
13163,"Jefferson, GA",15,504341.06666666665,75272.40740562305,0.14924901496346463
13165,"Jenkins, GA",15,250981.0,39474.2435465384,0.15727980821870338
13167,"Johnson, GA",15,237168.13333333333,35008.30763214164,0.147609660455262
13169,"Jones, GA",15,1000683.7333333333,140387.4551006538,0.1402915331030868
13171,"Lamar, GA",15,592026.3333333334,121211.60309479255,0.20474022230113503
13173,"Lanier, GA",15,265688.2,51393.5313372635,0.19343550574419
13175,"Laurens, GA",15,1666174.5333333334,260594.00577934217,0.15640258602320622
13177,"Lee, GA",15,1277581.2666666666,250228.3049786639,0.19586096908851347
13179,"Liberty, GA",15,2147272.066666667,290218.7517849908,0.1351569539278336
13181,"Lincoln, GA",15,273399.06666666665,52108.19649600883,0.19059390776757895
13183,"Long, GA",15,479855.86666666664,128738.11709705574,0.2682849706336592
13185,"Lowndes, GA",15,3984521.1333333333,709788.0408309901,0.17813634740022127
13187,"Lumpkin, GA",15,1112856.4,270718.2041194971,0.2432642739166501
13189,"McDuffie, GA",15,732656.8666666667,115371.53753037969,0.15747008289880632
13191,"McIntosh, GA",15,402411.6,74295.29816193908,0.1846251404331761
13193,"Macon, GA",15,388465.6666666667,58948.07106581988,0.15174589706122432
13195,"Madison, GA",15,1002196.7333333333,217379.55489139486,0.21690307667276526
13197,"Marion, GA",15,223956.66666666666,38209.65834457989,0.1706118371615635
13199,"Meriwether, GA",15,696400.8,114402.01357069101,0.1642761087734118
13201,"Miller, GA",15,230682.4,41742.04775899578,0.1809502925190469
13205,"Mitchell, GA",15,737141.1333333333,117327.4380440524,0.15916550133825896
13207,"Monroe, GA",15,1130060.0,236075.91108733285,0.2089056431404818
13209,"Montgomery, GA",15,257508.66666666666,35833.575254554344,0.13915483202334036
13211,"Morgan, GA",15,841549.6,227685.4760076465,0.2705550284946324
13213,"Murray, GA",15,1127511.0,205454.05601809305,0.18221911450805628
