county_fips,county_name,year,proprietor_income,unit,unit_mult
10001,"Kent, DE",2022,444297,Thousands of dollars,3
10003,"New Castle, DE",2022,2692288,Thousands of dollars,3
10005,"Sussex, DE",2022,1956343,Thousands of dollars,3
13001,"Appling, GA",2022,29531,Thousands of dollars,3
13003,"Atkinson, GA",2022,9753,Thousands of dollars,3
13005,"Bacon, GA",2022,12603,Thousands of dollars,3
13007,"Baker, GA",2022,1557,Thousands of dollars,3
13009,"Baldwin, GA",2022,59002,Thousands of dollars,3
13011,"Banks, GA",2022,41347,Thousands of dollars,3
13013,"Barrow, GA",2022,255517,Thousands of dollars,3
13015,"Bartow, GA",2022,356763,Thousands of dollars,3
13017,"Ben Hill, GA",2022,28663,Thousands of dollars,3
13019,"Berrien, GA",2022,27246,Thousands of dollars,3
13021,"Bibb, GA",2022,334954,Thousands of dollars,3
13023,"Bleckley, GA",2022,10843,Thousands of dollars,3
13025,"Brantley, GA",2022,71686,Thousands of dollars,3
13027,"Brooks, GA",2022,21033,Thousands of dollars,3
13029,"Bryan, GA",2022,158860,Thousands of dollars,3
13031,"Bulloch, GA",2022,145423,Thousands of dollars,3
13033,"Burke, GA",2022,45649,Thousands of dollars,3
13035,"Butts, GA",2022,25693,Thousands of dollars,3
13037,"Calhoun, GA",2022,3707,Thousands of dollars,3
13039,"Camden, GA",2022,41712,Thousands of dollars,3
13043,"Candler, GA",2022,24772,Thousands of dollars,3
13045,"Carroll, GA",2022,366711,Thousands of dollars,3
13047,"Catoosa, GA",2022,244604,Thousands of dollars,3
13049,"Charlton, GA",2022,6017,Thousands of dollars,3
13051,"Chatham, GA",2022,1144214,Thousands of dollars,3
13053,"Chattahoochee, GA",2022,1304,Thousands of dollars,3
13055,"Chattooga, GA",2022,46734,Thousands of dollars,3
13057,"Cherokee, GA",2022,1445230,Thousands of dollars,3
13059,"Clarke, GA",2022,352681,Thousands of dollars,3
13061,"Clay, GA",2022,5496,Thousands of dollars,3
13063,"Clayton, GA",2022,286529,Thousands of dollars,3
13065,"Clinch, GA",2022,21701,Thousands of dollars,3
13067,"Cobb, GA",2022,3905297,Thousands of dollars,3
13069,"Coffee, GA",2022,79584,Thousands of dollars,3
13071,"Colquitt, GA",2022,70766,Thousands of dollars,3
13073,"Columbia, GA",2022,527478,Thousands of dollars,3
13075,"Cook, GA",2022,22381,Thousands of dollars,3
13077,"Coweta, GA",2022,310422,Thousands of dollars,3
13079,"Crawford, GA",2022,11298,Thousands of dollars,3
13081,"Crisp, GA",2022,37562,Thousands of dollars,3
13083,"Dade, GA",2022,43130,Thousands of dollars,3
13085,"Dawson, GA",2022,108964,Thousands of dollars,3
13087,"Decatur, GA",2022,65586,Thousands of dollars,3
13089,"DeKalb, GA",2022,2828975,Thousands of dollars,3
13091,"Dodge, GA",2022,7655,Thousands of dollars,3
13093,"Dooly, GA",2022,10529,Thousands of dollars,3
13095,"Dougherty, GA",2022,141498,Thousands of dollars,3
13097,"Douglas, GA",2022,135774,Thousands of dollars,3
13099,"Early, GA",2022,15539,Thousands of dollars,3
13101,"Echols, GA",2022,4454,Thousands of dollars,3
13103,"Effingham, GA",2022,101063,Thousands of dollars,3
13105,"Elbert, GA",2022,41674,Thousands of dollars,3
13107,"Emanuel, GA",2022,55113,Thousands of dollars,3
13109,"Evans, GA",2022,19874,Thousands of dollars,3
13111,"Fannin, GA",2022,178500,Thousands of dollars,3
13113,"Fayette, GA",2022,516618,Thousands of dollars,3
13115,"Floyd, GA",2022,242674,Thousands of dollars,3
13117,"Forsyth, GA",2022,1181489,Thousands of dollars,3
13119,"Franklin, GA",2022,92611,Thousands of dollars,3
13121,"Fulton, GA",2022,10442832,Thousands of dollars,3
13123,"Gilmer, GA",2022,126076,Thousands of dollars,3
13125,"Glascock, GA",2022,2931,Thousands of dollars,3
13127,"Glynn, GA",2022,348342,Thousands of dollars,3
13129,"Gordon, GA",2022,129255,Thousands of dollars,3
13131,"Grady, GA",2022,44388,Thousands of dollars,3
13133,"Greene, GA",2022,124404,Thousands of dollars,3
13135,"Gwinnett, GA",2022,4299423,Thousands of dollars,3
13137,"Habersham, GA",2022,99649,Thousands of dollars,3
13139,"Hall, GA",2022,918862,Thousands of dollars,3
13141,"Hancock, GA",2022,5936,Thousands of dollars,3
13143,"Haralson, GA",2022,49847,Thousands of dollars,3
13145,"Harris, GA",2022,76277,Thousands of dollars,3
13147,"Hart, GA",2022,56449,Thousands of dollars,3
13149,"Heard, GA",2022,10675,Thousands of dollars,3
13151,"Henry, GA",2022,560586,Thousands of dollars,3
13153,"Houston, GA",2022,257893,Thousands of dollars,3
13155,"Irwin, GA",2022,10147,Thousands of dollars,3
13157,"Jackson, GA",2022,297847,Thousands of dollars,3
13159,"Jasper, GA",2022,26136,Thousands of dollars,3
13161,"Jeff Davis, GA",2022,27080,Thousands of dollars,3
13163,"Jefferson, GA",2022,14236,Thousands of dollars,3
13165,"Jenkins, GA",2022,10743,Thousands of dollars,3
13167,"Johnson, GA",2022,4181,Thousands of dollars,3
13169,"Jones, GA",2022,23382,Thousands of dollars,3
13171,"Lamar, GA",2022,28413,Thousands of dollars,3
13173,"Lanier, GA",2022,13190,Thousands of dollars,3
13175,"Laurens, GA",2022,108379,Thousands of dollars,3
13177,"Lee, GA",2022,29408,Thousands of dollars,3
13179,"Liberty, GA",2022,42390,Thousands of dollars,3
13181,"Lincoln, GA",2022,18123,Thousands of dollars,3
13183,"Long, GA",2022,16019,Thousands of dollars,3
13185,"Lowndes, GA",2022,213749,Thousands of dollars,3
13187,"Lumpkin, GA",2022,86210,Thousands of dollars,3
13189,"McDuffie, GA",2022,33932,Thousands of dollars,3
13191,"McIntosh, GA",2022,13901,Thousands of dollars,3
13193,"Macon, GA",2022,25633,Thousands of dollars,3
13195,"Madison, GA",2022,47310,Thousands of dollars,3
13197,"Marion, GA",2022,6832,Thousands of dollars,3
13199,"Meriwether, GA",2022,19950,Thousands of dollars,3
13201,"Miller, GA",2022,8380,Thousands of dollars,3
13205,"Mitchell, GA",2022,67767,Thousands of dollars,3
13207,"Monroe, GA",2022,83142,Thousands of dollars,3
13209,"Montgomery, GA",2022,6640,Thousands of dollars,3
13211,"Morgan, GA",2022,76856,Thousands of dollars,3
13213,"Murray, GA",2022,61959,Thousands of dollars,3
13215,"Muscogee, GA",2022,335445,Thousands of dollars,3
13217,"Newton, GA",2022,97483,Thousands of dollars,3
13219,"Oconee, GA",2022,455651,Thousands of dollars,3
13221,"Oglethorpe, GA",2022,25292,Thousands of dollars,3
13223,"Paulding, GA",2022,250682,Thousands of dollars,3
13225,"Peach, GA",2022,57866,Thousands of dollars,3
13227,"Pickens, GA",2022,114040,Thousands of dollars,3
13229,"Pierce, GA",2022,21400,Thousands of dollars,3
13231,"Pike, GA",2022,46694,Thousands of dollars,3
13233,"Polk, GA",2022,41654,Thousands of dollars,3
13235,"Pulaski, GA",2022,4995,Thousands of dollars,3
