Code,GeoFips,GeoName,TimePeriod,CL_UNIT,UNIT_MULT,DataValue,NoteRef
CAINC4-72,10001,"Kent, DE",2022,Thousands of dollars,3,444297,
CAINC4-72,10003,"New Castle, DE",2022,Thousands of dollars,3,2692288,
CAINC4-72,10005,"Sussex, DE",2022,Thousands of dollars,3,1956343,
CAINC4-72,13001,"Appling, GA",2022,Thousands of dollars,3,29531,
CAINC4-72,13003,"Atkinson, GA",2022,Thousands of dollars,3,9753,
CAINC4-72,13005,"Bacon, GA",2022,Thousands of dollars,3,12603,
CAINC4-72,13007,"Baker, GA",2022,Thousands of dollars,3,1557,
CAINC4-72,13009,"Baldwin, GA",2022,Thousands of dollars,3,59002,
CAINC4-72,13011,"Banks, GA",2022,Thousands of dollars,3,41347,
CAINC4-72,13013,"Barrow, GA",2022,Thousands of dollars,3,255517,
CAINC4-72,13015,"Bartow, GA",2022,Thousands of dollars,3,356763,
CAINC4-72,13017,"Ben Hill, GA",2022,Thousands of dollars,3,28663,
CAINC4-72,13019,"Berrien, GA",2022,Thousands of dollars,3,27246,
CAINC4-72,13021,"Bibb, GA",2022,Thousands of dollars,3,334954,
CAINC4-72,13023,"Bleckley, GA",2022,Thousands of dollars,3,10843,
CAINC4-72,13025,"Brantley, GA",2022,Thousands of dollars,3,71686,
CAINC4-72,13027,"Brooks, GA",2022,Thousands of dollars,3,21033,
CAINC4-72,13029,"Bryan, GA",2022,Thousands of dollars,3,158860,
CAINC4-72,13031,"Bulloch, GA",2022,Thousands of dollars,3,145423,
CAINC4-72,13033,"Burke, GA",2022,Thousands of dollars,3,45649,
CAINC4-72,13035,"Butts, GA",2022,Thousands of dollars,3,25693,
CAINC4-72,13037,"Calhoun, GA",2022,Thousands of dollars,3,3707,
CAINC4-72,13039,"Camden, GA",2022,Thousands of dollars,3,41712,
CAINC4-72,13043,"Candler, GA",2022,Thousands of dollars,3,24772,
CAINC4-72,13045,"Carroll, GA",2022,Thousands of dollars,3,366711,
CAINC4-72,13047,"Catoosa, GA",2022,Thousands of dollars,3,244604,
CAINC4-72,13049,"Charlton, GA",2022,Thousands of dollars,3,6017,
CAINC4-72,13051,"Chatham, GA",2022,Thousands of dollars,3,1144214,
CAINC4-72,13053,"Chattahoochee, GA",2022,Thousands of dollars,3,1304,
CAINC4-72,13055,"Chattooga, GA",2022,Thousands of dollars,3,46734,
CAINC4-72,13057,"Cherokee, GA",2022,Thousands of dollars,3,1445230,
CAINC4-72,13059,"Clarke, GA",2022,Thousands of dollars,3,352681,
CAINC4-72,13061,"Clay, GA",2022,Thousands of dollars,3,5496,
CAINC4-72,13063,"Clayton, GA",2022,Thousands of dollars,3,286529,
CAINC4-72,13065,"Clinch, GA",2022,Thousands of dollars,3,21701,
CAINC4-72,13067,"Cobb, GA",2022,Thousands of dollars,3,3905297,
CAINC4-72,13069,"Coffee, GA",2022,Thousands of dollars,3,79584,
CAINC4-72,13071,"Colquitt, GA",2022,Thousands of dollars,3,70766,
CAINC4-72,13073,"Columbia, GA",2022,Thousands of dollars,3,527478,
CAINC4-72,13075,"Cook, GA",2022,Thousands of dollars,3,22381,
CAINC4-72,13077,"Coweta, GA",2022,Thousands of dollars,3,310422,
CAINC4-72,13079,"Crawford, GA",2022,Thousands of dollars,3,11298,
CAINC4-72,13081,"Crisp, GA",2022,Thousands of dollars,3,37562,
CAINC4-72,13083,"Dade, GA",2022,Thousands of dollars,3,43130,
CAINC4-72,13085,"Dawson, GA",2022,Thousands of dollars,3,108964,
CAINC4-72,13087,"Decatur, GA",2022,Thousands of dollars,3,65586,
CAINC4-72,13089,"DeKalb, GA",2022,Thousands of dollars,3,2828975,
CAINC4-72,13091,"Dodge, GA",2022,Thousands of dollars,3,7655,
CAINC4-72,13093,"Dooly, GA",2022,Thousands of dollars,3,10529,
CAINC4-72,13095,"Dougherty, GA",2022,Thousands of dollars,3,141498,
CAINC4-72,13097,"Douglas, GA",2022,Thousands of dollars,3,135774,
CAINC4-72,13099,"Early, GA",2022,Thousands of dollars,3,15539,
CAINC4-72,13101,"Echols, GA",2022,Thousands of dollars,3,4454,
CAINC4-72,13103,"Effingham, GA",2022,Thousands of dollars,3,101063,
CAINC4-72,13105,"Elbert, GA",2022,Thousands of dollars,3,41674,
CAINC4-72,13107,"Emanuel, GA",2022,Thousands of dollars,3,55113,
CAINC4-72,13109,"Evans, GA",2022,Thousands of dollars,3,19874,
CAINC4-72,13111,"Fannin, GA",2022,Thousands of dollars,3,178500,
CAINC4-72,13113,"Fayette, GA",2022,Thousands of dollars,3,516618,
CAINC4-72,13115,"Floyd, GA",2022,Thousands of dollars,3,242674,
CAINC4-72,13117,"Forsyth, GA",2022,Thousands of dollars,3,1181489,
CAINC4-72,13119,"Franklin, GA",2022,Thousands of dollars,3,92611,
CAINC4-72,13121,"Fulton, GA",2022,Thousands of dollars,3,10442832,
CAINC4-72,13123,"Gilmer, GA",2022,Thousands of dollars,3,126076,
CAINC4-72,13125,"Glascock, GA",2022,Thousands of dollars,3,2931,
CAINC4-72,13127,"Glynn, GA",2022,Thousands of dollars,3,348342,
CAINC4-72,13129,"Gordon, GA",2022,Thousands of dollars,3,129255,
CAINC4-72,13131,"Grady, GA",2022,Thousands of dollars,3,44388,
CAINC4-72,13133,"Greene, GA",2022,Thousands of dollars,3,124404,
