NAME,ESTAB,EMP,NAICS2017,state,county
"Accomack County, Virginia",706,8454,00,51,001
"Albemarle County, Virginia",2874,40409,00,51,003
"Alleghany County, Virginia",238,2296,00,51,005
"Amelia County, Virginia",259,1790,00,51,007
"Amherst County, Virginia",545,5942,00,51,009
"Appomattox County, Virginia",302,2421,00,51,011
"Arlington County, Virginia",6326,140834,00,51,013
"Augusta County, Virginia",1440,21609,00,51,015
"Bath County, Virginia",116,1827,00,51,017
"Bedford County, Virginia",1770,16210,00,51,019
"Bland County, Virginia",76,1220,00,51,021
"Botetourt County, Virginia",768,10811,00,51,023
"Brunswick County, Virginia",249,2026,00,51,025
"Buchanan County, Virginia",347,3973,00,51,027
"Buckingham County, Virginia",255,1618,00,51,029
"Campbell County, Virginia",1192,17212,00,51,031
"Caroline County, Virginia",406,4186,00,51,033
"Carroll County, Virginia",408,4399,00,51,035
"Charles City County, Virginia",155,1556,00,51,036
"Charlotte County, Virginia",213,1862,00,51,037
"Chesterfield County, Virginia",7838,118586,00,51,041
"Clarke County, Virginia",376,2868,00,51,043
"Craig County, Virginia",69,407,00,51,045
"Culpeper County, Virginia",1078,13745,00,51,047
"Cumberland County, Virginia",147,766,00,51,049
"Dickenson County, Virginia",201,2012,00,51,051
"Dinwiddie County, Virginia",368,5729,00,51,053
"Essex County, Virginia",297,3106,00,51,057
"Fairfax County, Virginia",31808,647247,00,51,059
"Fauquier County, Virginia",1917,18501,00,51,061
"Floyd County, Virginia",331,2746,00,51,063
"Fluvanna County, Virginia",410,2756,00,51,065
"Franklin County, Virginia",1186,12947,00,51,067
"Frederick County, Virginia",1607,29327,00,51,069
"Giles County, Virginia",285,3659,00,51,071
"Gloucester County, Virginia",855,7529,00,51,073
"Goochland County, Virginia",699,19133,00,51,075
"Grayson County, Virginia",166,1260,00,51,077
"Greene County, Virginia",373,3039,00,51,079
"Greensville County, Virginia",100,2299,00,51,081
"Halifax County, Virginia",677,9584,00,51,083
"Hanover County, Virginia",3306,47471,00,51,085
"Henrico County, Virginia",9477,174002,00,51,087
"Henry County, Virginia",792,11114,00,51,089
"Highland County, Virginia",83,311,00,51,091
"Isle of Wight County, Virginia",744,9712,00,51,093
"James City County, Virginia",1768,24123,00,51,095
"King and Queen County, Virginia",120,651,00,51,097
"King George County, Virginia",476,5268,00,51,099
"King William County, Virginia",340,2806,00,51,101
"Lancaster County, Virginia",442,4176,00,51,103
"Lee County, Virginia",245,2207,00,51,105
"Loudoun County, Virginia",11720,164564,00,51,107
"Louisa County, Virginia",650,7879,00,51,109
"Lunenburg County, Virginia",159,1398,00,51,111
"Madison County, Virginia",281,2555,00,51,113
"Mathews County, Virginia",192,1039,00,51,115
"Mecklenburg County, Virginia",765,8494,00,51,117
