state,county,NAME,EMP_ambulatory,EMP_hospitals,total_healthcare_employment
10,001,"Kent County, Delaware",5611,0.0,5611.0
10,003,"New Castle County, Delaware",16225,16053.0,32278.0
10,005,"Sussex County, Delaware",5114,3290.0,8404.0
13,001,"Appling County, Georgia",488,0.0,488.0
13,005,"Bacon County, Georgia",109,0.0,109.0
13,009,"Baldwin County, Georgia",730,0.0,730.0
13,011,"Banks County, Georgia",128,0.0,128.0
13,013,"Barrow County, Georgia",887,0.0,887.0
13,015,"Bartow County, Georgia",1572,0.0,1572.0
13,017,"Ben Hill County, Georgia",55,0.0,55.0
13,019,"Berrien County, Georgia",73,0.0,73.0
13,021,"Bibb County, Georgia",6292,6215.0,12507.0
13,023,"Bleckley County, Georgia",73,0.0,73.0
13,025,"Brantley County, Georgia",59,0.0,59.0
13,027,"Brooks County, Georgia",51,0.0,51.0
13,029,"Bryan County, Georgia",503,0.0,503.0
13,031,"Bulloch County, Georgia",1386,0.0,1386.0
13,033,"Burke County, Georgia",251,0.0,251.0
13,035,"Butts County, Georgia",164,0.0,164.0
13,037,"Calhoun County, Georgia",34,0.0,34.0
13,039,"Camden County, Georgia",588,0.0,588.0
13,043,"Candler County, Georgia",45,0.0,45.0
13,045,"Carroll County, Georgia",2045,0.0,2045.0
13,047,"Catoosa County, Georgia",733,0.0,733.0
13,049,"Charlton County, Georgia",56,0.0,56.0
13,051,"Chatham County, Georgia",10410,6969.0,17379.0
13,053,"Chattahoochee County, Georgia",27,0.0,27.0
13,055,"Chattooga County, Georgia",179,0.0,179.0
13,057,"Cherokee County, Georgia",4064,0.0,4064.0
13,059,"Clarke County, Georgia",4252,4744.0,8996.0
13,063,"Clayton County, Georgia",3792,1398.0,5190.0
13,065,"Clinch County, Georgia",29,0.0,29.0
13,067,"Cobb County, Georgia",23412,8671.0,32083.0
13,069,"Coffee County, Georgia",1000,0.0,1000.0
13,071,"Colquitt County, Georgia",346,0.0,346.0
13,073,"Columbia County, Georgia",2786,0.0,2786.0
13,075,"Cook County, Georgia",92,0.0,92.0
13,077,"Coweta County, Georgia",2764,0.0,2764.0
13,081,"Crisp County, Georgia",587,0.0,587.0
13,083,"Dade County, Georgia",126,0.0,126.0
13,085,"Dawson County, Georgia",416,0.0,416.0
13,087,"Decatur County, Georgia",241,0.0,241.0
13,089,"DeKalb County, Georgia",19523,14679.0,34202.0
13,091,"Dodge County, Georgia",391,0.0,391.0
13,093,"Dooly County, Georgia",10,0.0,10.0
13,095,"Dougherty County, Georgia",3320,2149.0,5469.0
13,097,"Douglas County, Georgia",2721,0.0,2721.0
13,099,"Early County, Georgia",300,0.0,300.0
13,103,"Effingham County, Georgia",361,0.0,361.0
13,105,"Elbert County, Georgia",93,0.0,93.0
13,107,"Emanuel County, Georgia",235,0.0,235.0
13,109,"Evans County, Georgia",34,0.0,34.0
13,111,"Fannin County, Georgia",437,0.0,437.0
13,113,"Fayette County, Georgia",4119,0.0,4119.0
13,115,"Floyd County, Georgia",3650,2885.0,6535.0
13,117,"Forsyth County, Georgia",5815,0.0,5815.0
13,119,"Franklin County, Georgia",218,0.0,218.0
13,121,"Fulton County, Georgia",41619,31983.0,73602.0
13,123,"Gilmer County, Georgia",261,0.0,261.0
13,127,"Glynn County, Georgia",2250,0.0,2250.0
13,129,"Gordon County, Georgia",621,0.0,621.0
13,131,"Grady County, Georgia",162,0.0,162.0
13,133,"Greene County, Georgia",361,0.0,361.0
13,135,"Gwinnett County, Georgia",20335,5878.0,26213.0
13,137,"Habersham County, Georgia",430,0.0,430.0
13,139,"Hall County, Georgia",5989,0.0,5989.0
13,141,"Hancock County, Georgia",13,0.0,13.0
13,143,"Haralson County, Georgia",218,0.0,218.0
13,145,"Harris County, Georgia",83,0.0,83.0
13,147,"Hart County, Georgia",196,0.0,196.0
13,151,"Henry County, Georgia",5552,2061.0,7613.0
13,153,"Houston County, Georgia",3118,2043.0,5161.0
13,155,"Irwin County, Georgia",46,0.0,46.0
13,157,"Jackson County, Georgia",564,0.0,564.0
13,159,"Jasper County, Georgia",67,0.0,67.0
13,161,"Jeff Davis County, Georgia",70,0.0,70.0
13,163,"Jefferson County, Georgia",113,0.0,113.0
13,165,"Jenkins County, Georgia",49,0.0,49.0
13,167,"Johnson County, Georgia",44,0.0,44.0
13,169,"Jones County, Georgia",161,0.0,161.0
13,171,"Lamar County, Georgia",129,0.0,129.0
13,173,"Lanier County, Georgia",26,0.0,26.0
13,175,"Laurens County, Georgia",1029,0.0,1029.0
13,177,"Lee County, Georgia",321,0.0,321.0
13,179,"Liberty County, Georgia",645,0.0,645.0
13,181,"Lincoln County, Georgia",34,0.0,34.0
13,183,"Long County, Georgia",42,0.0,42.0
13,185,"Lowndes County, Georgia",2801,0.0,2801.0
13,187,"Lumpkin County, Georgia",375,0.0,375.0
13,189,"McDuffie County, Georgia",513,0.0,513.0
13,191,"McIntosh County, Georgia",32,0.0,32.0
13,193,"Macon County, Georgia",39,0.0,39.0
13,195,"Madison County, Georgia",73,0.0,73.0
13,197,"Marion County, Georgia",18,0.0,18.0
13,199,"Meriwether County, Georgia",118,542.0,660.0
13,201,"Miller County, Georgia",56,0.0,56.0
13,205,"Mitchell County, Georgia",82,0.0,82.0
13,207,"Monroe County, Georgia",357,0.0,357.0
13,211,"Morgan County, Georgia",193,0.0,193.0
13,213,"Murray County, Georgia",180,0.0,180.0
13,215,"Muscogee County, Georgia",6298,6177.0,12475.0
13,217,"Newton County, Georgia",952,0.0,952.0
13,219,"Oconee County, Georgia",1631,0.0,1631.0
13,221,"Oglethorpe County, Georgia",18,0.0,18.0
13,223,"Paulding County, Georgia",1318,0.0,1318.0
13,225,"Peach County, Georgia",117,0.0,117.0
13,227,"Pickens County, Georgia",498,0.0,498.0
13,229,"Pierce County, Georgia",60,0.0,60.0
13,231,"Pike County, Georgia",136,0.0,136.0
13,233,"Polk County, Georgia",315,0.0,315.0
13,235,"Pulaski County, Georgia",410,0.0,410.0
13,237,"Putnam County, Georgia",212,0.0,212.0
13,241,"Rabun County, Georgia",161,0.0,161.0
13,243,"Randolph County, Georgia",13,0.0,13.0
13,245,"Richmond County, Georgia",5900,16010.0,21910.0
13,247,"Rockdale County, Georgia",1806,0.0,1806.0
13,251,"Screven County, Georgia",17,0.0,17.0
13,253,"Seminole County, Georgia",44,0.0,44.0
13,255,"Spalding County, Georgia",1746,0.0,1746.0
13,257,"Stephens County, Georgia",448,0.0,448.0
13,259,"Stewart County, Georgia",41,0.0,41.0
13,261,"Sumter County, Georgia",471,0.0,471.0
13,267,"Tattnall County, Georgia",134,0.0,134.0
13,269,"Taylor County, Georgia",34,0.0,34.0
13,271,"Telfair County, Georgia",30,0.0,30.0
13,273,"Terrell County, Georgia",32,0.0,32.0
13,275,"Thomas County, Georgia",1120,0.0,1120.0
13,277,"Tift County, Georgia",1645,0.0,1645.0
13,279,"Toombs County, Georgia",770,0.0,770.0
13,281,"Towns County, Georgia",170,0.0,170.0
13,283,"Treutlen County, Georgia",11,0.0,11.0
13,285,"Troup County, Georgia",1372,0.0,1372.0
13,287,"Turner County, Georgia",45,0.0,45.0
13,291,"Union County, Georgia",436,0.0,436.0
13,293,"Upson County, Georgia",447,0.0,447.0
13,295,"Walker County, Georgia",217,0.0,217.0
13,297,"Walton County, Georgia",985,0.0,985.0
13,299,"Ware County, Georgia",1189,0.0,1189.0
13,303,"Washington County, Georgia",261,0.0,261.0
13,305,"Wayne County, Georgia",514,0.0,514.0
13,311,"White County, Georgia",229,0.0,229.0
13,313,"Whitfield County, Georgia",2238,0.0,2238.0
13,315,"Wilcox County, Georgia",18,0.0,18.0
13,317,"Wilkes County, Georgia",134,0.0,134.0
13,319,"Wilkinson County, Georgia",36,0.0,36.0
13,321,"Worth County, Georgia",67,0.0,67.0
21,001,"Adair County, Kentucky",236,0.0,236.0
21,003,"Allen County, Kentucky",39,0.0,39.0
21,005,"Anderson County, Kentucky",155,0.0,155.0
21,007,"Ballard County, Kentucky",27,0.0,27.0
21,009,"Barren County, Kentucky",834,0.0,834.0
21,011,"Bath County, Kentucky",94,0.0,94.0
21,013,"Bell County, Kentucky",636,0.0,636.0
21,015,"Boone County, Kentucky",2036,0.0,2036.0
21,017,"Bourbon County, Kentucky",155,0.0,155.0
21,019,"Boyd County, Kentucky",1290,0.0,1290.0
21,021,"Boyle County, Kentucky",1177,0.0,1177.0
21,025,"Breathitt County, Kentucky",241,0.0,241.0
21,027,"Breckinridge County, Kentucky",165,0.0,165.0
21,029,"Bullitt County, Kentucky",1134,0.0,1134.0
21,031,"Butler County, Kentucky",79,0.0,79.0
21,033,"Caldwell County, Kentucky",147,0.0,147.0
21,035,"Calloway County, Kentucky",348,0.0,348.0
21,037,"Campbell County, Kentucky",1092,0.0,1092.0
21,039,"Carlisle County, Kentucky",18,0.0,18.0
21,041,"Carroll County, Kentucky",49,0.0,49.0
21,043,"Carter County, Kentucky",232,0.0,232.0
21,045,"Casey County, Kentucky",141,0.0,141.0
