NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",2720,20,31-33,51,001
"Albemarle County, Virginia",2741,90,31-33,51,003
"Dickenson County, Virginia",27,6,31-33,51,051
"King and Queen County, Virginia",35,7,31-33,51,097
"Lee County, Virginia",117,7,31-33,51,105
"Sussex County, Virginia",183,9,31-33,51,183
"Buena Vista city, Virginia",737,10,31-33,51,530
"Emporia city, Virginia",858,7,31-33,51,595
"Franklin city, Virginia",16,4,31-33,51,620
"Galax city, Virginia",1114,14,31-33,51,640
"Norton city, Virginia",713,7,31-33,51,720
"Radford city, Virginia",1023,12,31-33,51,750
"Alleghany County, Virginia",211,10,31-33,51,005
"Amelia County, Virginia",161,13,31-33,51,007
"Appomattox County, Virginia",98,9,31-33,51,011
"Bath County, Virginia",89,4,31-33,51,017
"Bland County, Virginia",476,7,31-33,51,021
"Brunswick County, Virginia",189,8,31-33,51,025
"Caroline County, Virginia",312,12,31-33,51,033
"Charles City County, Virginia",295,19,31-33,51,036
"Clarke County, Virginia",580,15,31-33,51,043
"Cumberland County, Virginia",111,6,31-33,51,049
"Essex County, Virginia",446,12,31-33,51,057
"Floyd County, Virginia",490,22,31-33,51,063
"Fluvanna County, Virginia",153,17,31-33,51,065
"Giles County, Virginia",932,13,31-33,51,071
"Gloucester County, Virginia",126,17,31-33,51,073
"Grayson County, Virginia",376,15,31-33,51,077
"Greene County, Virginia",53,11,31-33,51,079
"Greensville County, Virginia",937,5,31-33,51,081
"Henry County, Virginia",3259,56,31-33,51,089
"Highland County, Virginia",11,3,31-33,51,091
"Isle of Wight County, Virginia",3603,21,31-33,51,093
"King William County, Virginia",467,12,31-33,51,101
"Lancaster County, Virginia",50,10,31-33,51,103
"Lunenburg County, Virginia",371,6,31-33,51,111
"Madison County, Virginia",282,12,31-33,51,113
"Mathews County, Virginia",87,4,31-33,51,115
"Middlesex County, Virginia",137,12,31-33,51,119
"Montgomery County, Virginia",5765,51,31-33,51,121
"New Kent County, Virginia",207,15,31-33,51,127
"Northampton County, Virginia",218,9,31-33,51,131
"Northumberland County, Virginia",340,17,31-33,51,133
"Page County, Virginia",588,16,31-33,51,139
"Patrick County, Virginia",1067,29,31-33,51,141
"Pittsylvania County, Virginia",1756,39,31-33,51,143
"Prince Edward County, Virginia",95,12,31-33,51,147
"Prince George County, Virginia",1548,22,31-33,51,149
"Pulaski County, Virginia",5156,36,31-33,51,155
"Rappahannock County, Virginia",74,13,31-33,51,157
"Richmond County, Virginia",233,9,31-33,51,159
"Scott County, Virginia",1153,8,31-33,51,169
"Shenandoah County, Virginia",2681,38,31-33,51,171
"Smyth County, Virginia",2652,32,31-33,51,173
"Southampton County, Virginia",610,14,31-33,51,175
"Spotsylvania County, Virginia",1237,59,31-33,51,177
"Surry County, Virginia",124,5,31-33,51,181
"Warren County, Virginia",1275,27,31-33,51,187
"Westmoreland County, Virginia",662,14,31-33,51,193
"Wise County, Virginia",173,10,31-33,51,195
"York County, Virginia",332,23,31-33,51,199
"Alexandria city, Virginia",1359,60,31-33,51,510
"Bristol city, Virginia",1126,18,31-33,51,520
"Covington city, Virginia",1453,5,31-33,51,580
"Danville city, Virginia",4647,39,31-33,51,590
"Fairfax city, Virginia",95,19,31-33,51,600
"Falls Church city, Virginia",90,14,31-33,51,610
"Fredericksburg city, Virginia",370,24,31-33,51,630
"Harrisonburg city, Virginia",2642,43,31-33,51,660
"Hopewell city, Virginia",1418,17,31-33,51,670
"Lexington city, Virginia",8,3,31-33,51,678
"Martinsville city, Virginia",1666,21,31-33,51,690
"Newport News city, Virginia",30851,90,31-33,51,700
"Petersburg city, Virginia",1064,27,31-33,51,730
"Poquoson city, Virginia",8,4,31-33,51,735
"Salem city, Virginia",2855,53,31-33,51,775
"Waynesboro city, Virginia",1355,27,31-33,51,820
"Williamsburg city, Virginia",44,5,31-33,51,830
"Botetourt County, Virginia",3128,32,31-33,51,023
"Culpeper County, Virginia",1505,41,31-33,51,047
"Goochland County, Virginia",194,20,31-33,51,075
"Halifax County, Virginia",1969,35,31-33,51,083
"Powhatan County, Virginia",144,19,31-33,51,145
"Wythe County, Virginia",2313,35,31-33,51,197
"Virginia Beach city, Virginia",6360,198,31-33,51,810
"Winchester city, Virginia",1654,21,31-33,51,840
"Amherst County, Virginia",1339,37,31-33,51,009
"Arlington County, Virginia",205,36,31-33,51,013
"Augusta County, Virginia",5837,66,31-33,51,015
"Bedford County, Virginia",3494,78,31-33,51,019
"Buchanan County, Virginia",196,9,31-33,51,027
"Buckingham County, Virginia",154,10,31-33,51,029
"Campbell County, Virginia",4419,55,31-33,51,031
"Carroll County, Virginia",1249,25,31-33,51,035
"Charlotte County, Virginia",557,13,31-33,51,037
"Chesterfield County, Virginia",9528,157,31-33,51,041
