NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",74,10,51,51,001
"Albemarle County, Virginia",815,66,51,51,003
"Bath County, Virginia",11,4,51,51,017
"Bland County, Virginia",56,3,51,51,021
"Brunswick County, Virginia",5,3,51,51,025
"Lancaster County, Virginia",51,5,51,51,103
"Pittsylvania County, Virginia",37,7,51,51,143
"Rappahannock County, Virginia",37,7,51,51,157
"Russell County, Virginia",319,10,51,51,167
"Lexington city, Virginia",22,4,51,51,678
"Alleghany County, Virginia",26,3,51,51,005
"Amherst County, Virginia",23,7,51,51,009
"Buchanan County, Virginia",35,8,51,51,027
"Buckingham County, Virginia",3,3,51,51,029
"Caroline County, Virginia",6,6,51,51,033
"Cumberland County, Virginia",13,3,51,51,049
"Dickenson County, Virginia",18,6,51,51,051
"Essex County, Virginia",21,5,51,51,057
"Floyd County, Virginia",70,4,51,51,063
"Fluvanna County, Virginia",19,9,51,51,065
"Goochland County, Virginia",9,6,51,51,075
"Grayson County, Virginia",14,3,51,51,077
"Henry County, Virginia",28,8,51,51,089
"Highland County, Virginia",20,4,51,51,091
"King William County, Virginia",8,5,51,51,101
"Lee County, Virginia",20,6,51,51,105
"Mathews County, Virginia",4,4,51,51,115
"Nelson County, Virginia",48,7,51,51,125
"Nottoway County, Virginia",26,5,51,51,135
"Pulaski County, Virginia",42,7,51,51,155
"Richmond County, Virginia",59,6,51,51,159
"Rockbridge County, Virginia",32,8,51,51,163
"Southampton County, Virginia",49,6,51,51,175
"Westmoreland County, Virginia",17,4,51,51,193
"Covington city, Virginia",32,8,51,51,580
"Franklin city, Virginia",21,7,51,51,620
"Manassas Park city, Virginia",13,4,51,51,685
"Norton city, Virginia",72,8,51,51,720
"Radford city, Virginia",16,6,51,51,750
"Williamsburg city, Virginia",8,5,51,51,830
"Augusta County, Virginia",82,14,51,51,015
"Louisa County, Virginia",5,4,51,51,109
"Montgomery County, Virginia",686,49,51,51,121
"New Kent County, Virginia",24,4,51,51,127
"Northampton County, Virginia",11,4,51,51,131
"Page County, Virginia",22,8,51,51,139
"Falls Church city, Virginia",311,18,51,51,610
"Harrisonburg city, Virginia",367,26,51,51,660
"Martinsville city, Virginia",83,11,51,51,690
"Waynesboro city, Virginia",318,16,51,51,820
"Winchester city, Virginia",146,20,51,51,840
"Appomattox County, Virginia",8,4,51,51,011
"Arlington County, Virginia",7622,193,51,51,013
"Bedford County, Virginia",162,15,51,51,019
"Botetourt County, Virginia",52,8,51,51,023
"Campbell County, Virginia",118,16,51,51,031
"Chesterfield County, Virginia",2121,125,51,51,041
"Clarke County, Virginia",11,5,51,51,043
"Culpeper County, Virginia",842,22,51,51,047
"Fairfax County, Virginia",38204,873,51,51,059
"Fauquier County, Virginia",59,23,51,51,061
"Franklin County, Virginia",83,18,51,51,067
"Frederick County, Virginia",165,28,51,51,069
"Giles County, Virginia",39,7,51,51,071
"Gloucester County, Virginia",82,10,51,51,073
"Greene County, Virginia",10,4,51,51,079
"Halifax County, Virginia",110,13,51,51,083
"Hanover County, Virginia",554,38,51,51,085
"Henrico County, Virginia",4956,199,51,51,087
"Isle of Wight County, Virginia",12,6,51,51,093
"James City County, Virginia",173,14,51,51,095
"Loudoun County, Virginia",9296,326,51,51,107
"Mecklenburg County, Virginia",308,16,51,51,117
"Middlesex County, Virginia",77,6,51,51,119
"Orange County, Virginia",42,9,51,51,137
"Patrick County, Virginia",34,6,51,51,141
"Powhatan County, Virginia",61,3,51,51,145
"Prince Edward County, Virginia",104,12,51,51,147
"Prince George County, Virginia",26,4,51,51,149
"Prince William County, Virginia",1011,117,51,51,153
"Roanoke County, Virginia",398,30,51,51,161
"Rockingham County, Virginia",32,16,51,51,165
"Scott County, Virginia",79,3,51,51,169
"Shenandoah County, Virginia",405,20,51,51,171
"Smyth County, Virginia",81,14,51,51,173
"Spotsylvania County, Virginia",397,42,51,51,177
"Stafford County, Virginia",246,36,51,51,179
"Tazewell County, Virginia",80,18,51,51,185
"Warren County, Virginia",141,21,51,51,187
