state,county,NAME,mean_commute_time
51,001,"Accomack County, Virginia",21.4
51,003,"Albemarle County, Virginia",22.4
51,005,"Alleghany County, Virginia",24.8
51,007,"Amelia County, Virginia",37.4
51,009,"Amherst County, Virginia",27.4
51,011,"Appomattox County, Virginia",26.0
51,013,"Arlington County, Virginia",27.7
51,015,"Augusta County, Virginia",24.2
51,017,"Bath County, Virginia",20.4
51,019,"Bedford County, Virginia",26.5
51,021,"Bland County, Virginia",24.0
51,023,"Botetourt County, Virginia",25.2
51,025,"Brunswick County, Virginia",32.6
51,027,"Buchanan County, Virginia",29.6
51,029,"Buckingham County, Virginia",39.5
51,031,"Campbell County, Virginia",23.3
51,033,"Caroline County, Virginia",36.2
51,035,"Carroll County, Virginia",26.6
51,036,"Charles City County, Virginia",35.7
51,037,"Charlotte County, Virginia",33.5
51,041,"Chesterfield County, Virginia",26.4
51,043,"Clarke County, Virginia",35.3
51,045,"Craig County, Virginia",33.9
51,047,"Culpeper County, Virginia",36.9
51,049,"Cumberland County, Virginia",41.4
51,051,"Dickenson County, Virginia",28.0
51,053,"Dinwiddie County, Virginia",33.1
51,057,"Essex County, Virginia",34.8
51,059,"Fairfax County, Virginia",30.4
51,061,"Fauquier County, Virginia",37.6
51,063,"Floyd County, Virginia",33.4
51,065,"Fluvanna County, Virginia",32.0
51,067,"Franklin County, Virginia",30.9
51,069,"Frederick County, Virginia",32.7
51,071,"Giles County, Virginia",29.0
51,073,"Gloucester County, Virginia",34.4
51,075,"Goochland County, Virginia",29.9
51,077,"Grayson County, Virginia",26.4
51,079,"Greene County, Virginia",30.3
51,081,"Greensville County, Virginia",26.5
51,083,"Halifax County, Virginia",25.4
51,085,"Hanover County, Virginia",26.6
51,087,"Henrico County, Virginia",22.4
51,089,"Henry County, Virginia",24.1
51,091,"Highland County, Virginia",24.6
51,093,"Isle of Wight County, Virginia",29.6
51,095,"James City County, Virginia",26.2
51,097,"King and Queen County, Virginia",34.6
51,099,"King George County, Virginia",35.6
51,101,"King William County, Virginia",34.7
51,103,"Lancaster County, Virginia",26.6
51,105,"Lee County, Virginia",26.0
51,107,"Loudoun County, Virginia",32.2
51,109,"Louisa County, Virginia",34.5
51,111,"Lunenburg County, Virginia",32.0
51,113,"Madison County, Virginia",29.0
51,115,"Mathews County, Virginia",36.9
51,117,"Mecklenburg County, Virginia",25.7
51,119,"Middlesex County, Virginia",29.8
51,121,"Montgomery County, Virginia",18.0
51,125,"Nelson County, Virginia",29.9
51,127,"New Kent County, Virginia",31.7
51,131,"Northampton County, Virginia",24.7
51,133,"Northumberland County, Virginia",38.8
51,135,"Nottoway County, Virginia",30.8
51,137,"Orange County, Virginia",37.1
51,139,"Page County, Virginia",33.0
51,141,"Patrick County, Virginia",33.4
