fips,NAME,total_population,under_15,age_15_64,age_65_plus,dependency_ratio
51001,"Accomack County, Virginia",33367,5630,19424,8313,0.7178233113673805
51003,"Albemarle County, Virginia",112513,18103,72273,22137,0.5567777731656358
51005,"Alleghany County, Virginia",15159,2312,9042,3805,0.6765096217650962
51007,"Amelia County, Virginia",13309,2265,8379,2665,0.588375701157656
51009,"Amherst County, Virginia",31426,5205,19558,6663,0.6068105123223233
51011,"Appomattox County, Virginia",16253,2987,9932,3334,0.6364277084172372
51013,"Arlington County, Virginia",235845,36286,172986,26573,0.3633762269779057
51015,"Augusta County, Virginia",77433,11830,48794,16809,0.5869369184735829
51017,"Bath County, Virginia",4177,612,2355,1210,0.7736730360934183
51019,"Bedford County, Virginia",79761,12603,49477,17681,0.612082381712715
51021,"Bland County, Virginia",6241,775,3984,1482,0.5665160642570282
51023,"Botetourt County, Virginia",33734,5008,20899,7827,0.6141442174266711
51025,"Brunswick County, Virginia",15965,2122,10346,3497,0.5431084477092596
51027,"Buchanan County, Virginia",20246,2770,12810,4666,0.5804839968774395
51029,"Buckingham County, Virginia",16869,2536,10993,3340,0.5345219685254252
51031,"Campbell County, Virginia",55518,8957,35093,11468,0.5820249052517596
51033,"Caroline County, Virginia",31181,5993,20074,5114,0.5533027797150543
51035,"Carroll County, Virginia",29126,4154,17652,7320,0.6500113301608883
51036,"Charles City County, Virginia",6760,808,4221,1731,0.6015162283819
51037,"Charlotte County, Virginia",11563,2081,6902,2580,0.6753115039119096
51041,"Chesterfield County, Virginia",366019,70344,238778,56897,0.5328841015503941
51043,"Clarke County, Virginia",14882,2166,9520,3196,0.5632352941176471
51045,"Craig County, Virginia",4898,1047,2910,941,0.6831615120274914
51047,"Culpeper County, Virginia",52822,10724,33567,8531,0.5736288616796258
51049,"Cumberland County, Virginia",9697,1451,6045,2201,0.6041356492969396
51051,"Dickenson County, Virginia",14089,2221,8571,3297,0.6437988566094971
51053,"Dinwiddie County, Virginia",28057,4735,18119,5203,0.5484850157293449
51057,"Essex County, Virginia",10602,1502,6610,2490,0.6039334341906203
51059,"Fairfax County, Virginia",1145354,218367,764753,162234,0.4976783353579522
51061,"Fauquier County, Virginia",73290,13732,47296,12262,0.5496025033829499
51063,"Floyd County, Virginia",15532,2262,9504,3766,0.6342592592592593
51065,"Fluvanna County, Virginia",27442,4398,17441,5603,0.5734189553351299
51067,"Franklin County, Virginia",54838,8247,33442,13149,0.6397942706775911
51069,"Frederick County, Virginia",92007,17095,58276,16636,0.5788146063559613
51071,"Giles County, Virginia",16711,2761,10327,3623,0.6181853394015687
51073,"Gloucester County, Virginia",38875,6381,24892,7602,0.5617467459424714
51075,"Goochland County, Virginia",24906,3269,15898,5739,0.566612152472009
51077,"Grayson County, Virginia",15356,2064,9384,3908,0.6364023870417732
51079,"Greene County, Virginia",20631,3831,12987,3813,0.5885885885885885
51081,"Greensville County, Virginia",11373,1559,8031,1783,0.4161374673141576
51083,"Halifax County, Virginia",34013,5506,20033,8474,0.6978485498926771
51085,"Hanover County, Virginia",110513,19196,70908,20409,0.5585406442150392
51087,"Henrico County, Virginia",333120,61010,218133,53977,0.5271416979549174
51089,"Henry County, Virginia",50760,7949,30422,12389,0.6685293537571494
51091,"Highland County, Virginia",2247,238,1180,829,0.9042372881355932
51093,"Isle of Wight County, Virginia",38898,6643,24759,7496,0.5710650672482733
51095,"James City County, Virginia",78818,12572,45638,20608,0.7270257241772208
51097,"King and Queen County, Virginia",6681,1009,4181,1491,0.597943075819182
51099,"King George County, Virginia",26985,5561,17742,3682,0.5209671964829219
