fips,NAME,total_25_plus,hs_diploma,ged,associates,bachelors,pct_hs_only,pct_associates_only,pct_bachelors_only
51001,"Accomack County, Virginia",24396,6992,1070,2051,2970,33.046401049352355,8.40711592064273,12.174126906050173
51003,"Albemarle County, Virginia",76936,9804,1475,4434,23136,14.660237080170532,5.763231777061454,30.071747946345013
51005,"Alleghany County, Virginia",11161,4332,513,827,967,43.41008870172924,7.409730310904041,8.664098199086103
51007,"Amelia County, Virginia",9801,3664,779,770,1251,45.3321089684726,7.856341189674524,12.764003673094582
51009,"Amherst County, Virginia",22321,6901,1559,2195,2996,37.901527709332015,9.833788808745128,13.42233770888401
51011,"Appomattox County, Virginia",11491,3768,790,853,1626,39.66582542859629,7.423200765816726,14.15020450787573
51013,"Arlington County, Virginia",173124,10675,1961,5657,61741,7.298814722395508,3.2676001016612366,35.66287747510455
51015,"Augusta County, Virginia",57106,19116,3871,4232,8937,40.253213322593076,7.41077995306973,15.649844149476413
51017,"Bath County, Virginia",3217,978,201,226,408,36.64905191171899,7.025178737954615,12.68262356232515
51019,"Bedford County, Virginia",58099,14534,2532,5240,11560,29.373999552487994,9.019088108229058,19.897072238764867
51021,"Bland County, Virginia",4995,1651,620,397,565,45.46546546546546,7.947947947947948,11.31131131131131
51023,"Botetourt County, Virginia",24891,7861,883,2986,4273,35.129163151339846,11.996303884938332,17.166847454903376
51025,"Brunswick County, Virginia",12066,2834,1328,817,1194,34.493618431957564,6.771092325542847,9.895574341123819
51027,"Buchanan County, Virginia",15445,4928,1154,1084,853,39.37843962447394,7.01845257364843,5.5228229200388474
51029,"Buckingham County, Virginia",12595,4215,1494,790,985,45.327510917030565,6.272330289797538,7.820563715760222
51031,"Campbell County, Virginia",40012,11305,2411,3616,6576,34.27971608517445,9.037288813355993,16.435069479156255
51033,"Caroline County, Virginia",21511,7234,1372,1654,2961,40.00743805494863,7.689089303147227,13.76505043931012
51035,"Carroll County, Virginia",21867,6998,1333,2464,2474,38.098504595966524,11.268120912790963,11.31385192298898
51036,"Charles City County, Virginia",5323,1827,305,414,628,40.05260191621266,7.777569040015029,11.797858350554199
51037,"Charlotte County, Virginia",8154,2567,535,822,789,38.042678440029434,10.08094186902134,9.676232523914644
51041,"Chesterfield County, Virginia",247120,46829,8162,21266,64038,22.25275169957915,8.605535772094528,25.913726124959535
51043,"Clarke County, Virginia",10904,2749,465,891,2420,29.475421863536315,8.171313279530446,22.19369038884813
51045,"Craig County, Virginia",3476,1357,94,383,378,41.7433831990794,11.018411967779057,10.87456846950518
51047,"Culpeper County, Virginia",35453,9992,2064,3222,6226,34.005584858827184,9.088088455137788,17.561278312131552
51049,"Cumberland County, Virginia",7215,1985,517,780,705,34.67775467775468,10.81081081081081,9.771309771309772
51051,"Dickenson County, Virginia",10379,3391,692,975,970,39.33905000481742,9.39396859042297,9.345794392523365
51053,"Dinwiddie County, Virginia",20159,6268,1692,2276,2227,39.48608561932635,11.29024257155613,11.04717495907535
51057,"Essex County, Virginia",7710,2508,293,388,779,36.329442282749675,5.03242542153048,10.103761348897535
51059,"Fairfax County, Virginia",782543,85218,9941,43431,248678,12.160226338999902,5.549982556869079,31.77818982471251
51061,"Fauquier County, Virginia",50357,10826,1430,3451,12142,24.33822507297893,6.853069086720813,24.111841452032486
51063,"Floyd County, Virginia",11686,3949,493,1445,1588,38.01129556734554,12.365223344172515,13.588909806606194
51065,"Fluvanna County, Virginia",20240,4286,779,1713,4547,25.024703557312257,8.463438735177865,22.465415019762847
51067,"Franklin County, Virginia",39873,11163,2603,3920,6109,34.52461565470368,9.831214104782685,15.32114463421363
51069,"Frederick County, Virginia",64068,16855,3145,4821,10918,31.21683211587688,7.524817381532121,17.04126865205719
51071,"Giles County, Virginia",12132,4571,377,1023,1376,40.78470161556215,8.432245301681505,11.341905703923508
51073,"Gloucester County, Virginia",28272,7202,1389,2603,4511,30.38695529145444,9.206989247311828,15.955715902659875
51075,"Goochland County, Virginia",18847,3408,967,1456,4704,23.213243487027114,7.725367432482623,24.95887939725155
