fips,NAME,total_population,hispanic_population,pct_hispanic
51001,"Accomack County, Virginia",33367,3084,9.242664908442473
51003,"Albemarle County, Virginia",112513,6633,5.895318763165145
51005,"Alleghany County, Virginia",15159,246,1.622798337621215
51007,"Amelia County, Virginia",13309,455,3.4187391990382445
51009,"Amherst County, Virginia",31426,839,2.6697638897727995
51011,"Appomattox County, Virginia",16253,352,2.16575401464345
51013,"Arlington County, Virginia",235845,36734,15.57548389832305
51015,"Augusta County, Virginia",77433,2655,3.4287706791677968
51017,"Bath County, Virginia",4177,31,0.7421594445774479
51019,"Bedford County, Virginia",79761,2079,2.6065370293752586
51021,"Bland County, Virginia",6241,49,0.7851305880467874
51023,"Botetourt County, Virginia",33734,666,1.9742692832157467
51025,"Brunswick County, Virginia",15965,415,2.5994362668336986
51027,"Buchanan County, Virginia",20246,193,0.95327472093253
51029,"Buckingham County, Virginia",16869,426,2.5253423439445135
51031,"Campbell County, Virginia",55518,1701,3.063871176915595
51033,"Caroline County, Virginia",31181,1841,5.904236554311921
51035,"Carroll County, Virginia",29126,1226,4.209297534848589
51036,"Charles City County, Virginia",6760,146,2.1597633136094676
51037,"Charlotte County, Virginia",11563,299,2.5858341260918447
51041,"Chesterfield County, Virginia",366019,36094,9.8612367117554
51043,"Clarke County, Virginia",14882,985,6.6187340411235045
51045,"Craig County, Virginia",4898,46,0.9391588403429971
51047,"Culpeper County, Virginia",52822,6546,12.392563704517057
51049,"Cumberland County, Virginia",9697,114,1.1756213261833557
51051,"Dickenson County, Virginia",14089,148,1.0504649016963588
51053,"Dinwiddie County, Virginia",28057,1106,3.94197526463984
51057,"Essex County, Virginia",10602,469,4.423693642708923
51059,"Fairfax County, Virginia",1145354,189282,16.52606966929002
51061,"Fauquier County, Virginia",73290,7224,9.8567335243553
51063,"Floyd County, Virginia",15532,456,2.935874323976307
51065,"Fluvanna County, Virginia",27442,1147,4.179724509875374
51067,"Franklin County, Virginia",54838,1638,2.9869798315037017
51069,"Frederick County, Virginia",92007,9317,10.126403425826295
51071,"Giles County, Virginia",16711,319,1.908922266770391
51073,"Gloucester County, Virginia",38875,1594,4.10032154340836
51075,"Goochland County, Virginia",24906,809,3.2482132819400946
51077,"Grayson County, Virginia",15356,601,3.9137796301120082
51079,"Greene County, Virginia",20631,1364,6.611410014056516
51081,"Greensville County, Virginia",11373,578,5.082212257100149
51083,"Halifax County, Virginia",34013,805,2.3667421280098786
51085,"Hanover County, Virginia",110513,3667,3.318161664238596
51087,"Henrico County, Virginia",333120,20442,6.136527377521614
51089,"Henry County, Virginia",50760,3070,6.048069345941686
51091,"Highland County, Virginia",2247,0,0.0
51093,"Isle of Wight County, Virginia",38898,1569,4.033626407527379
51095,"James City County, Virginia",78818,5022,6.37164099571164
51097,"King and Queen County, Virginia",6681,243,3.6371800628648407
51099,"King George County, Virginia",26985,1714,6.351676857513433
51101,"King William County, Virginia",17845,521,2.919585318016251
51103,"Lancaster County, Virginia",10866,251,2.3099576661144856
51105,"Lee County, Virginia",22287,476,2.135774218154081
51107,"Loudoun County, Virginia",420773,58198,13.831210652774775
51109,"Louisa County, Virginia",38106,1366,3.584737311709442
51111,"Lunenburg County, Virginia",11988,730,6.089422756089423
51113,"Madison County, Virginia",13828,475,3.435059299971073
51115,"Mathews County, Virginia",8537,261,3.057280074967787
51117,"Mecklenburg County, Virginia",30367,941,3.09875852076267
51119,"Middlesex County, Virginia",10738,336,3.129074315514994
51121,"Montgomery County, Virginia",99373,3519,3.5412033449729803
51125,"Nelson County, Virginia",14773,677,4.582684627360726
51127,"New Kent County, Virginia",23296,931,3.9963942307692304
51131,"Northampton County, Virginia",12132,1146,9.446092977250247
51133,"Northumberland County, Virginia",12007,489,4.072624302490214
51135,"Nottoway County, Virginia",15638,783,5.007034147589206
51137,"Orange County, Virginia",36593,2206,6.028475391468314
51139,"Page County, Virginia",23753,562,2.3660169241779987
51141,"Patrick County, Virginia",17660,577,3.2672706681766703
51143,"Pittsylvania County, Virginia",60541,1760,2.907120794172544
51145,"Powhatan County, Virginia",30503,754,2.47188801101531
51147,"Prince Edward County, Virginia",21922,791,3.608247422680412
51149,"Prince George County, Virginia",42634,4117,9.65661209363419
51153,"Prince William County, Virginia",481114,120125,24.9680948797998
51155,"Pulaski County, Virginia",33841,658,1.9443869862001715
51157,"Rappahannock County, Virginia",7422,318,4.284559417946645
51159,"Richmond County, Virginia",8968,672,7.493309545049064
51161,"Roanoke County, Virginia",96653,3402,3.519807972851334
51163,"Rockbridge County, Virginia",22673,485,2.1391081903585762
51165,"Rockingham County, Virginia",83905,6561,7.81955783326381
51167,"Russell County, Virginia",25763,178,0.6909133253114932
51169,"Scott County, Virginia",21536,323,1.49981426448737
51171,"Shenandoah County, Virginia",44337,3550,8.006856575771929
51173,"Smyth County, Virginia",29799,673,2.258465049162724
51175,"Southampton County, Virginia",18003,395,2.194078764650336
51177,"Spotsylvania County, Virginia",141097,15971,11.319163412404233
51179,"Stafford County, Virginia",157606,23520,14.923289722472493
51181,"Surry County, Virginia",6546,185,2.8261533761075466
51183,"Sussex County, Virginia",10866,382,3.5155531014172645
51185,"Tazewell County, Virginia",40392,468,1.1586452762923352
51187,"Warren County, Virginia",40800,2581,6.325980392156863
51191,"Washington County, Virginia",53985,878,1.6263776975085673
51193,"Westmoreland County, Virginia",18480,1259,6.812770562770563
51195,"Wise County, Virginia",36105,482,1.3349951530258968
51197,"Wythe County, Virginia",28275,402,1.4217506631299734
51199,"York County, Virginia",70238,5100,7.2610267946126035
51510,"Alexandria city, Virginia",157594,26092,16.556467885833218
51520,"Bristol city, Virginia",17036,445,2.612115520075135
51530,"Buena Vista city, Virginia",6639,98,1.4761259225787016
51540,"Charlottesville city, Virginia",46289,2705,5.843720970424939
