NAME,households_with_children,total_households,state,county,year,fips
"Isle of Wight County, Virginia",3856,14157,51,093,2017,51093
"James City County, Virginia",7049,28410,51,095,2017,51095
"Russell County, Virginia",2358,11102,51,167,2017,51167
"Franklin city, Virginia",883,3470,51,620,2017,51620
"Smyth County, Virginia",3249,12829,51,173,2017,51173
"Charlottesville city, Virginia",3952,18408,51,540,2017,51540
"Lexington city, Virginia",266,1935,51,678,2017,51678
"Campbell County, Virginia",5663,22608,51,031,2017,51031
"Henrico County, Virginia",35733,126115,51,087,2017,51087
"Henry County, Virginia",4905,22161,51,089,2017,51089
"King George County, Virginia",2999,8972,51,099,2017,51099
"King William County, Virginia",1994,6079,51,101,2017,51101
"Lancaster County, Virginia",711,5081,51,103,2017,51103
"Lee County, Virginia",2178,9278,51,105,2017,51105
"Louisa County, Virginia",3261,13451,51,109,2017,51109
"Mathews County, Virginia",600,3766,51,115,2017,51115
"Middlesex County, Virginia",663,4522,51,119,2017,51119
"Prince Edward County, Virginia",1625,7281,51,147,2017,51147
"Prince George County, Virginia",3678,11298,51,149,2017,51149
"Richmond County, Virginia",747,3250,51,159,2017,51159
"Rockingham County, Virginia",8319,30503,51,165,2017,51165
"Scott County, Virginia",1789,8976,51,169,2017,51169
"Spotsylvania County, Virginia",14744,43279,51,177,2017,51177
"Surry County, Virginia",647,2773,51,181,2017,51181
"Appomattox County, Virginia",1669,5948,51,011,2017,51011
"Clarke County, Virginia",1323,5568,51,043,2017,51043
"Franklin County, Virginia",5489,23203,51,067,2017,51067
"King and Queen County, Virginia",509,2811,51,097,2017,51097
"Mecklenburg County, Virginia",2274,11785,51,117,2017,51117
"Montgomery County, Virginia",8027,35577,51,121,2017,51121
"New Kent County, Virginia",2197,7555,51,127,2017,51127
"Augusta County, Virginia",7117,28790,51,015,2017,51015
"Cumberland County, Virginia",944,3972,51,049,2017,51049
"Dickenson County, Virginia",1428,6096,51,051,2017,51051
"Goochland County, Virginia",1959,8257,51,075,2017,51075
"Halifax County, Virginia",2998,14084,51,083,2017,51083
"Loudoun County, Virginia",55027,121299,51,107,2017,51107
"Madison County, Virginia",1102,5107,51,113,2017,51113
"Prince William County, Virginia",57810,139306,51,153,2017,51153
"Roanoke County, Virginia",10108,38434,51,161,2017,51161
"Southampton County, Virginia",2012,6664,51,175,2017,51175
"Highland County, Virginia",136,1163,51,091,2017,51091
"Brunswick County, Virginia",1297,6048,51,025,2017,51025
"Caroline County, Virginia",2996,10815,51,033,2017,51033
"Gloucester County, Virginia",3813,14746,51,073,2017,51073
"Northampton County, Virginia",1028,5177,51,131,2017,51131
"Patrick County, Virginia",1616,7713,51,141,2017,51141
"Powhatan County, Virginia",2955,9974,51,145,2017,51145
"Rockbridge County, Virginia",1962,9160,51,163,2017,51163
"Shenandoah County, Virginia",4262,17262,51,171,2017,51171
"Fauquier County, Virginia",7445,23981,51,061,2017,51061
"Norton city, Virginia",513,1786,51,720,2017,51720
"Staunton city, Virginia",2144,10477,51,790,2017,51790
"Fluvanna County, Virginia",2709,9794,51,065,2017,51065
"Amelia County, Virginia",1112,4699,51,007,2017,51007
"Radford city, Virginia",966,5503,51,750,2017,51750
"Winchester city, Virginia",2933,10520,51,840,2017,51840
"Accomack County, Virginia",2901,13528,51,001,2017,51001
"Craig County, Virginia",523,2344,51,045,2017,51045
"Floyd County, Virginia",1675,6434,51,063,2017,51063
"Giles County, Virginia",1729,7088,51,071,2017,51071
"Grayson County, Virginia",1240,6653,51,077,2017,51077
"Nottoway County, Virginia",1595,5633,51,135,2017,51135
"Rappahannock County, Virginia",654,3131,51,157,2017,51157
"Charles City County, Virginia",463,2899,51,036,2017,51036
"Culpeper County, Virginia",5413,16837,51,047,2017,51047
"Dinwiddie County, Virginia",2707,10347,51,053,2017,51053
"Greene County, Virginia",2112,7260,51,079,2017,51079
"Hanover County, Virginia",11886,38208,51,085,2017,51085
"Lunenburg County, Virginia",960,4480,51,111,2017,51111
"Orange County, Virginia",3910,13470,51,137,2017,51137
"Emporia city, Virginia",698,2119,51,595,2017,51595
"Wythe County, Virginia",2522,11892,51,197,2017,51197
"Chesapeake city, Virginia",27681,83031,51,550,2017,51550
"Colonial Heights city, Virginia",1883,7092,51,570,2017,51570
"Harrisonburg city, Virginia",4354,16848,51,660,2017,51660
"Albemarle County, Virginia",10645,40015,51,003,2017,51003
"Bland County, Virginia",663,2561,51,021,2017,51021
"Bedford County, Virginia",7699,30927,51,019,2017,51019
"Botetourt County, Virginia",3252,13238,51,023,2017,51023
"Buckingham County, Virginia",1419,5705,51,029,2017,51029
"Wise County, Virginia",3946,15104,51,195,2017,51195
"Bristol city, Virginia",1913,7418,51,520,2017,51520
"Covington city, Virginia",611,2399,51,580,2017,51580
"Portsmouth city, Virginia",9274,36616,51,740,2017,51740
"Williamsburg city, Virginia",932,4649,51,830,2017,51830
"Virginia Beach city, Virginia",52321,167731,51,810,2017,51810
"Alleghany County, Virginia",1495,6866,51,005,2017,51005
"Carroll County, Virginia",2731,12517,51,035,2017,51035
"Galax city, Virginia",732,2837,51,640,2017,51640
"Washington County, Virginia",5026,22388,51,191,2017,51191
"Westmoreland County, Virginia",1180,7412,51,193,2017,51193
"Northumberland County, Virginia",1136,5774,51,133,2017,51133
"Page County, Virginia",2157,9467,51,139,2017,51139
"Pulaski County, Virginia",3196,14577,51,155,2017,51155
"Warren County, Virginia",3902,14190,51,187,2017,51187
"Alexandria city, Virginia",14792,68663,51,510,2017,51510
"Danville city, Virginia",4128,18517,51,590,2017,51590
"Fredericksburg city, Virginia",2742,10419,51,630,2017,51630
"Hampton city, Virginia",13217,53555,51,650,2017,51650
"Amherst County, Virginia",2625,12110,51,009,2017,51009
"Arlington County, Virginia",21493,102310,51,013,2017,51013
"Bath County, Virginia",384,1847,51,017,2017,51017
"Hopewell city, Virginia",2564,9123,51,670,2017,51670
"Buchanan County, Virginia",1864,9022,51,027,2017,51027
"Newport News city, Virginia",18945,68665,51,700,2017,51700
"Frederick County, Virginia",9389,30495,51,069,2017,51069
"Stafford County, Virginia",18261,45345,51,179,2017,51179
"Lynchburg city, Virginia",7280,28150,51,680,2017,51680
"York County, Virginia",8545,24333,51,199,2017,51199
"Richmond city, Virginia",16856,89238,51,760,2017,51760
"Martinsville city, Virginia",1379,5740,51,690,2017,51690
"Nelson County, Virginia",1431,6523,51,125,2017,51125
"Essex County, Virginia",958,4470,51,057,2017,51057
"Pittsylvania County, Virginia",6484,26687,51,143,2017,51143
"Tazewell County, Virginia",3723,17330,51,185,2017,51185
"Buena Vista city, Virginia",702,2606,51,530,2017,51530
"Falls Church city, Virginia",1709,5308,51,610,2017,51610
"Manassas Park city, Virginia",1942,4778,51,685,2017,51685
"Petersburg city, Virginia",2775,13262,51,730,2017,51730
"Poquoson city, Virginia",1414,4583,51,735,2017,51735
"Sussex County, Virginia",628,3388,51,183,2017,51183
"Fairfax city, Virginia",2388,8499,51,600,2017,51600
"Waynesboro city, Virginia",2208,9128,51,820,2017,51820
"Manassas city, Virginia",4528,12540,51,683,2017,51683
"Roanoke city, Virginia",9564,42333,51,770,2017,51770
"Salem city, Virginia",2508,9997,51,775,2017,51775
"Suffolk city, Virginia",10365,32331,51,800,2017,51800
"Norfolk city, Virginia",23514,87249,51,710,2017,51710
"Charlotte County, Virginia",856,4493,51,037,2017,51037
"Chesterfield County, Virginia",38089,120907,51,041,2017,51041
"Fairfax County, Virginia",135085,393380,51,059,2017,51059
"Greensville County, Virginia",869,3649,51,081,2017,51081
"Delaware County, Pennsylvania",60177,204870,42,045,2017,42045
"Dauphin County, Pennsylvania",28840,111489,42,043,2017,42043
"Franklin County, Pennsylvania",16290,60102,42,055,2017,42055
"Union County, Pennsylvania",3954,14702,42,119,2017,42119
