fips,NAME,total_employed,mgmt_prof_sci_arts,pct_knowledge_workers
51001,"Accomack County, Virginia",14408,3552,24.652970571904497
51003,"Albemarle County, Virginia",54574,31741,58.16139553633598
51005,"Alleghany County, Virginia",6060,1800,29.7029702970297
51007,"Amelia County, Virginia",6340,1897,29.921135646687695
51009,"Amherst County, Virginia",14978,5089,33.976498865002
51011,"Appomattox County, Virginia",7832,2436,31.103166496424922
51013,"Arlington County, Virginia",146957,107692,73.28129997210068
51015,"Augusta County, Virginia",37573,12978,34.54076065259628
51017,"Bath County, Virginia",1753,641,36.56588705077011
51019,"Bedford County, Virginia",37171,15956,42.925936886282315
51021,"Bland County, Virginia",2280,604,26.49122807017544
51023,"Botetourt County, Virginia",16237,5584,34.390589394592595
51025,"Brunswick County, Virginia",6485,1553,23.947571318427137
51027,"Buchanan County, Virginia",5990,1743,29.098497495826376
51029,"Buckingham County, Virginia",6801,1663,24.4522864284664
51031,"Campbell County, Virginia",26222,8899,33.9371520097628
51033,"Caroline County, Virginia",15171,5564,36.67523564695801
51035,"Carroll County, Virginia",12303,4139,33.64220108916525
51036,"Charles City County, Virginia",3275,936,28.580152671755727
51037,"Charlotte County, Virginia",4689,1450,30.923437833226703
51041,"Chesterfield County, Virginia",186171,87410,46.951458605260754
51043,"Clarke County, Virginia",7396,3452,46.673877771768524
51045,"Craig County, Virginia",1997,669,33.50025037556335
51047,"Culpeper County, Virginia",25794,9645,37.39241684112584
51049,"Cumberland County, Virginia",5069,1434,28.289603472085222
51051,"Dickenson County, Virginia",4472,1590,35.55456171735242
51053,"Dinwiddie County, Virginia",13516,4147,30.682154483575026
51057,"Essex County, Virginia",4402,1382,31.394820536119944
51059,"Fairfax County, Virginia",610265,375294,61.49689069502593
51061,"Fauquier County, Virginia",38689,18114,46.81950942128253
51063,"Floyd County, Virginia",7652,2845,37.17982226868792
51065,"Fluvanna County, Virginia",13379,5781,43.20950743702818
51067,"Franklin County, Virginia",23999,8417,35.07229467894496
51069,"Frederick County, Virginia",44888,17852,39.770094457315984
51071,"Giles County, Virginia",7458,2033,27.259318852239208
51073,"Gloucester County, Virginia",19020,6705,35.25236593059937
51075,"Goochland County, Virginia",11680,5720,48.97260273972603
51077,"Grayson County, Virginia",5963,1791,30.035217172564145
51079,"Greene County, Virginia",10861,3891,35.82543043918608
51081,"Greensville County, Virginia",3928,1225,31.186354378818738
51083,"Halifax County, Virginia",13861,4152,29.95454873385758
51085,"Hanover County, Virginia",57612,27034,46.924251891966954
51087,"Henrico County, Virginia",176922,82997,46.911633375159674
51089,"Henry County, Virginia",20188,5950,29.472954230235782
51091,"Highland County, Virginia",809,335,41.409147095179236
51093,"Isle of Wight County, Virginia",18620,7997,42.9484425349087
51095,"James City County, Virginia",34760,16714,48.08400460299194
51097,"King and Queen County, Virginia",3303,1176,35.60399636693914
