fips,NAME,total_16_plus,in_labor_force,labor_force_participation_rate
51001,"Accomack County, Virginia",27380,15203,55.525931336742154
51003,"Albemarle County, Virginia",93153,56602,60.76240164031217
51005,"Alleghany County, Virginia",12657,6314,49.88543888757209
51007,"Amelia County, Virginia",10848,6613,60.96054572271387
51009,"Amherst County, Virginia",25835,15680,60.69285852525643
51011,"Appomattox County, Virginia",13077,8117,62.07081134816854
51013,"Arlington County, Virginia",197592,154823,78.35489291064415
51015,"Augusta County, Virginia",64695,38878,60.09428858489837
51017,"Bath County, Virginia",3535,1806,51.08910891089109
51019,"Bedford County, Virginia",66231,38340,57.8883000407664
51021,"Bland County, Virginia",5423,2359,43.499907800110634
51023,"Botetourt County, Virginia",28249,16779,59.39679280682502
51025,"Brunswick County, Virginia",13672,6838,50.01462843768285
51027,"Buchanan County, Virginia",17373,6370,36.66609106084154
51029,"Buckingham County, Virginia",14179,7161,50.50426687354539
51031,"Campbell County, Virginia",45970,27595,60.02827931259517
51033,"Caroline County, Virginia",24641,16849,68.37790674079785
51035,"Carroll County, Virginia",24675,12936,52.42553191489362
51036,"Charles City County, Virginia",5904,3434,58.16395663956639
51037,"Charlotte County, Virginia",9235,4865,52.680021656740664
51041,"Chesterfield County, Virginia",290262,196944,67.85042478863923
51043,"Clarke County, Virginia",12523,7730,61.726423380979
51045,"Craig County, Virginia",3805,2055,54.00788436268068
51047,"Culpeper County, Virginia",41560,26904,64.73532242540905
51049,"Cumberland County, Virginia",8138,5236,64.34013271073974
51051,"Dickenson County, Virginia",11694,4631,39.60150504532239
51053,"Dinwiddie County, Virginia",23092,14220,61.579767884981806
51057,"Essex County, Virginia",9038,4898,54.19340562071254
51059,"Fairfax County, Virginia",910386,648444,71.22736948942536
51061,"Fauquier County, Virginia",58514,39643,67.74959838671087
51063,"Floyd County, Virginia",13094,7871,60.11150145104628
51065,"Fluvanna County, Virginia",22677,13840,61.03100057326807
51067,"Franklin County, Virginia",45928,24756,53.90175927538756
51069,"Frederick County, Virginia",73630,47222,64.13418443569198
51071,"Giles County, Virginia",13675,7628,55.78062157221206
51073,"Gloucester County, Virginia",31909,20131,63.08878372872857
51075,"Goochland County, Virginia",21327,11991,56.22450414966943
51077,"Grayson County, Virginia",13010,6228,47.87086856264412
51079,"Greene County, Virginia",16502,11322,68.60986547085201
51081,"Greensville County, Virginia",9756,4193,42.97867978679787
51083,"Halifax County, Virginia",28081,14461,51.49745379438054
51085,"Hanover County, Virginia",89582,59476,66.39280212542698
51087,"Henrico County, Virginia",267190,184517,69.05834799206558
51089,"Henry County, Virginia",41929,21435,51.122135037801996
51091,"Highland County, Virginia",1983,948,47.806354009077154
51093,"Isle of Wight County, Virginia",31701,20190,63.6888426232611
51095,"James City County, Virginia",65069,37209,57.18391246215556
51097,"King and Queen County, Virginia",5630,3502,62.202486678507995
51099,"King George County, Virginia",21004,14422,68.66311178823081
51101,"King William County, Virginia",14240,9638,67.68258426966293
51103,"Lancaster County, Virginia",9552,4430,46.37772194304858
51105,"Lee County, Virginia",18676,7829,41.92011137288499
51107,"Loudoun County, Virginia",320082,237778,74.28658906155297
51109,"Louisa County, Virginia",31301,19173,61.25363406919907
51111,"Lunenburg County, Virginia",9825,4849,49.353689567430024
51113,"Madison County, Virginia",11418,6906,60.4834471886495
51115,"Mathews County, Virginia",7566,3601,47.59450171821305
51117,"Mecklenburg County, Virginia",25445,13044,51.2635095303596
51119,"Middlesex County, Virginia",9186,4725,51.43696930111038
51121,"Montgomery County, Virginia",86168,48160,55.89081793705319
51125,"Nelson County, Virginia",12537,7072,56.40902927335089
51127,"New Kent County, Virginia",19345,12668,65.48462134918583
51131,"Northampton County, Virginia",10083,5240,51.968660120995736
51133,"Northumberland County, Virginia",10599,4577,43.18331918105482
51135,"Nottoway County, Virginia",12946,6491,50.13903908543179
51137,"Orange County, Virginia",29779,18433,61.89932502770409
51139,"Page County, Virginia",19539,11509,58.90270740570141
51141,"Patrick County, Virginia",14959,7509,50.19720569556788
51143,"Pittsylvania County, Virginia",50907,27216,53.46219576875478
51145,"Powhatan County, Virginia",25712,15764,61.30989421281892
51147,"Prince Edward County, Virginia",19043,8842,46.43175970172767
51149,"Prince George County, Virginia",35046,21340,60.89139987445073
51153,"Prince William County, Virginia",368201,266052,72.25727252234513
51155,"Pulaski County, Virginia",28539,15631,54.77066470443954
51157,"Rappahannock County, Virginia",6203,3821,61.599226180880216
51159,"Richmond County, Virginia",7537,3379,44.83216133740215
51161,"Roanoke County, Virginia",79616,48674,61.135952572347264
51163,"Rockbridge County, Virginia",19232,10637,55.30886023294509
51165,"Rockingham County, Virginia",67888,43140,63.54584020740043
51167,"Russell County, Virginia",21518,9331,43.3636955107352
51169,"Scott County, Virginia",18094,8219,45.42389742456063
51171,"Shenandoah County, Virginia",36094,21614,59.882528952180415
51173,"Smyth County, Virginia",24786,12323,49.717582506253535
51175,"Southampton County, Virginia",14925,8344,55.90619765494137
51177,"Spotsylvania County, Virginia",110524,75272,68.10466505012485
51179,"Stafford County, Virginia",121287,83690,69.00162424662165
51181,"Surry County, Virginia",5560,3359,60.4136690647482
51183,"Sussex County, Virginia",9236,4618,50.0
51185,"Tazewell County, Virginia",33365,15198,45.55072680953094
51187,"Warren County, Virginia",32722,20771,63.47717132204633
51191,"Washington County, Virginia",45965,25020,54.43272054824323
51193,"Westmoreland County, Virginia",15468,7882,50.956814067752774
51195,"Wise County, Virginia",30055,13934,46.36167027116952
51197,"Wythe County, Virginia",23654,13311,56.273780333136045
51199,"York County, Virginia",55900,37460,67.01252236135957
51510,"Alexandria city, Virginia",131404,102552,78.04328635353566
51520,"Bristol city, Virginia",13904,7751,55.74654775604143
51530,"Buena Vista city, Virginia",5430,3159,58.17679558011049
51540,"Charlottesville city, Virginia",39651,25393,64.0412599934428
51550,"Chesapeake city, Virginia",196635,132221,67.24184402573296
51570,"Colonial Heights city, Virginia",14381,9354,65.04415548292887
51580,"Covington city, Virginia",4492,2419,53.8512911843277
51590,"Danville city, Virginia",34209,17757,51.90739279137069
51595,"Emporia city, Virginia",4418,2349,53.168854685377994
51600,"Fairfax city, Virginia",19143,13682,71.47260095073918
51610,"Falls Church city, Virginia",11628,8572,73.718610251118
51620,"Franklin city, Virginia",6270,3641,58.07017543859649
51630,"Fredericksburg city, Virginia",22915,15710,68.55771328823914
51640,"Galax city, Virginia",5231,2924,55.89753393232652
51650,"Hampton city, Virginia",111012,73149,65.89287644578965
51660,"Harrisonburg city, Virginia",44236,26581,60.08906772764264
51670,"Hopewell city, Virginia",17699,10663,60.24634160122041
51678,"Lexington city, Virginia",6920,2892,41.79190751445086
51680,"Lynchburg city, Virginia",65701,38991,59.34612867384058
51683,"Manassas city, Virginia",32699,23765,72.67806354934402
51685,"Manassas Park city, Virginia",13414,10289,76.70344416281498
