fips,NAME,median_age
51001,"Accomack County, Virginia",47.3
51003,"Albemarle County, Virginia",39.7
51005,"Alleghany County, Virginia",48.0
51007,"Amelia County, Virginia",45.1
51009,"Amherst County, Virginia",43.9
51011,"Appomattox County, Virginia",43.1
51013,"Arlington County, Virginia",35.3
51015,"Augusta County, Virginia",44.8
51017,"Bath County, Virginia",51.8
51019,"Bedford County, Virginia",46.8
51021,"Bland County, Virginia",46.4
51023,"Botetourt County, Virginia",47.5
51025,"Brunswick County, Virginia",44.6
51027,"Buchanan County, Virginia",47.6
51029,"Buckingham County, Virginia",43.3
51031,"Campbell County, Virginia",43.1
51033,"Caroline County, Virginia",39.2
51035,"Carroll County, Virginia",48.7
51036,"Charles City County, Virginia",52.0
51037,"Charlotte County, Virginia",45.4
51041,"Chesterfield County, Virginia",38.9
51043,"Clarke County, Virginia",48.4
51045,"Craig County, Virginia",46.1
51047,"Culpeper County, Virginia",39.5
51049,"Cumberland County, Virginia",46.3
51051,"Dickenson County, Virginia",45.5
51053,"Dinwiddie County, Virginia",43.4
51057,"Essex County, Virginia",46.9
51059,"Fairfax County, Virginia",38.6
51061,"Fauquier County, Virginia",40.8
51063,"Floyd County, Virginia",48.4
51065,"Fluvanna County, Virginia",43.1
51067,"Franklin County, Virginia",48.4
51069,"Frederick County, Virginia",40.6
51071,"Giles County, Virginia",45.4
51073,"Gloucester County, Virginia",44.3
51075,"Goochland County, Virginia",49.0
51077,"Grayson County, Virginia",49.0
51079,"Greene County, Virginia",41.7
51081,"Greensville County, Virginia",40.8
51083,"Halifax County, Virginia",46.6
51085,"Hanover County, Virginia",42.4
51087,"Henrico County, Virginia",39.3
51089,"Henry County, Virginia",48.3
51091,"Highland County, Virginia",58.0
51093,"Isle of Wight County, Virginia",44.2
51095,"James City County, Virginia",47.1
51097,"King and Queen County, Virginia",47.4
51099,"King George County, Virginia",38.3
51101,"King William County, Virginia",40.8
51103,"Lancaster County, Virginia",59.2
51105,"Lee County, Virginia",45.2
51107,"Loudoun County, Virginia",37.3
51109,"Louisa County, Virginia",45.0
51111,"Lunenburg County, Virginia",44.0
51113,"Madison County, Virginia",46.6
51115,"Mathews County, Virginia",53.7
51117,"Mecklenburg County, Virginia",48.6
51119,"Middlesex County, Virginia",54.9
51121,"Montgomery County, Virginia",29.7
51125,"Nelson County, Virginia",50.7
51127,"New Kent County, Virginia",43.2
51131,"Northampton County, Virginia",51.3
51133,"Northumberland County, Virginia",59.0
51135,"Nottoway County, Virginia",41.3
51137,"Orange County, Virginia",42.8
51139,"Page County, Virginia",45.3
51141,"Patrick County, Virginia",50.9
51143,"Pittsylvania County, Virginia",48.0
51145,"Powhatan County, Virginia",45.6
51147,"Prince Edward County, Virginia",32.0
51149,"Prince George County, Virginia",34.2
51153,"Prince William County, Virginia",35.8
51155,"Pulaski County, Virginia",47.2
51157,"Rappahannock County, Virginia",50.0
51159,"Richmond County, Virginia",46.1
51161,"Roanoke County, Virginia",43.6
51163,"Rockbridge County, Virginia",49.4
51165,"Rockingham County, Virginia",40.5
51167,"Russell County, Virginia",46.6
51169,"Scott County, Virginia",47.7
51171,"Shenandoah County, Virginia",43.6
51173,"Smyth County, Virginia",46.2
51175,"Southampton County, Virginia",47.0
51177,"Spotsylvania County, Virginia",38.1
51179,"Stafford County, Virginia",36.4
51181,"Surry County, Virginia",50.5
51183,"Sussex County, Virginia",40.4
51185,"Tazewell County, Virginia",44.6
51187,"Warren County, Virginia",40.9
51191,"Washington County, Virginia",46.8
51193,"Westmoreland County, Virginia",47.9
51195,"Wise County, Virginia",42.0
51197,"Wythe County, Virginia",45.6
51199,"York County, Virginia",39.7
51510,"Alexandria city, Virginia",37.4
51520,"Bristol city, Virginia",43.7
51530,"Buena Vista city, Virginia",35.3
51540,"Charlottesville city, Virginia",32.4
51550,"Chesapeake city, Virginia",37.4
51570,"Colonial Heights city, Virginia",38.4
51580,"Covington city, Virginia",41.9
51590,"Danville city, Virginia",41.0
51595,"Emporia city, Virginia",39.9
51600,"Fairfax city, Virginia",37.5
51610,"Falls Church city, Virginia",38.8
51620,"Franklin city, Virginia",38.8
51630,"Fredericksburg city, Virginia",30.9
51640,"Galax city, Virginia",42.6
51650,"Hampton city, Virginia",36.5
51660,"Harrisonburg city, Virginia",25.4
51670,"Hopewell city, Virginia",35.7
51678,"Lexington city, Virginia",22.7
51680,"Lynchburg city, Virginia",28.4
51683,"Manassas city, Virginia",35.1
51685,"Manassas Park city, Virginia",35.8
51690,"Martinsville city, Virginia",39.9
51700,"Newport News city, Virginia",34.1
51710,"Norfolk city, Virginia",32.2
51720,"Norton city, Virginia",43.6
51730,"Petersburg city, Virginia",36.6
51735,"Poquoson city, Virginia",42.4
51740,"Portsmouth city, Virginia",35.6
51750,"Radford city, Virginia",23.3
51760,"Richmond city, Virginia",34.5
51770,"Roanoke city, Virginia",38.1
51775,"Salem city, Virginia",40.8
51790,"Staunton city, Virginia",41.0
51800,"Suffolk city, Virginia",38.5
51810,"Virginia Beach city, Virginia",37.1
51820,"Waynesboro city, Virginia",38.7
51830,"Williamsburg city, Virginia",24.6
51840,"Winchester city, Virginia",36.6
42001,"Adams County, Pennsylvania",43.8
42003,"Allegheny County, Pennsylvania",40.6
42005,"Armstrong County, Pennsylvania",47.0
42007,"Beaver County, Pennsylvania",44.9
42009,"Bedford County, Pennsylvania",47.3
42011,"Berks County, Pennsylvania",39.9
42013,"Blair County, Pennsylvania",42.9
42015,"Bradford County, Pennsylvania",43.9
42017,"Bucks County, Pennsylvania",44.0
42019,"Butler County, Pennsylvania",43.4
42021,"Cambria County, Pennsylvania",45.6
42023,"Cameron County, Pennsylvania",51.8
42025,"Carbon County, Pennsylvania",46.3
42027,"Centre County, Pennsylvania",33.3
42029,"Chester County, Pennsylvania",40.7
42031,"Clarion County, Pennsylvania",41.5
42033,"Clearfield County, Pennsylvania",45.2
42035,"Clinton County, Pennsylvania",39.8
42037,"Columbia County, Pennsylvania",41.3
42039,"Crawford County, Pennsylvania",43.6
42041,"Cumberland County, Pennsylvania",40.3
42043,"Dauphin County, Pennsylvania",39.4
42045,"Delaware County, Pennsylvania",39.0
42047,"Elk County, Pennsylvania",48.2
42049,"Erie County, Pennsylvania",39.9
42051,"Fayette County, Pennsylvania",45.2
42053,"Forest County, Pennsylvania",46.2
42055,"Franklin County, Pennsylvania",42.2
42057,"Fulton County, Pennsylvania",45.7
42059,"Greene County, Pennsylvania",43.1
42061,"Huntingdon County, Pennsylvania",43.6
42063,"Indiana County, Pennsylvania",39.6
42065,"Jefferson County, Pennsylvania",43.7
42067,"Juniata County, Pennsylvania",42.7
42069,"Lackawanna County, Pennsylvania",41.9
42071,"Lancaster County, Pennsylvania",39.0
42073,"Lawrence County, Pennsylvania",45.0
42075,"Lebanon County, Pennsylvania",41.3
42077,"Lehigh County, Pennsylvania",38.9
42079,"Luzerne County, Pennsylvania",42.2
42081,"Lycoming County, Pennsylvania",41.4
42083,"McKean County, Pennsylvania",43.8
42085,"Mercer County, Pennsylvania",45.0
42087,"Mifflin County, Pennsylvania",43.3
42089,"Monroe County, Pennsylvania",43.5
42091,"Montgomery County, Pennsylvania",41.2
42093,"Montour County, Pennsylvania",43.2
42095,"Northampton County, Pennsylvania",41.9
42097,"Northumberland County, Pennsylvania",44.5
42099,"Perry County, Pennsylvania",43.7
42101,"Philadelphia County, Pennsylvania",34.8
42103,"Pike County, Pennsylvania",48.9
42105,"Potter County, Pennsylvania",48.1
42107,"Schuylkill County, Pennsylvania",44.2
42109,"Snyder County, Pennsylvania",40.0
42111,"Somerset County, Pennsylvania",46.7
42113,"Sullivan County, Pennsylvania",55.0
42115,"Susquehanna County, Pennsylvania",48.5
42117,"Tioga County, Pennsylvania",45.0
42119,"Union County, Pennsylvania",39.7
42121,"Venango County, Pennsylvania",47.6
42123,"Warren County, Pennsylvania",47.4
42125,"Washington County, Pennsylvania",44.2
42127,"Wayne County, Pennsylvania",48.8
42129,"Westmoreland County, Pennsylvania",47.2
42131,"Wyoming County, Pennsylvania",45.3
42133,"York County, Pennsylvania",41.0
24001,"Allegany County, Maryland",41.9
24003,"Anne Arundel County, Maryland",38.8
24005,"Baltimore County, Maryland",39.5
24009,"Calvert County, Maryland",40.4
24011,"Caroline County, Maryland",39.5
24013,"Carroll County, Maryland",41.5
24015,"Cecil County, Maryland",41.0
24017,"Charles County, Maryland",38.8
24019,"Dorchester County, Maryland",43.8
24021,"Frederick County, Maryland",38.9
24023,"Garrett County, Maryland",47.6
24025,"Harford County, Maryland",40.4
24027,"Howard County, Maryland",39.2
24029,"Kent County, Maryland",48.5
24031,"Montgomery County, Maryland",39.8
24033,"Prince George's County, Maryland",38.2
24035,"Queen Anne's County, Maryland",44.6
24037,"St. Mary's County, Maryland",37.0
24039,"Somerset County, Maryland",38.0
24041,"Talbot County, Maryland",51.4
24043,"Washington County, Maryland",40.9
24045,"Wicomico County, Maryland",36.1
24047,"Worcester County, Maryland",50.6
24510,"Baltimore city, Maryland",36.0
10001,"Kent County, Delaware",38.5
10003,"New Castle County, Delaware",39.0
10005,"Sussex County, Delaware",51.3
54001,"Barbour County, West Virginia",42.6
54003,"Berkeley County, West Virginia",38.8
54005,"Boone County, West Virginia",44.8
54007,"Braxton County, West Virginia",46.8
54009,"Brooke County, West Virginia",46.4
54011,"Cabell County, West Virginia",39.1
54013,"Calhoun County, West Virginia",48.3
54015,"Clay County, West Virginia",45.0
54017,"Doddridge County, West Virginia",46.1
54019,"Fayette County, West Virginia",44.7
54021,"Gilmer County, West Virginia",40.5
54023,"Grant County, West Virginia",46.2
54025,"Greenbrier County, West Virginia",46.6
54027,"Hampshire County, West Virginia",47.7
54029,"Hancock County, West Virginia",47.1
54031,"Hardy County, West Virginia",45.2
54033,"Harrison County, West Virginia",42.4
54035,"Jackson County, West Virginia",43.3
54037,"Jefferson County, West Virginia",41.0
54039,"Kanawha County, West Virginia",43.6
54041,"Lewis County, West Virginia",43.5
54043,"Lincoln County, West Virginia",43.7
54045,"Logan County, West Virginia",44.1
54047,"McDowell County, West Virginia",45.3
54049,"Marion County, West Virginia",40.3
54051,"Marshall County, West Virginia",46.4
54053,"Mason County, West Virginia",44.2
54055,"Mercer County, West Virginia",43.3
54057,"Mineral County, West Virginia",44.6
54059,"Mingo County, West Virginia",44.3
54061,"Monongalia County, West Virginia",32.2
54063,"Monroe County, West Virginia",45.9
54065,"Morgan County, West Virginia",48.6
54067,"Nicholas County, West Virginia",45.4
54069,"Ohio County, West Virginia",43.1
54071,"Pendleton County, West Virginia",50.9
54073,"Pleasants County, West Virginia",43.6
54075,"Pocahontas County, West Virginia",49.4
54077,"Preston County, West Virginia",42.5
54079,"Putnam County, West Virginia",42.2
54081,"Raleigh County, West Virginia",42.6
54083,"Randolph County, West Virginia",44.6
54085,"Ritchie County, West Virginia",46.6
54087,"Roane County, West Virginia",46.1
54089,"Summers County, West Virginia",49.9
54091,"Taylor County, West Virginia",44.3
54093,"Tucker County, West Virginia",50.9
54095,"Tyler County, West Virginia",48.6
54097,"Upshur County, West Virginia",42.0
54099,"Wayne County, West Virginia",44.5
54101,"Webster County, West Virginia",47.8
54103,"Wetzel County, West Virginia",46.0
54105,"Wirt County, West Virginia",46.6
54107,"Wood County, West Virginia",43.8
54109,"Wyoming County, West Virginia",45.4
21001,"Adair County, Kentucky",40.3
21003,"Allen County, Kentucky",40.5
21005,"Anderson County, Kentucky",41.9
21007,"Ballard County, Kentucky",44.7
21009,"Barren County, Kentucky",40.2
21011,"Bath County, Kentucky",39.5
21013,"Bell County, Kentucky",41.5
21015,"Boone County, Kentucky",38.0
21017,"Bourbon County, Kentucky",41.8
21019,"Boyd County, Kentucky",42.1
21021,"Boyle County, Kentucky",40.0
21023,"Bracken County, Kentucky",41.7
21025,"Breathitt County, Kentucky",42.7
21027,"Breckinridge County, Kentucky",42.3
21029,"Bullitt County, Kentucky",41.1
21031,"Butler County, Kentucky",41.4
21033,"Caldwell County, Kentucky",42.4
21035,"Calloway County, Kentucky",35.6
21037,"Campbell County, Kentucky",38.9
21039,"Carlisle County, Kentucky",42.9
21041,"Carroll County, Kentucky",38.5
21043,"Carter County, Kentucky",41.9
21045,"Casey County, Kentucky",41.9
21047,"Christian County, Kentucky",28.4
21049,"Clark County, Kentucky",40.9
