NAME,S2401_C01_001E,S2401_C01_002E,S2401_C01_003E,S2401_C01_004E,S2401_C01_005E,S2401_C01_006E,state,county
"Accomack County, Virginia",14408,3552,1638,1273,365,448,51,001
"Albemarle County, Virginia",54574,31741,11829,8276,3553,5531,51,003
"Alleghany County, Virginia",6060,1800,500,421,79,253,51,005
"Amelia County, Virginia",6340,1897,856,716,140,275,51,007
"Amherst County, Virginia",14978,5089,2153,1510,643,654,51,009
"Appomattox County, Virginia",7832,2436,1152,744,408,360,51,011
"Arlington County, Virginia",146957,107692,48963,25982,22981,25702,51,013
"Augusta County, Virginia",37573,12978,4711,3317,1394,2016,51,015
"Bath County, Virginia",1753,641,422,393,29,0,51,017
"Bedford County, Virginia",37171,15956,6950,5060,1890,2181,51,019
"Bland County, Virginia",2280,604,167,119,48,97,51,021
"Botetourt County, Virginia",16237,5584,2432,1730,702,768,51,023
"Brunswick County, Virginia",6485,1553,571,347,224,116,51,025
"Buchanan County, Virginia",5990,1743,579,329,250,26,51,027
"Buckingham County, Virginia",6801,1663,766,620,146,271,51,029
"Campbell County, Virginia",26222,8899,3616,2573,1043,1371,51,031
"Caroline County, Virginia",15171,5564,2299,1391,908,1103,51,033
"Carroll County, Virginia",12303,4139,1174,941,233,389,51,035
"Charles City County, Virginia",3275,936,443,339,104,91,51,036
"Charlotte County, Virginia",4689,1450,594,401,193,82,51,037
"Chesterfield County, Virginia",186171,87410,38592,24075,14517,12756,51,041
"Clarke County, Virginia",7396,3452,1871,1352,519,457,51,043
"Craig County, Virginia",1997,669,380,243,137,70,51,045
"Culpeper County, Virginia",25794,9645,4033,2735,1298,1452,51,047
"Cumberland County, Virginia",5069,1434,805,612,193,128,51,049
"Dickenson County, Virginia",4472,1590,501,347,154,162,51,051
"Dinwiddie County, Virginia",13516,4147,1631,1086,545,500,51,053
"Essex County, Virginia",4402,1382,687,563,124,220,51,057
"Fairfax County, Virginia",610265,375294,161889,94895,66994,102721,51,059
"Fauquier County, Virginia",38689,18114,8899,6030,2869,3271,51,061
"Floyd County, Virginia",7652,2845,1054,737,317,294,51,063
"Fluvanna County, Virginia",13379,5781,2354,1570,784,806,51,065
"Franklin County, Virginia",23999,8417,3731,2413,1318,840,51,067
"Frederick County, Virginia",44888,17852,7472,5012,2460,3295,51,069
"Giles County, Virginia",7458,2033,694,445,249,226,51,071
"Gloucester County, Virginia",19020,6705,3206,2466,740,695,51,073
"Goochland County, Virginia",11680,5720,2609,1767,842,1016,51,075
"Grayson County, Virginia",5963,1791,646,606,40,240,51,077
"Greene County, Virginia",10861,3891,1460,1052,408,852,51,079
"Greensville County, Virginia",3928,1225,274,191,83,56,51,081
"Halifax County, Virginia",13861,4152,1261,854,407,472,51,083
"Hanover County, Virginia",57612,27034,12760,8037,4723,3775,51,085
"Henrico County, Virginia",176922,82997,34628,21257,13371,16617,51,087
"Henry County, Virginia",20188,5950,1780,1225,555,651,51,089
"Highland County, Virginia",809,335,167,156,11,43,51,091
"Isle of Wight County, Virginia",18620,7997,3633,2563,1070,1332,51,093
"James City County, Virginia",34760,16714,6250,3872,2378,2177,51,095
"King and Queen County, Virginia",3303,1176,639,453,186,313,51,097
"King George County, Virginia",13629,6901,2648,1924,724,2157,51,099
"King William County, Virginia",9255,3482,1593,1242,351,404,51,101
"Lancaster County, Virginia",3986,1526,607,327,280,146,51,103
"Lee County, Virginia",7196,2270,825,665,160,159,51,105
"Loudoun County, Virginia",228835,142208,63716,39583,24133,44530,51,107
"Louisa County, Virginia",17930,6625,2820,1870,950,973,51,109
"Lunenburg County, Virginia",4656,1280,540,408,132,252,51,111
"Madison County, Virginia",6634,2409,1000,627,373,431,51,113
"Mathews County, Virginia",3284,1413,556,468,88,206,51,115
"Mecklenburg County, Virginia",12561,4350,1588,1209,379,615,51,117
"Middlesex County, Virginia",4509,1471,662,522,140,190,51,119
"Montgomery County, Virginia",46404,23414,5975,4532,1443,5036,51,121
"Nelson County, Virginia",6843,2553,1168,925,243,284,51,125
"New Kent County, Virginia",12157,5977,2941,2059,882,1072,51,127
"Northampton County, Virginia",4949,1674,702,516,186,43,51,131
"Northumberland County, Virginia",4351,1839,612,479,133,307,51,133
