fips,NAME,population_2000,population_2022,population_growth_pct
10001,"Kent County, Delaware",126697,182400.0,43.965524045557515
10003,"New Castle County, Delaware",500265,570567.0,14.052951935474198
10005,"Sussex County, Delaware",156638,240668.0,53.64598628685249
13001,"Appling County, Georgia",17419,18441.0,5.867156553189046
13003,"Atkinson County, Georgia",7609,8265.0,8.621369430937047
13005,"Bacon County, Georgia",10103,11138.0,10.244481837078096
13007,"Baker County, Georgia",4074,2878.0,-29.356897398134514
13009,"Baldwin County, Georgia",44700,43778.0,-2.062639821029083
13011,"Banks County, Georgia",14422,18381.0,27.451116350020797
13013,"Barrow County, Georgia",46144,84399.0,82.90351941747572
13015,"Bartow County, Georgia",76019,109410.0,43.9245451794946
13017,"Ben Hill County, Georgia",17484,17169.0,-1.8016472203157174
13019,"Berrien County, Georgia",16235,18187.0,12.023406221127194
13021,"Bibb County, Georgia",153887,156554.0,1.7330898646409378
13023,"Bleckley County, Georgia",11666,12413.0,6.403223041316647
13025,"Brantley County, Georgia",14629,18105.0,23.761022626290245
13027,"Brooks County, Georgia",16450,16275.0,-1.0638297872340425
13029,"Bryan County, Georgia",23417,44995.0,92.1467310073878
13031,"Bulloch County, Georgia",55983,79829.0,42.59507350445671
13033,"Burke County, Georgia",22243,24337.0,9.414197725127007
13035,"Butts County, Georgia",19522,25522.0,30.734555885667454
13037,"Calhoun County, Georgia",6320,5594.0,-11.487341772151899
13039,"Camden County, Georgia",43664,55105.0,26.202363503114697
13043,"Candler County, Georgia",9577,10946.0,14.29466429988514
13045,"Carroll County, Georgia",87268,120060.0,37.576202044277395
13047,"Catoosa County, Georgia",53282,68052.0,27.72043091475545
13049,"Charlton County, Georgia",10282,12547.0,22.0287881735071
13051,"Chatham County, Georgia",232048,296266.0,27.674446666206993
13053,"Chattahoochee County, Georgia",14882,9402.0,-36.82300766026072
13055,"Chattooga County, Georgia",25470,24902.0,-2.2300745975657636
13057,"Cherokee County, Georgia",141903,268567.0,89.2609740456509
13059,"Clarke County, Georgia",101489,128864.0,26.973366571746695
13061,"Clay County, Georgia",3357,2855.0,-14.95382782246053
13063,"Clayton County, Georgia",236517,296312.0,25.281480823788566
13065,"Clinch County, Georgia",6878,6713.0,-2.3989531840651352
13067,"Cobb County, Georgia",607751,765813.0,26.0076906496246
13069,"Coffee County, Georgia",37413,43056.0,15.082992542699062
13071,"Colquitt County, Georgia",42053,45813.0,8.941098138063872
13073,"Columbia County, Georgia",89288,156921.0,75.74702087626557
13075,"Cook County, Georgia",15771,17242.0,9.327246211400672
13077,"Coweta County, Georgia",89215,147449.0,65.27377683125036
13079,"Crawford County, Georgia",12495,12156.0,-2.7130852340936373
13081,"Crisp County, Georgia",21996,20255.0,-7.9150754682669575
13083,"Dade County, Georgia",15154,16239.0,7.159825788570674
13085,"Dawson County, Georgia",15999,27355.0,70.97943621476342
13087,"Decatur County, Georgia",28240,29063.0,2.9143059490084986
13089,"DeKalb County, Georgia",665865,761209.0,14.31881837910087
13091,"Dodge County, Georgia",19171,19977.0,4.204266861405247
13093,"Dooly County, Georgia",11525,11236.0,-2.507592190889371
13095,"Dougherty County, Georgia",96065,85038.0,-11.47868630614688
13097,"Douglas County, Georgia",92174,144735.0,57.02367261917678
13099,"Early County, Georgia",12354,10753.0,-12.959365387728672
13101,"Echols County, Georgia",3754,3707.0,-1.2519978689397975
13103,"Effingham County, Georgia",37535,65314.0,74.00825895830559
13105,"Elbert County, Georgia",20511,19570.0,-4.587782165667202
13107,"Emanuel County, Georgia",21837,22907.0,4.899940468013005
13109,"Evans County, Georgia",10495,10759.0,2.515483563601715
13111,"Fannin County, Georgia",19798,25436.0,28.47762400242449
13113,"Fayette County, Georgia",91263,119259.0,30.676177640445744
13115,"Floyd County, Georgia",90565,98541.0,8.80693424612157
13117,"Forsyth County, Georgia",98407,253225.0,157.32417409330637
13119,"Franklin County, Georgia",20285,23480.0,15.750554596992853
13121,"Fulton County, Georgia",816006,1061944.0,30.13923917226099
13123,"Gilmer County, Georgia",23456,31519.0,34.375
