full_fips,state_fips,county_fips,county_name,state_abbr,poverty_rate
51001,51,001,"Accomack County, Virginia",VA,15.9
51003,51,003,"Albemarle County, Virginia",VA,7.1
51005,51,005,"Alleghany County, Virginia",VA,13.7
51007,51,007,"Amelia County, Virginia",VA,11.1
51009,51,009,"Amherst County, Virginia",VA,11.3
51011,51,011,"Appomattox County, Virginia",VA,13.8
51013,51,013,"Arlington County, Virginia",VA,6.7
51015,51,015,"Augusta County, Virginia",VA,8.1
51017,51,017,"Bath County, Virginia",VA,23.7
51019,51,019,"Bedford County, Virginia",VA,9.1
51021,51,021,"Bland County, Virginia",VA,10.7
51023,51,023,"Botetourt County, Virginia",VA,7.2
51025,51,025,"Brunswick County, Virginia",VA,17.2
51027,51,027,"Buchanan County, Virginia",VA,25.3
51029,51,029,"Buckingham County, Virginia",VA,14.0
51031,51,031,"Campbell County, Virginia",VA,10.0
51033,51,033,"Caroline County, Virginia",VA,11.6
51035,51,035,"Carroll County, Virginia",VA,15.2
51036,51,036,"Charles City County, Virginia",VA,12.5
51037,51,037,"Charlotte County, Virginia",VA,20.3
51041,51,041,"Chesterfield County, Virginia",VA,6.7
51043,51,043,"Clarke County, Virginia",VA,5.4
51045,51,045,"Craig County, Virginia",VA,10.9
51047,51,047,"Culpeper County, Virginia",VA,7.3
51049,51,049,"Cumberland County, Virginia",VA,7.9
51051,51,051,"Dickenson County, Virginia",VA,22.5
51053,51,053,"Dinwiddie County, Virginia",VA,11.0
51057,51,057,"Essex County, Virginia",VA,17.1
51059,51,059,"Fairfax County, Virginia",VA,6.0
51061,51,061,"Fauquier County, Virginia",VA,5.8
51063,51,063,"Floyd County, Virginia",VA,9.4
51065,51,065,"Fluvanna County, Virginia",VA,6.1
51067,51,067,"Franklin County, Virginia",VA,13.3
51069,51,069,"Frederick County, Virginia",VA,6.8
51071,51,071,"Giles County, Virginia",VA,9.7
51073,51,073,"Gloucester County, Virginia",VA,7.5
51075,51,075,"Goochland County, Virginia",VA,4.2
51077,51,077,"Grayson County, Virginia",VA,18.7
51079,51,079,"Greene County, Virginia",VA,11.1
51081,51,081,"Greensville County, Virginia",VA,12.9
51083,51,083,"Halifax County, Virginia",VA,14.7
51085,51,085,"Hanover County, Virginia",VA,5.2
51087,51,087,"Henrico County, Virginia",VA,8.4
51089,51,089,"Henry County, Virginia",VA,16.1
51091,51,091,"Highland County, Virginia",VA,10.3
51093,51,093,"Isle of Wight County, Virginia",VA,9.8
51095,51,095,"James City County, Virginia",VA,7.3
51097,51,097,"King and Queen County, Virginia",VA,19.9
51099,51,099,"King George County, Virginia",VA,6.9
51101,51,101,"King William County, Virginia",VA,8.0
51103,51,103,"Lancaster County, Virginia",VA,14.0
51105,51,105,"Lee County, Virginia",VA,26.0
51107,51,107,"Loudoun County, Virginia",VA,3.8
51109,51,109,"Louisa County, Virginia",VA,10.9
51111,51,111,"Lunenburg County, Virginia",VA,13.0
51113,51,113,"Madison County, Virginia",VA,8.0
51115,51,115,"Mathews County, Virginia",VA,6.8
51117,51,117,"Mecklenburg County, Virginia",VA,18.8
51119,51,119,"Middlesex County, Virginia",VA,9.7
51121,51,121,"Montgomery County, Virginia",VA,24.9
51125,51,125,"Nelson County, Virginia",VA,13.2
51127,51,127,"New Kent County, Virginia",VA,3.9
51131,51,131,"Northampton County, Virginia",VA,16.7
51133,51,133,"Northumberland County, Virginia",VA,14.8
51135,51,135,"Nottoway County, Virginia",VA,19.1
51137,51,137,"Orange County, Virginia",VA,13.0
51139,51,139,"Page County, Virginia",VA,10.0
51141,51,141,"Patrick County, Virginia",VA,11.4
51143,51,143,"Pittsylvania County, Virginia",VA,16.4
51145,51,145,"Powhatan County, Virginia",VA,4.5
51147,51,147,"Prince Edward County, Virginia",VA,18.1
51149,51,149,"Prince George County, Virginia",VA,8.3
51153,51,153,"Prince William County, Virginia",VA,6.0
51155,51,155,"Pulaski County, Virginia",VA,13.1
51157,51,157,"Rappahannock County, Virginia",VA,7.6
51159,51,159,"Richmond County, Virginia",VA,7.5
51161,51,161,"Roanoke County, Virginia",VA,7.1
51163,51,163,"Rockbridge County, Virginia",VA,8.9
51165,51,165,"Rockingham County, Virginia",VA,8.8
51167,51,167,"Russell County, Virginia",VA,19.3
51169,51,169,"Scott County, Virginia",VA,17.0
51171,51,171,"Shenandoah County, Virginia",VA,12.6
51173,51,173,"Smyth County, Virginia",VA,18.8
51175,51,175,"Southampton County, Virginia",VA,8.4
51177,51,177,"Spotsylvania County, Virginia",VA,7.4
51179,51,179,"Stafford County, Virginia",VA,5.4
51181,51,181,"Surry County, Virginia",VA,13.3
51183,51,183,"Sussex County, Virginia",VA,12.7
51185,51,185,"Tazewell County, Virginia",VA,18.1
51187,51,187,"Warren County, Virginia",VA,12.0
51191,51,191,"Washington County, Virginia",VA,12.0
51193,51,193,"Westmoreland County, Virginia",VA,16.0
51195,51,195,"Wise County, Virginia",VA,19.9
51197,51,197,"Wythe County, Virginia",VA,17.2
51199,51,199,"York County, Virginia",VA,4.7
51510,51,510,"Alexandria city, Virginia",VA,8.8
51520,51,520,"Bristol city, Virginia",VA,17.0
51530,51,530,"Buena Vista city, Virginia",VA,21.9
51540,51,540,"Charlottesville city, Virginia",VA,23.6
51550,51,550,"Chesapeake city, Virginia",VA,7.6
51570,51,570,"Colonial Heights city, Virginia",VA,10.2
51580,51,580,"Covington city, Virginia",VA,16.9
51590,51,590,"Danville city, Virginia",VA,25.3
51595,51,595,"Emporia city, Virginia",VA,17.3
51600,51,600,"Fairfax city, Virginia",VA,10.0
51610,51,610,"Falls Church city, Virginia",VA,2.3
51620,51,620,"Franklin city, Virginia",VA,18.7
51630,51,630,"Fredericksburg city, Virginia",VA,18.0
51640,51,640,"Galax city, Virginia",VA,22.4
51650,51,650,"Hampton city, Virginia",VA,13.5
51660,51,660,"Harrisonburg city, Virginia",VA,27.2
51670,51,670,"Hopewell city, Virginia",VA,21.3
51678,51,678,"Lexington city, Virginia",VA,16.6
51680,51,680,"Lynchburg city, Virginia",VA,17.5
51683,51,683,"Manassas city, Virginia",VA,4.7
51685,51,685,"Manassas Park city, Virginia",VA,5.1
51690,51,690,"Martinsville city, Virginia",VA,24.6
51700,51,700,"Newport News city, Virginia",VA,14.7
51710,51,710,"Norfolk city, Virginia",VA,16.9
51720,51,720,"Norton city, Virginia",VA,29.1
51730,51,730,"Petersburg city, Virginia",VA,22.2
51735,51,735,"Poquoson city, Virginia",VA,4.5
51740,51,740,"Portsmouth city, Virginia",VA,17.4
51750,51,750,"Radford city, Virginia",VA,33.8
51760,51,760,"Richmond city, Virginia",VA,19.5
51770,51,770,"Roanoke city, Virginia",VA,19.1
51775,51,775,"Salem city, Virginia",VA,9.6
51790,51,790,"Staunton city, Virginia",VA,11.4
51800,51,800,"Suffolk city, Virginia",VA,9.4
51810,51,810,"Virginia Beach city, Virginia",VA,8.0
51820,51,820,"Waynesboro city, Virginia",VA,16.1
51830,51,830,"Williamsburg city, Virginia",VA,13.7
51840,51,840,"Winchester city, Virginia",VA,16.8
42001,42,001,"Adams County, Pennsylvania",PA,7.9
42003,42,003,"Allegheny County, Pennsylvania",PA,11.1
42005,42,005,"Armstrong County, Pennsylvania",PA,10.4
42007,42,007,"Beaver County, Pennsylvania",PA,10.4
42009,42,009,"Bedford County, Pennsylvania",PA,10.8
42011,42,011,"Berks County, Pennsylvania",PA,11.8
42013,42,013,"Blair County, Pennsylvania",PA,13.2
42015,42,015,"Bradford County, Pennsylvania",PA,13.1
42017,42,017,"Bucks County, Pennsylvania",PA,5.6
42019,42,019,"Butler County, Pennsylvania",PA,7.9
42021,42,021,"Cambria County, Pennsylvania",PA,14.4
42023,42,023,"Cameron County, Pennsylvania",PA,15.0
42025,42,025,"Carbon County, Pennsylvania",PA,11.8
42027,42,027,"Centre County, Pennsylvania",PA,17.0
42029,42,029,"Chester County, Pennsylvania",PA,6.0
42031,42,031,"Clarion County, Pennsylvania",PA,13.7
42033,42,033,"Clearfield County, Pennsylvania",PA,13.7
42035,42,035,"Clinton County, Pennsylvania",PA,13.1
42037,42,037,"Columbia County, Pennsylvania",PA,15.3
42039,42,039,"Crawford County, Pennsylvania",PA,12.7
42041,42,041,"Cumberland County, Pennsylvania",PA,7.7
42043,42,043,"Dauphin County, Pennsylvania",PA,12.2
42045,42,045,"Delaware County, Pennsylvania",PA,9.7
42047,42,047,"Elk County, Pennsylvania",PA,9.0
42049,42,049,"Erie County, Pennsylvania",PA,15.4
42051,42,051,"Fayette County, Pennsylvania",PA,16.2
42053,42,053,"Forest County, Pennsylvania",PA,19.2
42055,42,055,"Franklin County, Pennsylvania",PA,9.0
42057,42,057,"Fulton County, Pennsylvania",PA,10.7
42059,42,059,"Greene County, Pennsylvania",PA,12.9
42061,42,061,"Huntingdon County, Pennsylvania",PA,11.3
42063,42,063,"Indiana County, Pennsylvania",PA,13.0
42065,42,065,"Jefferson County, Pennsylvania",PA,14.1
42067,42,067,"Juniata County, Pennsylvania",PA,9.0
42069,42,069,"Lackawanna County, Pennsylvania",PA,13.0
42071,42,071,"Lancaster County, Pennsylvania",PA,8.2
42073,42,073,"Lawrence County, Pennsylvania",PA,12.3
42075,42,075,"Lebanon County, Pennsylvania",PA,10.9
42077,42,077,"Lehigh County, Pennsylvania",PA,11.9
42079,42,079,"Luzerne County, Pennsylvania",PA,14.9
42081,42,081,"Lycoming County, Pennsylvania",PA,12.5
42083,42,083,"McKean County, Pennsylvania",PA,14.1
42085,42,085,"Mercer County, Pennsylvania",PA,13.5
42087,42,087,"Mifflin County, Pennsylvania",PA,16.7
42089,42,089,"Monroe County, Pennsylvania",PA,11.3
42091,42,091,"Montgomery County, Pennsylvania",PA,6.3
42093,42,093,"Montour County, Pennsylvania",PA,8.7
42095,42,095,"Northampton County, Pennsylvania",PA,9.2
42097,42,097,"Northumberland County, Pennsylvania",PA,12.4
42099,42,099,"Perry County, Pennsylvania",PA,8.2
42101,42,101,"Philadelphia County, Pennsylvania",PA,22.7
42103,42,103,"Pike County, Pennsylvania",PA,10.0
42105,42,105,"Potter County, Pennsylvania",PA,12.2
42107,42,107,"Schuylkill County, Pennsylvania",PA,12.3
42109,42,109,"Snyder County, Pennsylvania",PA,8.4
42111,42,111,"Somerset County, Pennsylvania",PA,10.8
42113,42,113,"Sullivan County, Pennsylvania",PA,12.2
42115,42,115,"Susquehanna County, Pennsylvania",PA,11.2
42117,42,117,"Tioga County, Pennsylvania",PA,12.2
42119,42,119,"Union County, Pennsylvania",PA,10.8
42121,42,121,"Venango County, Pennsylvania",PA,13.4
42123,42,123,"Warren County, Pennsylvania",PA,11.6
42125,42,125,"Washington County, Pennsylvania",PA,9.5
42127,42,127,"Wayne County, Pennsylvania",PA,11.0
42129,42,129,"Westmoreland County, Pennsylvania",PA,9.7
42131,42,131,"Wyoming County, Pennsylvania",PA,11.2
42133,42,133,"York County, Pennsylvania",PA,8.6
24001,24,001,"Allegany County, Maryland",MD,15.9
24003,24,003,"Anne Arundel County, Maryland",MD,5.8
24005,24,005,"Baltimore County, Maryland",MD,10.2
24009,24,009,"Calvert County, Maryland",MD,4.3
24011,24,011,"Caroline County, Maryland",MD,12.9
24013,24,013,"Carroll County, Maryland",MD,5.1
24015,24,015,"Cecil County, Maryland",MD,10.1
24017,24,017,"Charles County, Maryland",MD,5.9
24019,24,019,"Dorchester County, Maryland",MD,15.4
24021,24,021,"Frederick County, Maryland",MD,6.2
24023,24,023,"Garrett County, Maryland",MD,11.1
24025,24,025,"Harford County, Maryland",MD,7.1
24027,24,027,"Howard County, Maryland",MD,5.4
24029,24,029,"Kent County, Maryland",MD,9.5
24031,24,031,"Montgomery County, Maryland",MD,7.2
24033,24,033,"Prince George's County, Maryland",MD,9.6
24035,24,035,"Queen Anne's County, Maryland",MD,6.9
24037,24,037,"St. Mary's County, Maryland",MD,7.6
24039,24,039,"Somerset County, Maryland",MD,19.8
24041,24,041,"Talbot County, Maryland",MD,9.3
24043,24,043,"Washington County, Maryland",MD,12.3
24045,24,045,"Wicomico County, Maryland",MD,13.8
24047,24,047,"Worcester County, Maryland",MD,8.2
24510,24,510,"Baltimore city, Maryland",MD,19.6
10001,10,001,"Kent County, Delaware",DE,12.3
10003,10,003,"New Castle County, Delaware",DE,10.5
10005,10,005,"Sussex County, Delaware",DE,11.6
54001,54,001,"Barbour County, West Virginia",WV,22.0
54003,54,003,"Berkeley County, West Virginia",WV,10.9
54005,54,005,"Boone County, West Virginia",WV,16.5
54007,54,007,"Braxton County, West Virginia",WV,18.2
54009,54,009,"Brooke County, West Virginia",WV,11.0
54011,54,011,"Cabell County, West Virginia",WV,20.1
54013,54,013,"Calhoun County, West Virginia",WV,33.7
54015,54,015,"Clay County, West Virginia",WV,24.6
54017,54,017,"Doddridge County, West Virginia",WV,14.4
54019,54,019,"Fayette County, West Virginia",WV,21.5
54021,54,021,"Gilmer County, West Virginia",WV,11.1
54023,54,023,"Grant County, West Virginia",WV,11.7
54025,54,025,"Greenbrier County, West Virginia",WV,20.0
54027,54,027,"Hampshire County, West Virginia",WV,17.5
54029,54,029,"Hancock County, West Virginia",WV,13.4
54031,54,031,"Hardy County, West Virginia",WV,17.3
54033,54,033,"Harrison County, West Virginia",WV,13.7
54035,54,035,"Jackson County, West Virginia",WV,19.6
54037,54,037,"Jefferson County, West Virginia",WV,9.1
54039,54,039,"Kanawha County, West Virginia",WV,16.4
54041,54,041,"Lewis County, West Virginia",WV,16.8
54043,54,043,"Lincoln County, West Virginia",WV,19.2
54045,54,045,"Logan County, West Virginia",WV,23.8
54047,54,047,"McDowell County, West Virginia",WV,33.3
54049,54,049,"Marion County, West Virginia",WV,14.9
54051,54,051,"Marshall County, West Virginia",WV,14.7
54053,54,053,"Mason County, West Virginia",WV,16.3
54055,54,055,"Mercer County, West Virginia",WV,18.8
54057,54,057,"Mineral County, West Virginia",WV,13.9
54059,54,059,"Mingo County, West Virginia",WV,28.6
54061,54,061,"Monongalia County, West Virginia",WV,20.6
54063,54,063,"Monroe County, West Virginia",WV,13.2
54065,54,065,"Morgan County, West Virginia",WV,10.6
54067,54,067,"Nicholas County, West Virginia",WV,16.7
54069,54,069,"Ohio County, West Virginia",WV,14.7
54071,54,071,"Pendleton County, West Virginia",WV,16.4
54073,54,073,"Pleasants County, West Virginia",WV,7.7
54075,54,075,"Pocahontas County, West Virginia",WV,20.3
54077,54,077,"Preston County, West Virginia",WV,13.8
54079,54,079,"Putnam County, West Virginia",WV,10.9
54081,54,081,"Raleigh County, West Virginia",WV,22.0
54083,54,083,"Randolph County, West Virginia",WV,15.5
54085,54,085,"Ritchie County, West Virginia",WV,20.3
54087,54,087,"Roane County, West Virginia",WV,21.1
54089,54,089,"Summers County, West Virginia",WV,21.2
54091,54,091,"Taylor County, West Virginia",WV,16.9
54093,54,093,"Tucker County, West Virginia",WV,9.8
54095,54,095,"Tyler County, West Virginia",WV,12.0
