fips,NAME,total_population,white_alone,non_white,pct_non_white
51001,"Accomack County, Virginia",33367,20860,12507,37.48314202655318
51003,"Albemarle County, Virginia",112513,88455,24058,21.382418031694115
51005,"Alleghany County, Virginia",15159,14000,1159,7.64562306220727
51007,"Amelia County, Virginia",13309,9928,3381,25.403862048238036
51009,"Amherst County, Virginia",31426,23551,7875,25.05886845287342
51011,"Appomattox County, Virginia",16253,12621,3632,22.34664369654833
51013,"Arlington County, Virginia",235845,153250,82595,35.02088235917658
51015,"Augusta County, Virginia",77433,70321,7112,9.18471452739788
51017,"Bath County, Virginia",4177,3909,268,6.416088101508259
51019,"Bedford County, Virginia",79761,69564,10197,12.78444352503103
51021,"Bland County, Virginia",6241,5831,410,6.5694600224323025
51023,"Botetourt County, Virginia",33734,31350,2384,7.067054010790301
51025,"Brunswick County, Virginia",15965,6596,9369,58.68462261196367
51027,"Buchanan County, Virginia",20246,19571,675,3.3339918996344955
51029,"Buckingham County, Virginia",16869,10348,6521,38.656707570098995
51031,"Campbell County, Virginia",55518,43776,11742,21.149897330595483
51033,"Caroline County, Virginia",31181,19919,11262,36.11814887271095
51035,"Carroll County, Virginia",29126,27572,1554,5.335439126553595
51036,"Charles City County, Virginia",6760,2998,3762,55.6508875739645
51037,"Charlotte County, Virginia",11563,8159,3404,29.43872697396869
51041,"Chesterfield County, Virginia",366019,226434,139585,38.13599840445441
51043,"Clarke County, Virginia",14882,13120,1762,11.839806477623975
51045,"Craig County, Virginia",4898,4638,260,5.308289097590854
51047,"Culpeper County, Virginia",52822,37713,15109,28.603612131308925
51049,"Cumberland County, Virginia",9697,6181,3516,36.25863669176034
51051,"Dickenson County, Virginia",14089,13769,320,2.2712754631272625
51053,"Dinwiddie County, Virginia",28057,18340,9717,34.63306839647859
51057,"Essex County, Virginia",10602,6068,4534,42.7655159403886
51059,"Fairfax County, Virginia",1145354,620521,524833,45.82277618971951
51061,"Fauquier County, Virginia",73290,60832,12458,16.998226224587256
51063,"Floyd County, Virginia",15532,14621,911,5.865310327066701
51065,"Fluvanna County, Virginia",27442,21205,6237,22.727935281685006
51067,"Franklin County, Virginia",54838,47963,6875,12.536926948466393
51069,"Frederick County, Virginia",92007,79098,12909,14.030454204571392
51071,"Giles County, Virginia",16711,15882,829,4.960804260666627
51073,"Gloucester County, Virginia",38875,32867,6008,15.454662379421222
51075,"Goochland County, Virginia",24906,19629,5277,21.18766562274151
51077,"Grayson County, Virginia",15356,13848,1508,9.820265694191194
51079,"Greene County, Virginia",20631,16664,3967,19.22834569337405
51081,"Greensville County, Virginia",11373,4136,7237,63.6331662709927
51083,"Halifax County, Virginia",34013,20595,13418,39.44962220327522
51085,"Hanover County, Virginia",110513,91983,18530,16.767258150624816
51087,"Henrico County, Virginia",333120,175515,157605,47.311779538904894
51089,"Henry County, Virginia",50760,35943,14817,29.190307328605204
51091,"Highland County, Virginia",2247,2120,127,5.651980418335559
51093,"Isle of Wight County, Virginia",38898,27388,11510,29.59021029358836
51095,"James City County, Virginia",78818,59872,18946,24.03765637290974
51097,"King and Queen County, Virginia",6681,4472,2209,33.06391258793594
51099,"King George County, Virginia",26985,19578,7407,27.448582545858812
51101,"King William County, Virginia",17845,14080,3765,21.098346875875595
51103,"Lancaster County, Virginia",10866,7304,3562,32.78115221792748
51105,"Lee County, Virginia",22287,20776,1511,6.779737066451294
51107,"Loudoun County, Virginia",420773,241853,178920,42.52173975041174
51109,"Louisa County, Virginia",38106,29805,8301,21.78397102818454
51111,"Lunenburg County, Virginia",11988,7022,4966,41.424758091424756
51113,"Madison County, Virginia",13828,11849,1979,14.311541799247903
51115,"Mathews County, Virginia",8537,7412,1125,13.177931357619773
51117,"Mecklenburg County, Virginia",30367,18941,11426,37.62637073138605
51119,"Middlesex County, Virginia",10738,8479,2259,21.037437139132052
51121,"Montgomery County, Virginia",99373,83364,16009,16.11000976120274
51125,"Nelson County, Virginia",14773,12160,2613,17.687673458336153
51127,"New Kent County, Virginia",23296,18464,4832,20.741758241758244
51131,"Northampton County, Virginia",12132,7078,5054,41.65842400263765
51133,"Northumberland County, Virginia",12007,8452,3555,29.60772882485217
51135,"Nottoway County, Virginia",15638,8770,6868,43.91865967515027
51137,"Orange County, Virginia",36593,28571,8022,21.922225562266007
51139,"Page County, Virginia",23753,22077,1676,7.055950827263925
51141,"Patrick County, Virginia",17660,16087,1573,8.907134767836919
51143,"Pittsylvania County, Virginia",60541,45165,15376,25.397664392725588
51145,"Powhatan County, Virginia",30503,26240,4263,13.97567452381733
51147,"Prince Edward County, Virginia",21922,13737,8185,37.33692181370313
51149,"Prince George County, Virginia",42634,23798,18836,44.180700849087586
51153,"Prince William County, Virginia",481114,241644,239470,49.774066021774466
51155,"Pulaski County, Virginia",33841,30908,2933,8.667001566147572
51157,"Rappahannock County, Virginia",7422,6479,943,12.70547022365939
51159,"Richmond County, Virginia",8968,5456,3512,39.1614629794826
51161,"Roanoke County, Virginia",96653,82697,13956,14.4392827951538
51163,"Rockbridge County, Virginia",22673,20712,1961,8.649053940810655
51165,"Rockingham County, Virginia",83905,75412,8493,10.12216196889339
51167,"Russell County, Virginia",25763,24849,914,3.547723479408454
51169,"Scott County, Virginia",21536,20899,637,2.9578380386329863
51171,"Shenandoah County, Virginia",44337,39293,5044,11.376502695265806
51173,"Smyth County, Virginia",29799,28396,1403,4.708211684955871
51175,"Southampton County, Virginia",18003,11114,6889,38.265844581458644
51177,"Spotsylvania County, Virginia",141097,96233,44864,31.796565483319984
51179,"Stafford County, Virginia",157606,94088,63518,40.30176516122483
51181,"Surry County, Virginia",6546,3622,2924,44.668499847234955
51183,"Sussex County, Virginia",10866,4528,6338,58.328731824038286
51185,"Tazewell County, Virginia",40392,37700,2692,6.664686076450782
51187,"Warren County, Virginia",40800,34568,6232,15.274509803921568
51191,"Washington County, Virginia",53985,51390,2595,4.806890803000834
51193,"Westmoreland County, Virginia",18480,11706,6774,36.65584415584416
51195,"Wise County, Virginia",36105,32896,3209,8.887965655726354
51197,"Wythe County, Virginia",28275,26557,1718,6.07603890362511
51199,"York County, Virginia",70238,49774,20464,29.13522594606908
