NAME,B08128_001E,B08128_002E,B08128_003E,B08128_009E,B08128_013E,state,county
"Accomack County, Virginia",14099,9685,9187,693,6908,51,001
"Albemarle County, Virginia",53838,30427,27527,3255,18067,51,003
"Alleghany County, Virginia",6007,3952,3851,336,3525,51,005
"Amelia County, Virginia",6079,4270,3924,430,3332,51,007
"Amherst County, Virginia",14609,9977,9494,807,7689,51,009
"Appomattox County, Virginia",7614,5363,5011,353,4291,51,011
"Arlington County, Virginia",148246,82056,78394,5621,32619,51,013
"Augusta County, Virginia",37136,26000,25106,2451,21606,51,015
"Bath County, Virginia",1722,1201,1046,127,880,51,017
"Bedford County, Virginia",36473,25132,23217,2124,19381,51,019
"Bland County, Virginia",2277,1623,1611,187,1337,51,021
"Botetourt County, Virginia",15827,11716,10885,1183,9123,51,023
"Brunswick County, Virginia",6248,4213,4051,426,3309,51,025
"Buchanan County, Virginia",5805,3987,3759,126,3290,51,027
"Buckingham County, Virginia",6479,4184,3860,514,3129,51,029
"Campbell County, Virginia",25668,19067,18233,880,15795,51,031
"Caroline County, Virginia",15767,9774,9457,401,7830,51,033
"Carroll County, Virginia",12029,8308,8072,916,6842,51,035
"Charles City County, Virginia",3222,2271,2179,170,1860,51,036
"Charlotte County, Virginia",4537,2501,2421,612,2028,51,037
"Chesterfield County, Virginia",184760,128128,121734,7193,92290,51,041
"Clarke County, Virginia",7421,4755,4299,615,3379,51,043
"Craig County, Virginia",1964,1454,1393,75,1238,51,045
"Culpeper County, Virginia",25422,17858,16860,1372,13191,51,047
"Cumberland County, Virginia",4917,3066,2769,435,2374,51,049
"Dickenson County, Virginia",4444,2848,2751,110,2383,51,051
"Dinwiddie County, Virginia",13371,9062,8763,491,7316,51,053
"Essex County, Virginia",4073,2891,2765,367,1957,51,057
"Fairfax County, Virginia",611718,380701,356779,32553,218516,51,059
"Fauquier County, Virginia",38097,25914,24141,2198,18848,51,061
"Floyd County, Virginia",7584,5637,5326,523,4284,51,063
"Fluvanna County, Virginia",13164,8691,7973,629,6139,51,065
"Franklin County, Virginia",23512,16755,15915,1316,12797,51,067
"Frederick County, Virginia",44501,30955,29280,2005,23370,51,069
