violent_crimes,property_crimes,agency_count,state_fips,county_fips,state_name,county_name,fips
805,3981,22,10,001,DELAWARE,KENT,10001
2371,12427,18,10,003,DELAWARE,NEW CASTLE,10003
919,3747,28,10,005,DELAWARE,SUSSEX,10005
21,198,3,13,001,GEORGIA,APPLING,13001
9,49,3,13,003,GEORGIA,ATKINSON,13003
12,101,2,13,005,GEORGIA,BACON,13005
0,0,2,13,007,GEORGIA,BAKER,13007
210,1075,7,13,009,GEORGIA,BALDWIN,13009
28,212,2,13,011,GEORGIA,BANKS,13011
156,1091,4,13,013,GEORGIA,BARROW,13013
272,1716,8,13,015,GEORGIA,BARTOW,13015
156,461,2,13,017,GEORGIA,BEN HILL,13017
57,285,5,13,019,GEORGIA,BERRIEN,13019
2111,6298,9,13,021,GEORGIA,BIBB,13021
28,190,3,13,023,GEORGIA,BLECKLEY,13023
43,268,3,13,025,GEORGIA,BRANTLEY,13025
29,132,4,13,027,GEORGIA,BROOKS,13027
46,369,3,13,029,GEORGIA,BRYAN,13029
162,1240,8,13,031,GEORGIA,BULLOCH,13031
60,362,5,13,033,GEORGIA,BURKE,13033
25,148,3,13,035,GEORGIA,BUTTS,13035
11,41,4,13,037,GEORGIA,CALHOUN,13037
131,597,5,13,039,GEORGIA,CAMDEN,13039
23,164,3,13,043,GEORGIA,CANDLER,13043
233,1811,9,13,045,GEORGIA,CARROLL,13045
91,758,3,13,047,GEORGIA,CATOOSA,13047
3,36,3,13,049,GEORGIA,CHARLTON,13049
157,1305,17,13,051,GEORGIA,CHATHAM,13051
0,0,2,13,053,GEORGIA,CHATTAHOOCHEE,13053
25,292,5,13,055,GEORGIA,CHATTOOGA,13055
294,1715,9,13,057,GEORGIA,CHEROKEE,13057
587,3666,7,13,059,GEORGIA,CLARKE,13059
16,19,2,13,061,GEORGIA,CLAY,13061
1242,6355,10,13,063,GEORGIA,CLAYTON,13063
11,57,2,13,065,GEORGIA,CLINCH,13065
1714,11633,14,13,067,GEORGIA,COBB,13067
75,380,7,13,069,GEORGIA,COFFEE,13069
139,721,6,13,071,GEORGIA,COLQUITT,13071
148,1161,3,13,073,GEORGIA,COLUMBIA,13073
13,125,4,13,075,GEORGIA,COOK,13075
977,1767,5,13,077,GEORGIA,COWETA,13077
24,131,2,13,079,GEORGIA,CRAWFORD,13079
202,686,4,13,081,GEORGIA,CRISP,13081
0,0,2,13,083,GEORGIA,DADE,13083
37,233,1,13,085,GEORGIA,DAWSON,13085
139,607,6,13,087,GEORGIA,DECATUR,13087
5089,26772,18,13,089,GEORGIA,DE KALB,13089
54,245,3,13,091,GEORGIA,DODGE,13091
0,0,5,13,093,GEORGIA,DOOLY,13093
736,1821,8,13,095,GEORGIA,DOUGHERTY,13095
404,2821,2,13,097,GEORGIA,DOUGLAS,13097
82,159,3,13,099,GEORGIA,EARLY,13099
2,4,1,13,101,GEORGIA,ECHOLS,13101
54,323,5,13,103,GEORGIA,EFFINGHAM,13103
33,160,3,13,105,GEORGIA,ELBERT,13105
30,224,6,13,107,GEORGIA,EMANUEL,13107
28,106,3,13,109,GEORGIA,EVANS,13109
42,191,4,13,111,GEORGIA,FANNIN,13111
80,1331,5,13,113,GEORGIA,FAYETTE,13113
521,2081,6,13,115,GEORGIA,FLOYD,13115
151,1132,4,13,117,GEORGIA,FORSYTH,13117
32,206,5,13,119,GEORGIA,FRANKLIN,13119
4746,27309,39,13,121,GEORGIA,FULTON,13121
82,314,4,13,123,GEORGIA,GILMER,13123
2,19,2,13,125,GEORGIA,GLASCOCK,13125
287,1119,8,13,127,GEORGIA,GLYNN,13127
84,389,7,13,129,GEORGIA,GORDON,13129
19,221,4,13,131,GEORGIA,GRADY,13131
16,125,6,13,133,GEORGIA,GREENE,13133
2927,14219,12,13,135,GEORGIA,GWINNETT,13135
28,181,10,13,137,GEORGIA,HABERSHAM,13137
519,2942,11,13,139,GEORGIA,HALL,13139
10,47,3,13,141,GEORGIA,HANCOCK,13141
56,582,5,13,143,GEORGIA,HARALSON,13143
12,131,5,13,145,GEORGIA,HARRIS,13145
90,403,2,13,147,GEORGIA,HART,13147
9,110,3,13,149,GEORGIA,HEARD,13149
625,4007,5,13,151,GEORGIA,HENRY,13151
