county_fips,county_name,total_locations,percent_covered,min_download_mbps,min_upload_mbps
10001,Kent County,89997,100.0,100,10
10003,New Castle County,258964,100.0,100,10
10005,Sussex County,184816,99.99783570000001,100,10
13001,Appling County,10332,100.0,100,10
13003,Atkinson County,4326,100.0,100,10
13005,Bacon County,5573,100.0,100,10
13007,Baker County,1728,100.0,100,10
13009,Baldwin County,22578,100.0,100,10
13011,Banks County,8660,99.9884527,100,10
13013,Barrow County,36816,100.0,100,10
13015,Bartow County,52697,100.0,100,10
13017,Ben Hill County,9525,100.0,100,10
13019,Berrien County,9410,100.0,100,10
13021,Bibb County,81430,100.0,100,10
13023,Bleckley County,6101,100.0,100,10
13025,Brantley County,9101,100.0,100,10
13027,Brooks County,8799,99.9886351,100,10
13029,Bryan County,19994,100.0,100,10
13031,Bulloch County,39979,100.0,100,10
13033,Burke County,13277,100.0,100,10
13035,Butts County,10985,100.0,100,10
13037,Calhoun County,2558,100.0,100,10
13039,Camden County,27289,100.0,100,10
13043,Candler County,5379,100.0,100,10
13045,Carroll County,53974,100.0,100,10
13047,Catoosa County,31195,99.9935887,100,10
13049,Charlton County,5554,100.0,100,10
13051,Chatham County,153855,100.0,100,10
13053,Chattahoochee County,4554,100.0,100,10
13055,Chattooga County,12353,100.0,100,10
13057,Cherokee County,119165,100.0,100,10
13059,Clarke County,65428,100.0,100,10
13061,Clay County,2336,100.0,100,10
13063,Clayton County,124186,100.0,100,10
13065,Clinch County,3697,100.0,100,10
13067,Cobb County,349898,100.0,100,10
13069,Coffee County,20792,100.0,100,10
13071,Colquitt County,22547,100.0,100,10
13073,Columbia County,68938,100.0,100,10
13075,Cook County,9511,99.98948589999999,100,10
13077,Coweta County,65065,100.0,100,10
13079,Crawford County,5975,100.0,100,10
13081,Crisp County,11832,100.0,100,10
13083,Dade County,8091,100.0,100,10
13085,Dawson County,14826,100.0,100,10
13087,Decatur County,15408,99.99350989999999,100,10
13089,DeKalb County,371001,100.0,100,10
13091,Dodge County,10031,100.0,100,10
13093,Dooly County,5697,100.0,100,10
13095,Dougherty County,46589,100.0,100,10
13097,Douglas County,63386,100.0,100,10
13099,Early County,6270,100.0,100,10
13101,Echols County,1749,100.0,100,10
13103,Effingham County,28240,100.0,100,10
13105,Elbert County,11108,100.0,100,10
13107,Emanuel County,11728,100.0,100,10
13109,Evans County,5565,100.0,100,10
13111,Fannin County,20580,99.9611273,100,10
13113,Fayette County,52785,100.0,100,10
13115,Floyd County,46693,100.0,100,10
13117,Forsyth County,104682,100.0,100,10
13119,Franklin County,13223,100.0,100,10
13121,Fulton County,558074,100.0,100,10
13123,Gilmer County,20915,100.0,100,10
13125,Glascock County,1605,100.0,100,10
13127,Glynn County,50833,100.0,100,10
13129,Gordon County,26828,99.9962726,100,10
13131,Grady County,13817,100.0,100,10
13133,Greene County,12954,99.9768411,100,10
13135,Gwinnett County,380097,99.9892133,100,10
13137,Habersham County,23166,100.0,100,10
13139,Hall County,92433,99.9989181,100,10
13141,Hancock County,5988,100.0,100,10
13143,Haralson County,14623,99.9863229,100,10
13145,Harris County,16428,99.99391279999999,100,10
13147,Hart County,14877,100.0,100,10
13149,Heard County,5451,100.0,100,10
13151,Henry County,100780,100.0,100,10
13153,Houston County,78998,100.0,100,10
13155,Irwin County,5040,100.0,100,10
13157,Jackson County,35345,99.9971707,100,10
13159,Jasper County,7488,99.9332265,100,10
13161,Jeff Davis County,7321,100.0,100,10
13163,Jefferson County,8302,100.0,100,10
13165,Jenkins County,4754,100.0,100,10
13167,Johnson County,4235,100.0,100,10
13169,Jones County,12940,100.0,100,10
13171,Lamar County,8758,100.0,100,10
13173,Lanier County,4638,100.0,100,10
13175,Laurens County,24993,100.0,100,10
13177,Lee County,14670,100.0,100,10
13179,Liberty County,31174,100.0,100,10
13181,Lincoln County,5237,100.0,100,10
13183,Long County,8061,100.0,100,10
13185,Lowndes County,58348,100.0,100,10
13187,Lumpkin County,15403,100.0,100,10
13189,McDuffie County,10714,100.0,100,10
13191,McIntosh County,7685,100.0,100,10
13193,Macon County,6155,100.0,100,10
13195,Madison County,14642,100.0,100,10
13197,Marion County,4094,100.0,100,10
13199,Meriwether County,11559,100.0,100,10
13201,Miller County,3572,100.0,100,10
13205,Mitchell County,10559,100.0,100,10
13207,Monroe County,13119,100.0,100,10
13209,Montgomery County,4362,100.0,100,10
13211,Morgan County,10628,100.0,100,10
13213,Murray County,17628,100.0,100,10
13215,Muscogee County,105575,100.0,100,10
13217,Newton County,47916,99.99791300000001,100,10
13219,Oconee County,18373,100.0,100,10
13221,Oglethorpe County,7356,99.9864057,100,10
13223,Paulding County,68462,100.0,100,10
13225,Peach County,13736,100.0,100,10
13227,Pickens County,18140,99.9944873,100,10
13229,Pierce County,9607,100.0,100,10
13231,Pike County,8166,100.0,100,10
13233,Polk County,19171,100.0,100,10
13235,Pulaski County,5178,100.0,100,10
13237,Putnam County,15635,100.0,100,10
13239,Quitman County,1898,100.0,100,10
13241,Rabun County,13887,100.0,100,10
13243,Randolph County,4278,100.0,100,10
13245,Richmond County,108248,100.0,100,10
13247,Rockdale County,42161,100.0,100,10
13249,Schley County,2353,100.0,100,10
13251,Screven County,7588,100.0,100,10
13253,Seminole County,5859,100.0,100,10
13255,Spalding County,32461,100.0,100,10
13257,Stephens County,14096,100.0,100,10
13259,Stewart County,2721,100.0,100,10
13261,Sumter County,15628,100.0,100,10
13263,Talbot County,3522,100.0,100,10
13265,Taliaferro County,1175,100.0,100,10
13267,Tattnall County,10977,100.0,100,10
13269,Taylor County,4656,100.0,100,10
13271,Telfair County,5840,100.0,100,10
13273,Terrell County,4980,100.0,100,10
13275,Thomas County,24742,100.0,100,10
13277,Tift County,21916,100.0,100,10
13279,Toombs County,14324,100.0,100,10
13281,Towns County,10150,100.0,100,10
13283,Treutlen County,3380,100.0,100,10
13285,Troup County,33668,100.0,100,10
13287,Turner County,5027,100.0,100,10
13289,Twiggs County,4617,100.0,100,10
13291,Union County,17054,100.0,100,10
13293,Upson County,13921,100.0,100,10
13295,Walker County,33534,99.997018,100,10
13297,Walton County,42458,100.0,100,10
13299,Ware County,18722,99.9946587,100,10
13301,Warren County,3210,100.0,100,10
13303,Washington County,10587,100.0,100,10
13305,Wayne County,14909,100.0,100,10
13307,Webster County,1470,100.0,100,10
13309,Wheeler County,2935,100.0,100,10
13311,White County,16821,100.0,100,10
13313,Whitfield County,47022,100.0,100,10
13315,Wilcox County,4238,100.0,100,10
13317,Wilkes County,6390,100.0,100,10
13319,Wilkinson County,5098,100.0,100,10
13321,Worth County,11198,100.0,100,10
21001,Adair County,10594,100.0,100,10
21003,Allen County,10743,100.0,100,10
21005,Anderson County,11629,100.0,100,10
21007,Ballard County,4592,100.0,100,10
21009,Barren County,22741,100.0,100,10
21011,Bath County,6207,100.0,100,10
21013,Bell County,13413,100.0,100,10
21015,Boone County,62546,100.0,100,10
21017,Bourbon County,10396,99.92304730000001,100,10
21019,Boyd County,24149,100.0,100,10
21021,Boyle County,15225,99.99343189999999,100,10
21023,Bracken County,4874,100.0,100,10
21025,Breathitt County,7214,100.0,100,10
21027,Breckinridge County,13901,99.9568376,100,10
21029,Bullitt County,37901,99.9947231,100,10
21031,Butler County,6811,100.0,100,10
21033,Caldwell County,7106,99.9718548,100,10
21035,Calloway County,22257,99.99550699999999,100,10
21037,Campbell County,48124,100.0,100,10
21039,Carlisle County,2830,100.0,100,10
21041,Carroll County,5738,100.0,100,10
21043,Carter County,14335,100.0,100,10
21045,Casey County,9215,100.0,100,10
21047,Christian County,33299,100.0,100,10
21049,Clark County,19790,99.9898939,100,10
21051,Clay County,10506,100.0,100,10
21053,Clinton County,6799,100.0,100,10
21055,Crittenden County,5227,100.0,100,10
21057,Cumberland County,6001,100.0,100,10
21059,Daviess County,53575,100.0,100,10
21061,Edmonson County,7621,100.0,100,10
21063,Elliott County,3736,100.0,100,10
21065,Estill County,8563,100.0,100,10
21067,Fayette County,163569,99.99755449999999,100,10
21069,Fleming County,8515,100.0,100,10
21071,Floyd County,19785,100.0,100,10
21073,Franklin County,29538,100.0,100,10
21075,Fulton County,3711,100.0,100,10
21077,Gallatin County,4397,100.0,100,10
21079,Garrard County,9263,99.9136349,100,10
21081,Grant County,11964,100.0,100,10
21083,Graves County,19102,100.0,100,10
21085,Grayson County,17538,100.0,100,10
21087,Green County,6173,100.0,100,10
21089,Greenup County,18460,99.9891658,100,10
21091,Hancock County,4584,100.0,100,10
21093,Hardin County,57396,100.0,100,10
21095,Harlan County,15441,100.0,100,10
21097,Harrison County,10607,99.9528613,100,10
21099,Hart County,10183,100.0,100,10
21101,Henderson County,23177,100.0,100,10
21103,Henry County,8028,100.0,100,10
21105,Hickman County,2854,100.0,100,10
21107,Hopkins County,25205,100.0,100,10
21109,Jackson County,8253,100.0,100,10
21111,Jefferson County,394877,99.998987,100,10
21113,Jessamine County,23702,99.9957809,100,10
21115,Johnson County,12045,100.0,100,10
21117,Kenton County,79200,100.0,100,10
21119,Knott County,7800,100.0,100,10
21121,Knox County,15044,100.0,100,10
21123,Larue County,7167,99.9302358,100,10
21125,Laurel County,30501,100.0,100,10
21127,Lawrence County,9558,100.0,100,10
21129,Lee County,4039,100.0,100,10
21131,Leslie County,5892,100.0,100,10
21133,Letcher County,11542,100.0,100,10
21135,Lewis County,7712,100.0,100,10
21137,Lincoln County,12797,100.0,100,10
21139,Livingston County,5722,100.0,100,10
21141,Logan County,14921,100.0,100,10
21143,Lyon County,6064,100.0,100,10
21145,McCracken County,38906,100.0,100,10
21147,McCreary County,7476,100.0,100,10
21149,McLean County,5107,100.0,100,10
21151,Madison County,47511,99.9915809,100,10
21153,Magoffin County,7209,100.0,100,10
21155,Marion County,10096,100.0,100,10
21157,Marshall County,22742,100.0,100,10
21159,Martin County,5179,100.0,100,10
21161,Mason County,9839,100.0,100,10
21163,Meade County,14334,100.0,100,10
21165,Menifee County,4665,100.0,100,10
21167,Mercer County,11737,99.9829599,100,10
21169,Metcalfe County,5245,100.0,100,10
21171,Monroe County,6621,100.0,100,10
21173,Montgomery County,14168,99.9929418,100,10
21175,Morgan County,6969,100.0,100,10
21177,Muhlenberg County,15749,99.9809512,100,10
21179,Nelson County,24469,100.0,100,10
21181,Nicholas County,3971,99.9748174,100,10
21183,Ohio County,12414,99.99194460000001,100,10
21185,Oldham County,26459,100.0,100,10
21187,Owen County,7545,100.0,100,10
21189,Owsley County,2317,100.0,100,10
21191,Pendleton County,7680,100.0,100,10
21193,Perry County,14815,100.0,100,10
21195,Pike County,31096,100.0,100,10
21197,Powell County,7079,100.0,100,10
21199,Pulaski County,36483,100.0,100,10
21201,Robertson County,1888,100.0,100,10
21203,Rockcastle County,10386,100.0,100,10
21205,Rowan County,12297,99.9918679,100,10
21207,Russell County,12023,100.0,100,10
21209,Scott County,26137,100.0,100,10
21211,Shelby County,22512,99.9866738,100,10
21213,Simpson County,10271,100.0,100,10
21215,Spencer County,9664,99.97930459999999,100,10
21217,Taylor County,12892,100.0,100,10
21219,Todd County,6436,100.0,100,10
21221,Trigg County,9382,100.0,100,10
21223,Trimble County,5867,99.9829555,100,10
21225,Union County,7398,100.0,100,10
21227,Warren County,67927,100.0,100,10
21229,Washington County,6337,100.0,100,10
21231,Wayne County,11781,99.9915118,100,10
21233,Webster County,7990,100.0,100,10
21235,Whitley County,17980,100.0,100,10
21237,Wolfe County,4655,100.0,100,10
21239,Woodford County,12699,99.9606268,100,10
24001,Allegany County,37440,99.9946581,100,10
24003,Anne Arundel County,260434,100.0,100,10
24005,Baltimore County,379683,99.9994732,100,10
24009,Calvert County,38979,100.0,100,10
24011,Caroline County,15446,100.0,100,10
24013,Carroll County,73090,99.9904228,100,10
24015,Cecil County,52641,97.5779335,100,10
24017,Charles County,70254,100.0,100,10
24019,Dorchester County,19078,100.0,100,10
24021,Frederick County,120642,99.9975133,100,10
24023,Garrett County,21177,99.9858337,100,10
24025,Harford County,115040,99.9947844,100,10
24027,Howard County,136814,100.0,100,10
24029,Kent County,12204,100.0,100,10
24031,Montgomery County,426636,100.0,100,10
24033,Prince George's County,391450,100.0,100,10
24035,Queen Anne's County,25427,100.0,100,10
24037,St. Mary's County,50834,100.0,100,10
24039,Somerset County,13190,100.0,100,10
24041,Talbot County,22990,100.0,100,10
24043,Washington County,72093,99.9958387,100,10
24045,Wicomico County,50088,100.0,100,10
24047,Worcester County,62108,100.0,100,10
24510,Baltimore city,316424,100.0,100,10
37001,Alamance County,86532,99.9965331,100,10
37003,Alexander County,21213,100.0,100,10
37005,Alleghany County,8738,100.0,100,10
37007,Anson County,12137,100.0,100,10
37009,Ashe County,19803,100.0,100,10
37011,Avery County,15930,100.0,100,10
37013,Beaufort County,32168,100.0,100,10
37015,Bertie County,10638,99.9435984,100,10
37017,Bladen County,19433,100.0,100,10
37019,Brunswick County,111136,100.0,100,10
37021,Buncombe County,151999,99.98289460000001,100,10
37023,Burke County,47281,100.0,100,10
