area_fips,oz_tract_count,state_fips,state_name,state_abbr
10001,5,10,Delaware,DE
10003,15,10,Delaware,DE
10005,5,10,Delaware,DE
13003,1,13,Georgia,GA
13009,6,13,Georgia,GA
13013,1,13,Georgia,GA
13017,4,13,Georgia,GA
13019,1,13,Georgia,GA
13021,15,13,Georgia,GA
13023,1,13,Georgia,GA
13027,2,13,Georgia,GA
13031,6,13,Georgia,GA
13033,3,13,Georgia,GA
13037,2,13,Georgia,GA
13043,2,13,Georgia,GA
13045,2,13,Georgia,GA
13051,9,13,Georgia,GA
13061,1,13,Georgia,GA
13063,3,13,Georgia,GA
13065,1,13,Georgia,GA
13067,5,13,Georgia,GA
13069,3,13,Georgia,GA
13071,4,13,Georgia,GA
13075,1,13,Georgia,GA
13077,2,13,Georgia,GA
13081,3,13,Georgia,GA
13087,1,13,Georgia,GA
13089,12,13,Georgia,GA
13091,1,13,Georgia,GA
13093,2,13,Georgia,GA
13095,10,13,Georgia,GA
13097,2,13,Georgia,GA
13099,2,13,Georgia,GA
13101,1,13,Georgia,GA
13105,1,13,Georgia,GA
13107,4,13,Georgia,GA
13109,1,13,Georgia,GA
13115,2,13,Georgia,GA
13121,27,13,Georgia,GA
13123,1,13,Georgia,GA
13127,3,13,Georgia,GA
13131,2,13,Georgia,GA
13133,2,13,Georgia,GA
13135,3,13,Georgia,GA
13139,3,13,Georgia,GA
13141,1,13,Georgia,GA
13163,2,13,Georgia,GA
13165,1,13,Georgia,GA
13175,4,13,Georgia,GA
13181,1,13,Georgia,GA
13185,6,13,Georgia,GA
13189,2,13,Georgia,GA
13193,2,13,Georgia,GA
13201,2,13,Georgia,GA
13205,3,13,Georgia,GA
13215,16,13,Georgia,GA
13217,1,13,Georgia,GA
13225,3,13,Georgia,GA
13229,1,13,Georgia,GA
13233,1,13,Georgia,GA
13243,1,13,Georgia,GA
13245,13,13,Georgia,GA
13251,1,13,Georgia,GA
13255,5,13,Georgia,GA
13259,2,13,Georgia,GA
13261,4,13,Georgia,GA
