area_fips,college_count,state_fips,state_abbr
10001,3,10,DE
10003,5,10,DE
13009,2,13,GA
13021,5,13,GA
13031,2,13,GA
13039,1,13,GA
13045,1,13,GA
13051,5,13,GA
13057,1,13,GA
13059,2,13,GA
13063,2,13,GA
13067,6,13,GA
13069,1,13,GA
13083,1,13,GA
13089,10,13,GA
13095,2,13,GA
13107,1,13,GA
13115,4,13,GA
13119,1,13,GA
13121,20,13,GA
13127,1,13,GA
13135,7,13,GA
13137,2,13,GA
13139,3,13,GA
13143,1,13,GA
13153,1,13,GA
13171,1,13,GA
13185,2,13,GA
13187,1,13,GA
13209,1,13,GA
13215,3,13,GA
13217,1,13,GA
13225,1,13,GA
13243,1,13,GA
13245,4,13,GA
13255,1,13,GA
13257,1,13,GA
13261,2,13,GA
13275,2,13,GA
13277,1,13,GA
13279,1,13,GA
13281,1,13,GA
13285,2,13,GA
13299,1,13,GA
13303,1,13,GA
13311,1,13,GA
13313,1,13,GA
21001,1,21,KY
21013,1,21,KY
21015,2,21,KY
21019,1,21,KY
21021,1,21,KY
21025,1,21,KY
21035,1,21,KY
21037,2,21,KY
21043,1,21,KY
21047,2,21,KY
21059,3,21,KY
21067,4,21,KY
21071,1,21,KY
21073,1,21,KY
21093,1,21,KY
21095,1,21,KY
21101,1,21,KY
21107,1,21,KY
21111,11,21,KY
21113,2,21,KY
21117,1,21,KY
21119,1,21,KY
21121,1,21,KY
21145,1,21,KY
21151,2,21,KY
21161,1,21,KY
21193,2,21,KY
21195,3,21,KY
21199,1,21,KY
21205,1,21,KY
21209,1,21,KY
21217,1,21,KY
21227,2,21,KY
21235,1,21,KY
21239,3,21,KY
24001,2,24,MD
24003,3,24,MD
24005,7,24,MD
24013,2,24,MD
24015,1,24,MD
24017,1,24,MD
24021,3,24,MD
24023,1,24,MD
24025,1,24,MD
24027,3,24,MD
24029,1,24,MD
24031,4,24,MD
24033,8,24,MD
24035,1,24,MD
24037,1,24,MD
24039,1,24,MD
24043,1,24,MD
24045,2,24,MD
24510,12,24,MD
37001,2,37,NC
37007,1,37,NC
37011,2,37,NC
37013,1,37,NC
37017,1,37,NC
37019,1,37,NC
37021,6,37,NC
37023,1,37,NC
37025,1,37,NC
37027,1,37,NC
37031,1,37,NC
37035,2,37,NC
37039,1,37,NC
37045,2,37,NC
37047,1,37,NC
37049,1,37,NC
37051,6,37,NC
37057,1,37,NC
37061,1,37,NC
37063,4,37,NC
37065,1,37,NC
37067,7,37,NC
37069,1,37,NC
37071,2,37,NC
37081,9,37,NC
37083,1,37,NC
37085,2,37,NC
37087,1,37,NC
37089,1,37,NC
37091,2,37,NC
37097,2,37,NC
37099,2,37,NC
37101,1,37,NC
37105,1,37,NC
37107,1,37,NC
37111,1,37,NC
37115,1,37,NC
37117,1,37,NC
37119,10,37,NC
37123,1,37,NC
37125,1,37,NC
37127,2,37,NC
37129,3,37,NC
37133,2,37,NC
37135,2,37,NC
37137,1,37,NC
37139,3,37,NC
37145,1,37,NC
37147,2,37,NC
37151,1,37,NC
37153,1,37,NC
37155,2,37,NC
37157,1,37,NC
37159,4,37,NC
37161,1,37,NC
37163,1,37,NC
37165,1,37,NC
37167,2,37,NC
37171,1,37,NC
37175,1,37,NC
37179,1,37,NC
37181,1,37,NC
37183,12,37,NC
37189,2,37,NC
37191,2,37,NC
37193,1,37,NC
37195,2,37,NC
42001,2,42,PA
42003,20,42,PA
42007,4,42,PA
42011,6,42,PA
42013,2,42,PA
42017,6,42,PA
42019,2,42,PA
42021,5,42,PA
42027,5,42,PA
42029,6,42,PA
42031,1,42,PA
42033,1,42,PA
42035,1,42,PA
42037,2,42,PA
42039,3,42,PA
42041,4,42,PA
42043,4,42,PA
42045,14,42,PA
42049,7,42,PA
42051,3,42,PA
42055,3,42,PA
42059,1,42,PA
42061,1,42,PA
42063,1,42,PA
42065,1,42,PA
42069,9,42,PA
42071,9,42,PA
42073,2,42,PA
42075,2,42,PA
42077,8,42,PA
42079,7,42,PA
42081,2,42,PA
42083,1,42,PA
42085,4,42,PA
42089,1,42,PA
42091,20,42,PA
42095,5,42,PA
42097,1,42,PA
42101,23,42,PA
42107,1,42,PA
42109,1,42,PA
42117,1,42,PA
42119,2,42,PA
42123,1,42,PA
42125,4,42,PA
42129,9,42,PA
42131,1,42,PA
42133,3,42,PA
45001,1,45,SC
45003,2,45,SC
45005,1,45,SC
45007,2,45,SC
45009,2,45,SC
45013,2,45,SC
45019,9,45,SC
45021,1,45,SC
45025,1,45,SC
45031,1,45,SC
45041,2,45,SC
45045,5,45,SC
45047,2,45,SC
45051,4,45,SC
45057,1,45,SC
45059,1,45,SC
45063,1,45,SC
45071,1,45,SC
45075,3,45,SC
45077,2,45,SC
45079,8,45,SC
45083,6,45,SC
45085,3,45,SC
45087,1,45,SC
45089,1,45,SC
45091,3,45,SC
47009,1,47,TN
47011,3,47,TN
47017,1,47,TN
47019,1,47,TN
47023,1,47,TN
47025,1,47,TN
47037,21,47,TN
47045,1,47,TN
47051,1,47,TN
47055,1,47,TN
47059,1,47,TN
47063,1,47,TN
47065,7,47,TN
47089,1,47,TN
47093,7,47,TN
47107,1,47,TN
47113,3,47,TN
47119,1,47,TN
47125,3,47,TN
47127,1,47,TN
47141,2,47,TN
47143,2,47,TN
47145,1,47,TN
47149,2,47,TN
47157,15,47,TN
47163,2,47,TN
47165,2,47,TN
47179,1,47,TN
47183,1,47,TN
47187,1,47,TN
47189,1,47,TN
51001,1,51,VA
51003,2,51,VA
51005,1,51,VA
51009,1,51,VA
51013,4,51,VA
51015,1,51,VA
51025,1,51,VA
51027,2,51,VA
51041,4,51,VA
51053,1,51,VA
51059,10,51,VA
51067,1,51,VA
51069,1,51,VA
51073,1,51,VA
51085,1,51,VA
51087,6,51,VA
51089,1,51,VA
51107,2,51,VA
51121,2,51,VA
51137,1,51,VA
51147,2,51,VA
51155,1,51,VA
51161,1,51,VA
51165,1,51,VA
51177,1,51,VA
51185,2,51,VA
51191,2,51,VA
51195,2,51,VA
51197,1,51,VA
51510,1,51,VA
51530,1,51,VA
51550,2,51,VA
51570,1,51,VA
51590,3,51,VA
51620,1,51,VA
51630,1,51,VA
51650,3,51,VA
51660,2,51,VA
51678,2,51,VA
51680,6,51,VA
51700,2,51,VA
51710,6,51,VA
51750,1,51,VA
51760,4,51,VA
51770,1,51,VA
51775,2,51,VA
51790,1,51,VA
51810,10,51,VA
51830,1,51,VA
51840,1,51,VA
54001,1,54,WV
54003,3,54,WV
54009,1,54,WV
54011,3,54,WV
54021,1,54,WV
54025,1,54,WV
54031,1,54,WV
54033,2,54,WV
54037,3,54,WV
54039,5,54,WV
54045,1,54,WV
54049,2,54,WV
54055,2,54,WV
54057,1,54,WV
54061,2,54,WV
54069,3,54,WV
54071,1,54,WV
54079,1,54,WV
54081,4,54,WV
54083,1,54,WV
54097,1,54,WV
54107,2,54,WV
