NAME,NESTAB,NRCPTOT,NAICS2017,state,county
"Accomack County, Virginia",2545,104387,00,51,001
"Albemarle County, Virginia",10789,591224,00,51,003
"Alleghany County, Virginia",749,24194,00,51,005
"Amelia County, Virginia",995,42134,00,51,007
"Amherst County, Virginia",1876,68582,00,51,009
"Appomattox County, Virginia",1023,38719,00,51,011
"Arlington County, Virginia",21705,1201839,00,51,013
"Augusta County, Virginia",5092,285584,00,51,015
"Bath County, Virginia",349,14728,00,51,017
"Bedford County, Virginia",6185,287612,00,51,019
"Bland County, Virginia",293,10282,00,51,021
"Botetourt County, Virginia",2506,111566,00,51,023
"Brunswick County, Virginia",853,35416,00,51,025
"Buchanan County, Virginia",720,25358,00,51,027
"Buckingham County, Virginia",868,39260,00,51,029
"Campbell County, Virginia",3322,115873,00,51,031
"Caroline County, Virginia",2220,81707,00,51,033
"Carroll County, Virginia",1858,82284,00,51,035
"Charles City County, Virginia",481,20075,00,51,036
"Charlotte County, Virginia",782,35542,00,51,037
"Chesterfield County, Virginia",30282,1400197,00,51,041
"Clarke County, Virginia",1492,74512,00,51,043
"Craig County, Virginia",336,13633,00,51,045
"Dinwiddie County, Virginia",1626,63402,00,51,053
"Culpeper County, Virginia",4186,221494,00,51,047
"Cumberland County, Virginia",554,25820,00,51,049
"Dickenson County, Virginia",445,12360,00,51,051
"Essex County, Virginia",818,37343,00,51,057
"Fairfax County, Virginia",118009,6642371,00,51,059
"Fauquier County, Virginia",7004,407485,00,51,061
"Floyd County, Virginia",1386,50934,00,51,063
"Fluvanna County, Virginia",2044,77296,00,51,065
"Franklin County, Virginia",3929,175686,00,51,067
"Giles County, Virginia",892,33224,00,51,071
"Frederick County, Virginia",6871,333921,00,51,069
"Gloucester County, Virginia",2662,115710,00,51,073
"Goochland County, Virginia",2592,190666,00,51,075
"Grayson County, Virginia",1044,42199,00,51,077
"Greene County, Virginia",1634,65874,00,51,079
"Greensville County, Virginia",441,12420,00,51,081
"Halifax County, Virginia",1981,85179,00,51,083
"Hanover County, Virginia",9400,459173,00,51,085
"Henrico County, Virginia",29550,1362824,00,51,087
"Highland County, Virginia",270,8940,00,51,091
"Winchester city, Virginia",2272,137579,00,51,840
"Isle of Wight County, Virginia",2680,116811,00,51,093
"Henry County, Virginia",2586,84764,00,51,089
"James City County, Virginia",6455,285385,00,51,095
"King and Queen County, Virginia",395,17115,00,51,097
"King George County, Virginia",1643,71034,00,51,099
"King William County, Virginia",1212,56155,00,51,101
"Lancaster County, Virginia",1095,53907,00,51,103
"Lee County, Virginia",1058,41663,00,51,105
"Loudoun County, Virginia",41540,2244332,00,51,107
"Louisa County, Virginia",2707,122695,00,51,109
"Lunenburg County, Virginia",643,26191,00,51,111
"Madison County, Virginia",1298,59512,00,51,113
"Mathews County, Virginia",812,39451,00,51,115
"Mecklenburg County, Virginia",1755,81630,00,51,117
"Middlesex County, Virginia",996,44143,00,51,119
"New Kent County, Virginia",2399,108554,00,51,127
"Montgomery County, Virginia",5901,284719,00,51,121
"Nelson County, Virginia",1330,65673,00,51,125
"Northampton County, Virginia",1137,54445,00,51,131
"Northumberland County, Virginia",1148,53771,00,51,133
"Nottoway County, Virginia",793,29954,00,51,135
"Orange County, Virginia",2913,132441,00,51,137
"Page County, Virginia",1438,58121,00,51,139
"Patrick County, Virginia",1100,39265,00,51,141
"Pittsylvania County, Virginia",3553,134550,00,51,143
"Powhatan County, Virginia",2386,135503,00,51,145
"Prince Edward County, Virginia",1089,42882,00,51,147
"Prince George County, Virginia",1804,63801,00,51,149
"Prince William County, Virginia",47508,2053748,00,51,153
"Pulaski County, Virginia",1710,63312,00,51,155
"Rappahannock County, Virginia",955,50223,00,51,157
"Richmond County, Virginia",617,28028,00,51,159
"Roanoke County, Virginia",6708,315721,00,51,161
"Rockbridge County, Virginia",1593,75333,00,51,163
"Rockingham County, Virginia",6349,308951,00,51,165
"Russell County, Virginia",1200,41823,00,51,167
"Scott County, Virginia",941,31662,00,51,169
"Shenandoah County, Virginia",3163,133722,00,51,171
"Smyth County, Virginia",1451,52372,00,51,173
"Southampton County, Virginia",1025,36724,00,51,175
"Spotsylvania County, Virginia",11055,466223,00,51,177
"Stafford County, Virginia",12445,499874,00,51,179
"Surry County, Virginia",446,12622,00,51,181
"Sussex County, Virginia",478,18664,00,51,183
"Tazewell County, Virginia",2126,75700,00,51,185
"Warren County, Virginia",3099,141513,00,51,187
"Washington County, Virginia",3708,171562,00,51,191
"Westmoreland County, Virginia",1298,49966,00,51,193
"Wise County, Virginia",1626,58318,00,51,195
"Wythe County, Virginia",1643,65331,00,51,197
"York County, Virginia",4622,186374,00,51,199
"Alexandria city, Virginia",17421,902962,00,51,510
"Bristol city, Virginia",1098,37933,00,51,520
"Buena Vista city, Virginia",345,9217,00,51,530
"Charlottesville city, Virginia",4679,290821,00,51,540
"Chesapeake city, Virginia",17709,682030,00,51,550
"Colonial Heights city, Virginia",1145,43117,00,51,570
"Covington city, Virginia",268,9102,00,51,580
"Danville city, Virginia",2515,85351,00,51,590
"Emporia city, Virginia",275,11648,00,51,595
"Fairfax city, Virginia",3280,201398,00,51,600
"Falls Church city, Virginia",1473,111087,00,51,610
"Franklin city, Virginia",489,16458,00,51,620
"Fredericksburg city, Virginia",2515,130336,00,51,630
"Harrisonburg city, Virginia",3413,178432,00,51,660
"Galax city, Virginia",430,13555,00,51,640
"Hampton city, Virginia",8872,237766,00,51,650
"Hopewell city, Virginia",1252,34285,00,51,670
"Lexington city, Virginia",455,18713,00,51,678
"Manassas Park city, Virginia",1728,82541,00,51,685
"Lynchburg city, Virginia",5342,201221,00,51,680
"Manassas city, Virginia",4161,210275,00,51,683
"Martinsville city, Virginia",791,33561,00,51,690
"Newport News city, Virginia",11661,391047,00,51,700
"Norfolk city, Virginia",14715,630142,00,51,710
"Norton city, Virginia",196,7067,00,51,720
"Petersburg city, Virginia",1935,59776,00,51,730
"Radford city, Virginia",769,33535,00,51,750
"Poquoson city, Virginia",856,40714,00,51,735
"Portsmouth city, Virginia",5867,162292,00,51,740
"Richmond city, Virginia",19420,890343,00,51,760
"Roanoke city, Virginia",6952,352837,00,51,770
"Salem city, Virginia",1693,73928,00,51,775
"Staunton city, Virginia",1892,84648,00,51,790
"Suffolk city, Virginia",7047,235375,00,51,800
"Virginia Beach city, Virginia",36719,1753186,00,51,810
"Waynesboro city, Virginia",1388,53012,00,51,820
"Williamsburg city, Virginia",988,42336,00,51,830
"Adams County, Pennsylvania",7035,353075,00,42,001
"Allegheny County, Pennsylvania",87448,4436768,00,42,003
"Armstrong County, Pennsylvania",3500,159580,00,42,005
"Bedford County, Pennsylvania",3365,179154,00,42,009
"Wyoming County, Pennsylvania",1700,81582,00,42,131
"York County, Pennsylvania",29091,1525215,00,42,133
"Beaver County, Pennsylvania",9542,422482,00,42,007
"Berks County, Pennsylvania",27188,1388121,00,42,011
"Blair County, Pennsylvania",6530,326739,00,42,013
"Bradford County, Pennsylvania",3511,172441,00,42,015
"Bucks County, Pennsylvania",56398,3705894,00,42,017
"Butler County, Pennsylvania",13314,708417,00,42,019
"Cambria County, Pennsylvania",6181,277730,00,42,021
"Cameron County, Pennsylvania",207,6624,00,42,023
"Carbon County, Pennsylvania",3511,172053,00,42,025
"Chester County, Pennsylvania",45473,2983026,00,42,029
"Centre County, Pennsylvania",10056,517866,00,42,027
"Clarion County, Pennsylvania",2351,132933,00,42,031
"Clearfield County, Pennsylvania",4080,204073,00,42,033
"Clinton County, Pennsylvania",1974,110551,00,42,035
"Columbia County, Pennsylvania",3455,163617,00,42,037
"Crawford County, Pennsylvania",5371,271059,00,42,039
