STATEFP,COUNTYFP,NAME,park_count
21,053,Clinton,0
13,189,McDuffie,0
42,007,Beaver,0
37,037,Chatham,0
51,775,Salem,0
51,121,Montgomery,0
47,065,Hamilton,0
51,735,Poquoson,1
54,075,Pocahontas,0
51,095,James City,4
42,053,Forest,0
51,179,Stafford,4
13,025,Brantley,0
13,171,Lamar,0
21,003,Allen,0
37,001,Alamance,0
47,115,Marion,0
21,231,Wayne,0
47,185,White,0
13,115,Floyd,0
37,057,Davidson,0
42,117,Tioga,0
51,181,Surry,3
13,273,Terrell,0
13,063,Clayton,0
13,073,Columbia,0
42,043,Dauphin,1
54,079,Putnam,0
13,193,Macon,0
47,129,Morgan,0
24,047,Worcester,2
21,209,Scott,0
45,023,Chester,0
13,049,Charlton,0
13,233,Polk,0
21,061,Edmonson,0
42,127,Wayne,0
24,001,Allegany,0
54,103,Wetzel,0
13,089,DeKalb,0
13,227,Pickens,0
47,013,Campbell,0
37,069,Franklin,0
24,510,Baltimore,3
47,123,Monroe,0
13,119,Franklin,0
13,265,Taliaferro,0
51,085,Hanover,3
37,155,Robeson,0
37,109,Lincoln,0
13,045,Carroll,0
51,167,Russell,0
37,027,Caldwell,2
21,001,Adair,0
21,077,Gallatin,0
21,097,Harrison,0
42,059,Greene,0
21,017,Bourbon,0
47,149,Rutherford,0
13,075,Cook,0
37,063,Durham,0
47,159,Smith,0
51,089,Henry,0
51,510,Alexandria,3
47,169,Trousdale,0
21,193,Perry,0
13,279,Toombs,0
37,145,Person,0
45,081,Saluda,0
51,540,Charlottesville,0
37,115,Madison,0
13,181,Lincoln,0
47,165,Sumner,0
51,097,King and Queen,1
51,820,Waynesboro,0
47,061,Grundy,0
51,063,Floyd,1
54,005,Boone,0
21,055,Crittenden,0
37,151,Randolph,0
24,015,Cecil,3
21,119,Knott,0
51,119,Middlesex,1
42,065,Jefferson,0
47,003,Bedford,0
47,027,Clay,0
47,097,Lauderdale,0
21,127,Lawrence,0
21,175,Morgan,0
21,177,Muhlenberg,0
47,105,Loudon,0
42,109,Snyder,1
51,595,Emporia,0
13,145,Harris,0
13,251,Screven,0
13,297,Walton,0
51,157,Rappahannock,1
51,009,Amherst,2
13,129,Gordon,0
51,580,Covington,0
47,041,DeKalb,0
42,031,Clarion,0
51,057,Essex,1
45,089,Williamsburg,0
51,027,Buchanan,0
51,005,Alleghany,1
13,147,Hart,0
51,133,Northumberland,1
13,293,Upson,0
13,013,Barrow,0
13,183,Long,0
42,033,Clearfield,0
37,131,Northampton,0
21,087,Green,0
37,013,Beaufort,0
37,159,Rowan,0
21,237,Wolfe,0
42,063,Indiana,0
42,099,Perry,1
54,011,Cabell,0
51,045,Craig,0
47,081,Hickman,0
13,223,Paulding,0
47,141,Putnam,0
13,079,Crawford,0
37,051,Cumberland,0
37,153,Richmond,0
37,093,Hoke,0
42,023,Cameron,0
45,035,Dorchester,0
47,177,Warren,0
21,201,Robertson,0
47,095,Lake,0
45,015,Berkeley,0
42,019,Butler,0
51,029,Buckingham,1
37,025,Cabarrus,0
13,291,Union,0
10,003,New Castle,1
51,073,Gloucester,2
42,101,Philadelphia,1
37,029,Camden,0
21,129,Lee,0
47,089,Jefferson,0
45,047,Greenwood,0
47,075,Haywood,0
54,051,Marshall,0
54,035,Jackson,0
24,005,Baltimore,3
13,137,Habersham,0
13,319,Wilkinson,0
54,061,Monongalia,0
51,760,Richmond,3
37,169,Stokes,0
13,199,Meriwether,0
13,053,Chattahoochee,0
51,145,Powhatan,1
47,099,Lawrence,0
45,069,Marlboro,0
37,031,Carteret,0
45,009,Bamberg,0
13,019,Berrien,0
37,005,Alleghany,1
51,610,Falls Church,0
21,117,Kenton,0
37,139,Pasquotank,0
47,073,Hawkins,0
42,057,Fulton,0
51,075,Goochland,1
13,113,Fayette,0
13,141,Hancock,0
51,137,Orange,2
13,277,Tift,0
47,173,Union,0
54,057,Mineral,0
21,151,Madison,0
47,009,Blount,0
45,031,Darlington,0
13,143,Haralson,0
51,079,Greene,1
37,193,Wilkes,2
24,013,Carroll,0
21,159,Martin,0
21,189,Owsley,0
42,015,Bradford,1
54,029,Hancock,0
42,061,Huntingdon,0
51,141,Patrick,1
42,009,Bedford,0
42,073,Lawrence,0
37,003,Alexander,0
51,101,King William,1
47,023,Chester,0
47,087,Jackson,0
13,061,Clay,0
51,113,Madison,1
13,015,Bartow,0
24,009,Calvert,2
37,083,Halifax,0
21,051,Clay,0
42,035,Clinton,1
54,077,Preston,0
51,111,Lunenburg,0
13,139,Hall,0
13,283,Treutlen,0
13,037,Calhoun,0
24,019,Dorchester,2
42,037,Columbia,1
13,099,Early,0
37,163,Sampson,0
47,127,Moore,0
37,189,Watauga,1
51,770,Roanoke,1
13,043,Candler,0
13,215,Muscogee,0
45,003,Aiken,0
51,550,Chesapeake,1
54,031,Hardy,0
47,163,Sullivan,0
45,059,Laurens,0
21,095,Harlan,1
42,011,Berks,0
47,019,Carter,1
51,037,Charlotte,0
47,179,Washington,0
45,071,Newberry,0
51,093,Isle of Wight,2
51,061,Fauquier,0
51,750,Radford,0
42,085,Mercer,0
37,173,Swain,2
37,011,Avery,1
54,107,Wood,0
47,161,Stewart,0
45,063,Lexington,0
24,003,Anne Arundel,4
54,101,Webster,0
21,063,Elliott,0
47,111,Macon,0
42,107,Schuylkill,0
37,045,Cleveland,0
24,021,Frederick,1
13,081,Crisp,0
54,027,Hampshire,0
37,125,Moore,0
37,067,Forsyth,0
13,261,Sumter,0
45,007,Anderson,0
47,069,Hardeman,0
51,600,Fairfax,0
13,059,Clarke,0
13,077,Coweta,0
47,017,Carroll,0
51,087,Henrico,2
54,047,McDowell,0
54,033,Harrison,0
37,077,Granville,0
13,023,Bleckley,0
13,033,Burke,0
37,185,Warren,0
13,197,Marion,0
10,005,Sussex,1
13,159,Jasper,0
45,013,Beaufort,0
45,077,Pickens,0
42,113,Sullivan,0
51,620,Franklin,0
51,660,Harrisonburg,0
21,067,Fayette,0
21,091,Hancock,0
54,001,Barbour,0
47,181,Wayne,0
42,097,Northumberland,1
51,530,Buena Vista,0
51,067,Franklin,2
54,093,Tucker,0
21,059,Daviess,0
21,197,Powell,0
13,151,Henry,0
37,137,Pamlico,0
21,083,Graves,0
42,021,Cambria,0
47,107,McMinn,0
42,069,Lackawanna,1
47,175,Van Buren,0
13,003,Atkinson,0
21,113,Jessamine,0
21,171,Monroe,0
37,033,Caswell,0
51,127,New Kent,2
13,263,Talbot,0
54,015,Clay,0
51,019,Bedford,2
47,083,Houston,0
42,131,Wyoming,1
37,107,Lenoir,0
51,077,Grayson,1
13,085,Dawson,0
13,167,Johnson,0
51,143,Pittsylvania,0
47,055,Giles,0
21,081,Grant,0
21,217,Taylor,0
37,075,Graham,0
54,045,Logan,0
54,073,Pleasants,0
51,071,Giles,0
54,019,Fayette,0
47,085,Humphreys,0
51,197,Wythe,0
13,303,Washington,0
47,153,Sequatchie,0
13,091,Dodge,0
13,039,Camden,0
13,225,Peach,0
13,311,White,0
13,163,Jefferson,0
54,037,Jefferson,1
51,153,Prince William,5
42,029,Chester,0
54,055,Mercer,0
47,145,Roane,0
24,033,Prince George's,6
51,169,Scott,0
13,289,Twiggs,0
45,055,Kershaw,0
37,073,Gates,0
42,089,Monroe,0
13,095,Dougherty,0
13,047,Catoosa,0
24,027,Howard,2
45,045,Greenville,0
51,036,Charles City,1
21,089,Greenup,0
21,101,Henderson,0
24,023,Garrett,0
21,141,Logan,0
42,133,York,1
37,161,Rutherford,0
13,097,Douglas,0
37,187,Washington,0
37,007,Anson,0
21,031,Butler,0
13,211,Morgan,0
37,135,Orange,0
24,031,Montgomery,5
51,685,Manassas Park,0
51,013,Arlington,5
51,035,Carroll,1
24,035,Queen Anne's,3
13,031,Bulloch,0
21,071,Floyd,0
13,309,Wheeler,0
37,049,Craven,0
45,041,Florence,0
42,047,Elk,0
21,021,Boyle,0
21,065,Estill,0
13,109,Evans,0
13,307,Webster,0
13,169,Jones,0
13,135,Gwinnett,0
51,700,Newport News,1
47,125,Montgomery,0
51,017,Bath,0
21,029,Bullitt,0
37,195,Wilson,0
47,079,Henry,0
51,840,Winchester,0
37,061,Duplin,0
37,087,Haywood,1
21,015,Boone,0
21,229,Washington,0
21,039,Carlisle,0
13,321,Worth,0
13,229,Pierce,0
13,231,Pike,0
13,259,Stewart,0
13,285,Troup,0
47,043,Dickson,0
47,059,Greene,0
51,183,Sussex,0
24,041,Talbot,2
13,257,Stephens,0
51,049,Cumberland,1
45,085,Sumter,0
54,109,Wyoming,0
45,075,Orangeburg,0
21,235,Whitley,0
13,107,Emanuel,0
42,025,Carbon,0
47,171,Unicoi,0
45,083,Spartanburg,0
54,007,Braxton,0
42,013,Blair,0
47,031,Coffee,0
21,183,Ohio,0
13,071,Colquitt,0
51,173,Smyth,0
42,111,Somerset,0
51,191,Washington,0
37,081,Guilford,0
13,245,Richmond,0
42,049,Erie,0
51,161,Roanoke,1
51,015,Augusta,2
21,161,Mason,0
51,590,Danville,0
13,011,Banks,0
13,305,Wayne,0
37,099,Jackson,1
21,023,Bracken,0
54,087,Roane,0
51,670,Hopewell,1
24,045,Wicomico,1
21,043,Carter,0
37,097,Iredell,0
51,083,Halifax,0
37,091,Hertford,0
37,149,Polk,0
37,165,Scotland,0
37,085,Harnett,0
37,105,Lee,0
47,135,Perry,0
51,740,Portsmouth,1
42,051,Fayette,0
54,023,Grant,0
51,171,Shenandoah,1
21,107,Hopkins,0
21,013,Bell,1
13,101,Echols,0
13,179,Liberty,0
47,187,Williamson,0
13,247,Rockdale,0
42,067,Juniata,0
42,083,McKean,0
13,105,Elbert,0
37,017,Bladen,0
47,035,Cumberland,0
37,039,Cherokee,0
21,195,Pike,0
37,035,Catawba,0
21,025,Breathitt,0
51,678,Lexington,0
37,177,Tyrrell,0
21,227,Warren,0
37,113,Macon,0
54,063,Monroe,0
21,105,Hickman,0
37,143,Perquimans,0
13,315,Wilcox,0
47,093,Knox,0
13,281,Towns,0
37,095,Hyde,0
21,145,McCracken,0
21,225,Union,0
47,029,Cocke,0
47,067,Hancock,0
47,071,Hardin,0
45,067,Marion,0
13,093,Dooly,0
47,025,Claiborne,1
54,017,Doddridge,0
54,105,Wirt,0
54,095,Tyler,0
37,071,Gaston,0
37,101,Johnston,0
45,019,Charleston,0
13,235,Pulaski,0
37,015,Bertie,0
37,167,Stanly,0
47,143,Rhea,0
37,079,Greene,0
21,131,Leslie,0
24,039,Somerset,2
21,143,Lyon,0
47,133,Overton,0
13,069,Coffee,0
13,299,Ware,0
24,025,Harford,3
45,037,Edgefield,0
51,001,Accomack,3
21,121,Knox,0
37,129,New Hanover,0
47,131,Obion,0
21,035,Calloway,0
51,003,Albemarle,3
47,147,Robertson,0
51,043,Clarke,0
21,109,Jackson,0
45,073,Oconee,0
24,037,St. Mary's,2
37,147,Pitt,0
13,001,Appling,0
51,081,Greensville,0
13,121,Fulton,0
45,029,Colleton,0
37,141,Pender,0
21,007,Ballard,0
13,249,Schley,0
21,103,Henry,0
21,167,Mercer,0
21,135,Lewis,0
21,221,Trigg,0
24,029,Kent,2
45,049,Hampton,0
13,029,Bryan,0
51,053,Dinwiddie,1
21,157,Marshall,0
13,065,Clinch,0
13,185,Lowndes,0
13,287,Turner,0
21,099,Hart,0
21,137,Lincoln,0
51,710,Norfolk,1
51,155,Pulaski,0
37,179,Union,0
37,121,Mitchell,2
54,025,Greenbrier,0
51,051,Dickenson,0
51,007,Amelia,0
13,243,Randolph,0
47,189,Wilson,0
54,085,Ritchie,0
37,133,Onslow,0
47,057,Grainger,0
42,087,Mifflin,0
51,520,Bristol,0
13,161,Jeff Davis,0
47,011,Bradley,0
54,083,Randolph,0
54,049,Marion,0
21,199,Pulaski,0
37,065,Edgecombe,0
13,213,Murray,0
13,017,Ben Hill,0
13,173,Lanier,0
21,037,Campbell,0
21,057,Cumberland,0
13,239,Quitman,0
51,023,Botetourt,2
45,001,Abbeville,0
45,051,Horry,0
42,091,Montgomery,0
51,720,Norton,0
51,790,Staunton,0
13,221,Oglethorpe,0
47,157,Shelby,0
13,155,Irwin,0
21,125,Laurel,0
47,121,Meigs,0
13,269,Taylor,0
51,830,Williamsburg,3
54,071,Pendleton,0
51,139,Page,1
54,089,Summers,0
37,119,Mecklenburg,0
13,209,Montgomery,0
13,133,Greene,0
54,003,Berkeley,0
45,021,Cherokee,1
37,199,Yancey,1
13,301,Warren,0
13,165,Jenkins,0
21,085,Grayson,0
13,149,Heard,0
13,295,Walker,0
51,193,Westmoreland,2
37,197,Yadkin,0
37,023,Burke,2
37,191,Wayne,0
42,123,Warren,0
37,059,Davie,0
37,111,McDowell,2
21,153,Magoffin,0
42,093,Montour,1
21,173,Montgomery,0
45,057,Lancaster,0
21,123,Larue,0
13,051,Chatham,0
13,241,Rabun,0
54,097,Upshur,0
51,163,Rockbridge,2
42,045,Delaware,1
37,183,Wake,0
13,219,Oconee,0
13,027,Brooks,0
13,271,Telfair,0
21,139,Livingston,0
13,201,Miller,0
47,103,Lincoln,0
21,211,Shelby,0
42,001,Adams,0
45,005,Allendale,0
47,037,Davidson,0
45,061,Lee,0
45,027,Clarendon,0
47,007,Bledsoe,0
21,219,Todd,0
47,183,Weakley,0
42,077,Lehigh,0
42,095,Northampton,0
21,027,Breckinridge,0
21,213,Simpson,0
51,125,Nelson,3
13,175,Laurens,0
51,135,Nottoway,0
51,690,Martinsville,0
13,103,Effingham,0
47,117,Marshall,0
51,011,Appomattox,2
42,041,Cumberland,1
42,055,Franklin,0
42,079,Luzerne,1
51,065,Fluvanna,2
13,195,Madison,0
13,067,Cobb,0
47,091,Johnson,0
51,195,Wise,0
24,017,Charles,3
21,205,Rowan,0
21,041,Carroll,0
45,039,Fairfield,0
47,155,Sevier,1
47,139,Polk,0
21,111,Jefferson,0
21,075,Fulton,0
54,091,Taylor,0
21,093,Hardin,0
51,630,Fredericksburg,3
54,081,Raleigh,0
37,053,Currituck,0
21,047,Christian,0
51,115,Mathews,1
13,253,Seminole,0
42,105,Potter,0
42,003,Allegheny,0
51,099,King George,1
51,147,Prince Edward,0
42,017,Bucks,1
42,081,Lycoming,1
13,237,Putnam,0
51,640,Galax,0
42,075,Lebanon,0
42,027,Centre,0
47,077,Henderson,0
13,007,Baker,0
13,275,Thomas,0
21,005,Anderson,0
21,185,Oldham,0
13,057,Cherokee,0
47,109,McNairy,0
21,203,Rockcastle,0
21,223,Trimble,0
13,055,Chattooga,0
45,033,Dillon,0
37,103,Jones,0
13,087,Decatur,0
21,009,Barren,0
47,049,Fentress,0
51,031,Campbell,1
54,067,Nicholas,0
13,205,Mitchell,0
21,147,McCreary,0
21,191,Pendleton,0
21,215,Spencer,0
24,043,Washington,2
21,133,Letcher,0
51,680,Lynchburg,1
54,053,Mason,0
54,021,Gilmer,0
21,049,Clark,0
47,005,Benton,0
47,137,Pickett,0
51,109,Louisa,1
21,239,Woodford,0
45,053,Jasper,0
45,065,McCormick,0
45,087,Union,0
21,149,McLean,0
21,073,Franklin,0
13,217,Newton,0
47,051,Franklin,0
45,079,Richland,0
54,009,Brooke,0
54,013,Calhoun,0
51,021,Bland,0
54,043,Lincoln,0
13,131,Grady,0
47,167,Tipton,0
37,041,Chowan,0
37,021,Buncombe,1
51,730,Petersburg,1
13,021,Bibb,0
51,175,Southampton,0
51,800,Suffolk,1
37,157,Rockingham,0
