park_code,park_name,designation,states,has_boundary,STATEFP,COUNTYFP,county_name
appa,Appalachian National Scenic Trail,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",True,47,019,Carter
appa,Appalachian National Scenic Trail,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",True,37,173,Swain
appa,Appalachian National Scenic Trail,National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",True,47,155,Sevier
apco,Appomattox Court House National Historical Park,National Historical Park,VA,True,51,011,Appomattox
arho,"Arlington House, The Robert E. Lee Memorial",,VA,True,51,013,Arlington
asis,Assateague Island National Seashore,National Seashore,"MD,VA",True,24,047,Worcester
asis,Assateague Island National Seashore,National Seashore,"MD,VA",True,51,001,Accomack
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,027,Caldwell
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,063,Floyd
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,009,Amherst
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,005,Alleghany
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,193,Wilkes
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,141,Patrick
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,189,Watauga
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,770,Roanoke
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,173,Swain
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,011,Avery
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,067,Franklin
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,019,Bedford
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,077,Grayson
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,035,Carroll
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,087,Haywood
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,161,Roanoke
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,015,Augusta
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,099,Jackson
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,121,Mitchell
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,023,Botetourt
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,199,Yancey
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,023,Burke
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,111,McDowell
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,163,Rockbridge
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,51,125,Nelson
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,021,Buncombe
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,089,Henderson
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,009,Ashe
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,175,Transylvania
blri,Blue Ridge Parkway,Parkway,"NC,VA",True,37,171,Surry
bowa,Booker T Washington National Monument,National Monument,VA,True,51,067,Franklin
came,Cape Henry Memorial Part of Colonial National Historical Park,Part of Colonial National Historical Park,VA,True,51,131,Northampton
came,Cape Henry Memorial Part of Colonial National Historical Park,Part of Colonial National Historical Park,VA,True,51,810,Virginia Beach
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,735,Poquoson
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,095,James City
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,179,Stafford
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,181,Surry
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,043,Dauphin
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,047,Worcester
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,510,Baltimore
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,085,Hanover
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,097,King and Queen
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,015,Cecil
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,119,Middlesex
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,109,Snyder
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,009,Amherst
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,057,Essex
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,005,Alleghany
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,133,Northumberland
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,099,Perry
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,029,Buckingham
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,073,Gloucester
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,005,Baltimore
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,760,Richmond
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,145,Powhatan
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,075,Goochland
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,015,Bradford
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,101,King William
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,009,Calvert
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,035,Clinton
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,24,019,Dorchester
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,42,037,Columbia
cajo,Captain John Smith Chesapeake National Historic Trail,National Historic Trail,"VA,MD,DE,DC,PA,NY",True,51,550,Chesapeake
