area_fips,year,avg_weekly_wage
10001,2022,0
10003,2022,1477
10005,2022,982
13001,2022,1227
13003,2022,870
13005,2022,888
13007,2022,824
13009,2022,731
13011,2022,834
13013,2022,966
13015,2022,1009
13017,2022,805
13019,2022,804
13021,2022,996
13023,2022,665
13025,2022,904
13027,2022,913
13029,2022,870
13031,2022,787
13033,2022,2050
13035,2022,870
13037,2022,790
13039,2022,885
13043,2022,644
13045,2022,1029
13047,2022,831
13049,2022,882
13051,2022,1066
13053,2022,991
13055,2022,772
13057,2022,950
13059,2022,990
13061,2022,667
13063,2022,1263
13065,2022,858
13067,2022,1400
13069,2022,852
13071,2022,803
13073,2022,868
13075,2022,798
13077,2022,936
13079,2022,700
13081,2022,860
13083,2022,813
13085,2022,744
13087,2022,824
13089,2022,1363
13091,2022,684
13093,2022,858
13095,2022,969
13097,2022,989
13099,2022,1097
13101,2022,893
13103,2022,943
13105,2022,822
13107,2022,820
13109,2022,698
13111,2022,795
13113,2022,1041
13115,2022,982
13117,2022,1175
13119,2022,865
13121,2022,1856
13123,2022,765
13125,2022,677
13127,2022,912
13129,2022,1022
13131,2022,843
13133,2022,1007
13135,2022,1220
13137,2022,859
13139,2022,1163
13141,2022,861
13143,2022,929
13145,2022,859
13147,2022,849
13149,2022,1187
13151,2022,884
13153,2022,862
13155,2022,870
13157,2022,845
13159,2022,769
13161,2022,842
13163,2022,935
13165,2022,834
13167,2022,784
13169,2022,831
13171,2022,959
13173,2022,713
13175,2022,823
13177,2022,905
13179,2022,858
13181,2022,743
13183,2022,599
13185,2022,807
13187,2022,853
13189,2022,804
13191,2022,729
13193,2022,1023
13195,2022,839
13197,2022,687
13199,2022,896
13201,2022,820
13205,2022,782
13207,2022,940
13209,2022,721
13211,2022,1019
13213,2022,789
13215,2022,979
13217,2022,959
13219,2022,931
13221,2022,881
13223,2022,843
13225,2022,858
13227,2022,1062
13229,2022,781
13231,2022,860
13233,2022,863
13235,2022,839
13237,2022,854
13239,2022,750
13241,2022,721
13243,2022,809
13245,2022,979
13247,2022,1152
13249,2022,785
13251,2022,776
13253,2022,726
13255,2022,885
13257,2022,923
13259,2022,985
13261,2022,867
13263,2022,937
13265,2022,777
13267,2022,838
13269,2022,969
13271,2022,749
13273,2022,813
13275,2022,1002
13277,2022,790
13279,2022,775
13281,2022,746
13283,2022,776
13285,2022,1019
13287,2022,788
13289,2022,812
13291,2022,841
13293,2022,831
13295,2022,794
13297,2022,1009
13299,2022,810
13301,2022,1010
13303,2022,948
13305,2022,878
13307,2022,1036
13309,2022,842
13311,2022,717
13313,2022,994
13315,2022,762
13317,2022,898
13319,2022,950
13321,2022,750
21001,2022,724
21003,2022,823
21005,2022,862
21007,2022,769
21009,2022,851
21011,2022,859
21013,2022,759
21015,2022,1061
21017,2022,995
21019,2022,1087
21021,2022,943
21023,2022,920
21025,2022,718
21027,2022,793
21029,2022,989
21031,2022,800
21033,2022,807
21035,2022,764
21037,2022,1005
21039,2022,868
21041,2022,1425
21043,2022,771
21045,2022,781
21047,2022,936
21049,2022,1014
21051,2022,758
21053,2022,734
21055,2022,726
21057,2022,901
21059,2022,978
