FIPS Code,for measures,STATE,County name,Division,1993,1993.1,"January, 1941-70","January, 1941-70.1","July, 1941-70","July, 1941-70.1",topography code,Water area,Water area * 100,JAN TEMP - Z,JAN SUN - Z,JUL TEMP - Z,JUL HUM - Z,TOPOG - Z,LN WATER  AREA - Z,Scale, 1=Low  7=High,fips_str,state_fips,county_fips
10001,10001,DE,KENT,5,3,2,35.1,158,77.0,70,1,26.18,7.87,0.18525,0.19547,-0.11596,-0.95884,-1.19466,1.81498,-0.07,3,10001,10,001
10003,10003,DE,NEW CASTLE,5,2,2,32.0,152,75.8,67,5,13.62,7.217,-0.0712,0.01482,-0.06031,-0.75347,-0.588,1.46916,0.01,3,10003,10,003
10005,10005,DE,SUSSEX,5,6,6,35.0,158,76.1,70,1,21.58,7.677,0.17697,0.19547,0.11742,-0.95884,-1.19466,1.71272,0.05,3,10005,10,005
13001,13001,GA,APPLING,5,7,8,51.1,178,81.1,74,2,0.66,4.187,1.50886,0.79765,0.15973,-1.23267,-1.043,-0.13487,0.06,4,13001,13,001
13003,13003,GA,ATKINSON,5,9,9,50.0,174,80.2,78,2,1.75,5.164,1.41786,0.67722,0.30698,-1.5065,-1.043,0.38272,0.24,4,13003,13,003
13005,13005,GA,BACON,5,7,8,50.3,178,80.7,74,1,0.34,3.524,1.44268,0.79765,0.19838,-1.23267,-1.19466,-0.48558,-0.47,3,13005,13,005
13007,13007,GA,BAKER,5,8,6,52.2,174,82.1,78,1,1.7,5.138,1.59985,0.67722,-0.0144,-1.5065,-1.19466,0.36878,-0.07,3,13007,13,007
13009,13009,GA,BALDWIN,5,4,5,45.3,171,79.8,69,13,3.37,5.821,1.02905,0.58689,0.00972,-0.89039,0.62534,0.73005,2.09,4,13009,13,009
13011,13011,GA,BANKS,5,8,6,41.4,156,75.4,70,4,0.09,2.146,0.70642,0.13526,0.85688,-0.95884,-0.73966,-1.21501,-1.21,3,13011,13,011
13013,13013,GA,BARROW,5,1,1,44.5,156,78.4,70,4,0.39,3.655,0.96287,0.13526,0.31724,-0.95884,-0.73966,-0.41604,-0.7,3,13013,13,013
13015,13015,GA,BARTOW,5,1,1,43.1,138,79.0,67,15,2.27,5.426,0.84705,-0.40671,0.03533,-0.75347,0.92868,0.52103,1.17,4,13015,13,015
13017,13017,GA,BEN HILL,5,7,8,51.1,174,81.9,78,4,0.87,4.466,1.50886,0.67722,-0.05537,-1.5065,-0.73966,0.01292,-0.1,3,13017,13,017
13019,13019,GA,BERRIEN,5,7,8,50.0,174,80.2,78,4,1.16,4.755,1.41786,0.67722,0.30698,-1.5065,-0.73966,0.16618,0.32,4,13019,13,019
13021,13021,GA,BIBB,5,2,2,47.8,171,81.4,69,13,2.03,5.311,1.23586,0.58689,-0.20516,-0.89039,0.62534,0.46045,1.81,4,13021,13,021
13023,13023,GA,BLECKLEY,5,6,6,49.0,171,81.4,69,4,0.79,4.369,1.33513,0.58689,-0.10181,-0.89039,-0.73966,-0.03847,0.15,4,13023,13,023
13025,13025,GA,BRANTLEY,5,9,9,51.9,178,81.1,74,1,0.67,4.212,1.57504,0.79765,0.22864,-1.23267,-1.19466,-0.12142,0.05,3,13025,13,025
13027,13027,GA,BROOKS,5,7,8,52.2,174,80.8,78,4,0.82,4.406,1.59985,0.67722,0.33514,-1.5065,-0.73966,-0.01864,0.35,4,13027,13,027
13029,13029,GA,BRYAN,5,2,2,49.5,178,80.0,74,1,2.81,5.639,1.3765,0.79765,0.31769,-1.23267,-1.19466,0.63389,0.7,4,13029,13,029
13031,13031,GA,BULLOCH,5,6,5,50.0,173,80.5,72,2,0.92,4.519,1.41786,0.64711,0.22632,-1.09576,-1.043,0.04103,0.19,4,13031,13,031
13033,13033,GA,BURKE,5,6,6,45.8,173,80.4,72,2,0.54,3.985,1.07041,0.64711,-0.10855,-1.09576,-1.043,-0.24177,-0.77,3,13033,13,033
13035,13035,GA,BUTTS,5,6,4,45.1,171,79.3,69,13,1.79,5.187,1.0125,0.58689,0.12693,-0.89039,0.62534,0.39465,1.86,4,13035,13,035
13037,13037,GA,CALHOUN,5,8,6,50.2,174,80.8,78,4,1.2,4.79,1.4344,0.67722,0.16288,-1.5065,-0.73966,0.18426,0.21,4,13037,13,037
13039,13039,GA,CAMDEN,5,6,6,54.1,178,82.3,74,1,19.5,7.575,1.75703,0.79765,0.09547,-1.23267,-1.19466,1.65896,1.88,4,13039,13,039
13043,13043,GA,CANDLER,5,7,8,50.0,173,80.5,72,4,0.74,4.309,1.41786,0.64711,0.22632,-1.09576,-0.73966,-0.07027,0.39,4,13043,13,043
13045,13045,GA,CARROLL,5,1,1,43.1,158,77.8,70,5,0.91,4.512,0.84705,0.19547,0.35799,-0.95884,-0.588,0.03731,-0.11,3,13045,13,045
13047,13047,GA,CATOOSA,5,2,2,40.2,138,78.8,67,14,0.27,3.298,0.60715,-0.40671,-0.16067,-0.75347,0.77701,-0.60546,-0.54,3,13047,13,047
13049,13049,GA,CHARLTON,5,8,6,54.1,178,82.3,74,1,0.28,3.336,1.75703,0.79765,0.09547,-1.23267,-1.19466,-0.58533,-0.36,3,13049,13,049
13051,13051,GA,CHATHAM,5,2,2,49.9,178,81.1,74,1,31.86,8.067,1.40959,0.79765,0.05637,-1.23267,-1.19466,1.91894,1.76,4,13051,13,051
13053,13053,GA,CHATTAHOOCHE,5,2,2,46.9,158,80.6,70,4,0.95,4.555,1.16141,0.19547,-0.06758,-0.95884,-0.73966,0.06034,-0.35,3,13053,13,053
13055,13055,GA,CHATTOOGA,5,7,8,41.1,138,78.7,67,14,0.07,1.947,0.6816,-0.40671,-0.05627,-0.75347,0.77701,-1.32045,-1.08,3,13055,13,055
13057,13057,GA,CHEROKEE,5,1,1,41.5,156,76.5,70,15,2.37,5.467,0.71469,0.13526,0.56972,-0.95884,0.92868,0.5431,1.93,4,13057,13,057
13059,13059,GA,CLARKE,5,3,2,44.5,156,78.4,70,4,0.38,3.636,0.96287,0.13526,0.31724,-0.95884,-0.73966,-0.42654,-0.71,3,13059,13,059
13061,13061,GA,CLAY,5,9,9,50.2,174,80.8,78,4,10.04,6.912,1.4344,0.67722,0.16288,-1.5065,-0.73966,1.30769,1.34,4,13061,13,061
13063,13063,GA,CLAYTON,5,0,1,42.4,158,78.0,70,4,1.14,4.733,0.78914,0.19547,0.24392,-0.95884,-0.73966,0.15445,-0.32,3,13063,13,063
13065,13065,GA,CLINCH,5,7,8,52.2,174,80.8,78,1,1.81,5.196,1.59985,0.67722,0.33514,-1.5065,-1.19466,0.39937,0.31,4,13065,13,065
13067,13067,GA,COBB,5,0,1,42.4,156,78.0,70,5,1.25,4.831,0.78914,0.13526,0.24392,-0.95884,-0.588,0.20642,-0.17,3,13067,13,067
13069,13069,GA,COFFEE,5,7,7,50.1,174,80.8,78,2,0.59,4.076,1.42613,0.67722,0.15426,-1.5065,-1.043,-0.19348,-0.49,3,13069,13,069
13071,13071,GA,COLQUITT,5,7,7,52.2,174,81.0,78,4,0.77,4.342,1.59985,0.67722,0.28136,-1.5065,-0.73966,-0.05239,0.26,4,13071,13,071
13073,13073,GA,COLUMBIA,5,2,2,45.8,173,80.4,72,4,5.77,6.358,1.07041,0.64711,-0.10855,-1.09576,-0.73966,1.01443,0.79,4,13073,13,073
13075,13075,GA,COOK,5,7,8,52.2,174,81.0,78,4,1.77,5.177,1.59985,0.67722,0.28136,-1.5065,-0.73966,0.38913,0.7,4,13075,13,075
13077,13077,GA,COWETA,5,1,1,44.7,158,78.8,70,5,0.66,4.192,0.97941,0.19547,0.22692,-0.95884,-0.588,-0.13214,-0.28,3,13077,13,077
13079,13079,GA,CRAWFORD,5,8,6,47.8,171,81.4,69,13,0.41,3.715,1.23586,0.58689,-0.20516,-0.89039,0.62534,-0.38472,0.97,4,13079,13,079
13081,13081,GA,CRISP,5,6,5,49.6,174,81.4,78,4,2.62,5.57,1.38477,0.67722,-0.05013,-1.5065,-0.73966,0.5974,0.36,4,13081,13,081
13083,13083,GA,DADE,5,2,2,40.9,138,77.9,67,16,0.1,2.336,0.66505,-0.40671,0.14161,-0.75347,1.08035,-1.11454,-0.39,3,13083,13,083
13085,13085,GA,DAWSON,5,8,4,40.9,156,75.8,70,20,1.36,4.909,0.66505,0.13526,0.70626,-0.95884,1.68702,0.24767,2.48,5,13085,13,085
13087,13087,GA,DECATUR,5,6,5,52.1,174,81.4,78,4,4.23,6.047,1.59158,0.67722,0.1652,-1.5065,-0.73966,0.85006,1.04,4,13087,13,087
13089,13089,GA,DE KALB,5,0,1,42.4,156,78.0,70,5,0.98,4.583,0.78914,0.13526,0.24392,-0.95884,-0.588,0.07494,-0.3,3,13089,13,089
13091,13091,GA,DODGE,5,7,8,49.0,171,81.4,69,4,0.51,3.925,1.33513,0.58689,-0.10181,-0.89039,-0.73966,-0.27313,-0.08,3,13091,13,091
13093,13093,GA,DOOLY,5,6,6,49.6,174,81.4,78,4,1.06,4.659,1.38477,0.67722,-0.05013,-1.5065,-0.73966,0.11502,-0.12,3,13093,13,093
13095,13095,GA,DOUGHERTY,5,3,2,50.7,174,81.8,78,1,1.49,5.003,1.47577,0.67722,-0.06294,-1.5065,-1.19466,0.29706,-0.31,3,13095,13,095
13097,13097,GA,DOUGLAS,5,0,1,43.1,158,77.8,70,5,0.48,3.87,0.84705,0.19547,0.35799,-0.95884,-0.588,-0.30256,-0.45,3,13097,13,097
13099,13099,GA,EARLY,5,6,6,50.4,174,80.7,78,4,0.97,4.579,1.45095,0.67722,0.20699,-1.5065,-0.73966,0.07285,0.16,4,13099,13,099
