area_fips,county_name,has_interstate,state_fips
21053,Clinton,0,21
13189,McDuffie,1,13
42007,Beaver,1,42
37037,Chatham,0,37
51775,Salem,1,51
51121,Montgomery,1,51
47065,Hamilton,1,47
51735,Poquoson,0,51
54075,Pocahontas,0,54
51095,James City,1,51
42053,Forest,0,42
51179,Stafford,1,51
13025,Brantley,0,13
13171,Lamar,1,13
21003,Allen,0,21
37001,Alamance,1,37
47115,Marion,1,47
21231,Wayne,0,21
47185,White,0,47
13115,Floyd,0,13
37057,Davidson,1,37
42117,Tioga,1,42
51181,Surry,0,51
13273,Terrell,0,13
13063,Clayton,1,13
13073,Columbia,1,13
42043,Dauphin,1,42
54079,Putnam,1,54
13193,Macon,0,13
47129,Morgan,0,47
24047,Worcester,0,24
21209,Scott,1,21
45023,Chester,1,45
13049,Charlton,0,13
13233,Polk,0,13
21061,Edmonson,1,21
42127,Wayne,1,42
24001,Allegany,1,24
54103,Wetzel,0,54
13089,DeKalb,1,13
13227,Pickens,1,13
47013,Campbell,1,47
37069,Franklin,0,37
24510,Baltimore,1,24
47123,Monroe,1,47
13119,Franklin,1,13
13265,Taliaferro,1,13
51085,Hanover,1,51
37155,Robeson,1,37
37109,Lincoln,0,37
13045,Carroll,1,13
51167,Russell,0,51
37027,Caldwell,0,37
21001,Adair,0,21
21077,Gallatin,1,21
21097,Harrison,0,21
42059,Greene,1,42
21017,Bourbon,0,21
47149,Rutherford,1,47
13075,Cook,1,13
37063,Durham,1,37
47159,Smith,1,47
51089,Henry,0,51
51510,Alexandria,1,51
47169,Trousdale,0,47
21193,Perry,0,21
13279,Toombs,0,13
37145,Person,0,37
45081,Saluda,0,45
51540,Charlottesville,1,51
37115,Madison,1,37
13181,Lincoln,0,13
47165,Sumner,1,47
51097,King and Queen,0,51
51820,Waynesboro,1,51
47061,Grundy,1,47
51063,Floyd,0,51
54005,Boone,0,54
21055,Crittenden,0,21
37151,Randolph,1,37
24015,Cecil,1,24
21119,Knott,0,21
51119,Middlesex,0,51
42065,Jefferson,1,42
47003,Bedford,1,47
47027,Clay,0,47
47097,Lauderdale,0,47
21127,Lawrence,0,21
21175,Morgan,0,21
21177,Muhlenberg,1,21
47105,Loudon,1,47
42109,Snyder,0,42
51595,Emporia,1,51
13145,Harris,1,13
13251,Screven,0,13
13297,Walton,1,13
51157,Rappahannock,0,51
51009,Amherst,0,51
13129,Gordon,1,13
51580,Covington,1,51
47041,DeKalb,0,47
42031,Clarion,1,42
51057,Essex,0,51
45089,Williamsburg,0,45
51027,Buchanan,0,51
51005,Alleghany,1,51
13147,Hart,1,13
51133,Northumberland,0,51
13293,Upson,0,13
13013,Barrow,1,13
13183,Long,0,13
42033,Clearfield,1,42
37131,Northampton,1,37
21087,Green,0,21
37013,Beaufort,0,37
37159,Rowan,1,37
21237,Wolfe,0,21
42063,Indiana,0,42
42099,Perry,0,42
54011,Cabell,1,54
51045,Craig,0,51
47081,Hickman,1,47
13223,Paulding,0,13
47141,Putnam,1,47
13079,Crawford,1,13
37051,Cumberland,1,37
37153,Richmond,1,37
37093,Hoke,0,37
42023,Cameron,0,42
45035,Dorchester,1,45
47177,Warren,0,47
21201,Robertson,0,21
47095,Lake,0,47
45015,Berkeley,1,45
42019,Butler,1,42
51029,Buckingham,0,51
37025,Cabarrus,1,37
13291,Union,0,13
10003,New Castle,1,10
51073,Gloucester,0,51
