NAME,state,county,county_fips,county_name,S1501_C02_009E,S1501_C02_011E,S1501_C02_012E,hs,associates,bachelors
"Madison County, Nebraska",31,001,31001,Madison,99.77,9.57,38.98,99.77,9.57,38.98
"Pierce County, Nebraska",31,002,31002,Pierce,44.2,6.22,18.63,44.2,6.22,18.63
"Platte County, Nebraska",31,003,31003,Platte,45.49,90.93,87.97,45.49,90.93,87.97
"Stanton County, Nebraska",31,004,31004,Stanton,66.1,65.42,70.43,66.1,65.42,70.43
"Antelope County, Nebraska",31,005,31005,Antelope,37.1,86.34,60.72,37.1,86.34,60.72
"Boone County, Nebraska",31,006,31006,Boone,34.65,37.28,12.55,34.65,37.28,12.55
"Burt County, Nebraska",31,007,31007,Burt,53.56,64.45,49.19,53.56,64.45,49.19
"Cedar County, Nebraska",31,008,31008,Cedar,6.06,9.27,81.35,6.06,9.27,81.35
"Colfax County, Nebraska",31,009,31009,Colfax,33.15,11.83,35.04,33.15,11.83,35.04
"Cuming County, Nebraska",31,010,31010,Cuming,90.32,95.55,61.79,90.32,95.55,61.79
"Dodge County, Nebraska",31,011,31011,Dodge,63.25,74.64,39.95,63.25,74.64,39.95
"Knox County, Nebraska",31,012,31012,Knox,87.26,44.93,52.58,87.26,44.93,52.58
"Nance County, Nebraska",31,013,31013,Nance,64.34,12.69,90.05,64.34,12.69,90.05
"Thurston County, Nebraska",31,014,31014,Thurston,48.15,79.7,15.3,48.15,79.7,15.3
"Wayne County, Nebraska",31,015,31015,Wayne,1.2,6.5,53.91,1.2,6.5,53.91
"Banner County, Nebraska",31,016,31016,Banner,27.48,87.56,97.81,27.48,87.56,97.81
"Box Butte County, Nebraska",31,017,31017,Box Butte,20.99,32.98,48.83,20.99,32.98,48.83
"Cheyenne County, Nebraska",31,018,31018,Cheyenne,12.4,18.98,34.24,12.4,18.98,34.24
"Dawes County, Nebraska",31,019,31019,Dawes,38.37,66.9,98.15,38.37,66.9,98.15
"Deuel County, Nebraska",31,020,31020,Deuel,33.68,7.1,34.85,33.68,7.1,34.85
"Garden County, Nebraska",31,021,31021,Garden,74.87,59.13,37.18,74.87,59.13,37.18
"Kimball County, Nebraska",31,022,31022,Kimball,45.44,45.49,47.47,45.44,45.49,47.47
"Morrill County, Nebraska",31,023,31023,Morrill,59.87,26.25,77.05,59.87,26.25,77.05
"Scotts Bluff County, Nebraska",31,024,31024,Scotts Bluff,3.14,12.93,59.54,3.14,12.93,59.54
"Sheridan County, Nebraska",31,025,31025,Sheridan,73.39,25.03,19.92,73.39,25.03,19.92
"Sioux County, Nebraska",31,026,31026,Sioux,34.16,71.21,4.93,34.16,71.21,4.93
"Blaine County, Nebraska",31,027,31027,Blaine,30.39,69.41,58.8,30.39,69.41,58.8
"Boyd County, Nebraska",31,028,31028,Boyd,42.84,92.95,24.11,42.84,92.95,24.11
"Brown County, Nebraska",31,029,31029,Brown,34.63,52.59,88.07,34.63,52.59,88.07
"Cherry County, Nebraska",31,030,31030,Cherry,90.62,26.81,69.43,90.62,26.81,69.43
"Custer County, Nebraska",31,031,31031,Custer,77.79,62.11,33.81,77.79,62.11,33.81
"Garfield County, Nebraska",31,032,31032,Garfield,32.22,25.5,28.25,32.22,25.5,28.25
"Grant County, Nebraska",31,033,31033,Grant,87.97,8.84,82.19,87.97,8.84,82.19
"Greeley County, Nebraska",31,034,31034,Greeley,91.09,63.25,64.71,91.09,63.25,64.71
"Holt County, Nebraska",31,035,31035,Holt,52.44,8.19,86.9,52.44,8.19,86.9
"Hooker County, Nebraska",31,036,31036,Hooker,70.85,86.88,60.17,70.85,86.88,60.17
"Keya Paha County, Nebraska",31,037,31037,Keya Paha,26.76,39.71,64.35,26.76,39.71,64.35
"Loup County, Nebraska",31,038,31038,Loup,32.51,60.48,35.51,32.51,60.48,35.51
"Rock County, Nebraska",31,039,31039,Rock,25.38,40.82,83.45,25.38,40.82,83.45
"Thomas County, Nebraska",31,040,31040,Thomas,51,3.13,92.09,51,3.13,92.09
"Valley County, Nebraska",31,041,31041,Valley,82.2,25.64,24.04,82.2,25.64,24.04
"Wheeler County, Nebraska",31,042,31042,Wheeler,38.12,91.04,81.33,38.12,91.04,81.33
"Dakota County, Nebraska",31,043,31043,Dakota,3.73,67.03,73.13,3.73,67.03,73.13
"Dixon County, Nebraska",31,044,31044,Dixon,69.86,10.61,66.11,69.86,10.61,66.11
"Butler County, Nebraska",31,045,31045,Butler,70.89,36.09,2.86,70.89,36.09,2.86
