NAME,S1101_C01_001E,S1101_C01_010E,state,county,county_fips,county_name
"Blaine County, Nebraska",231,27.3,31,009,31009,BLAINE
"Deuel County, Nebraska",822,25.2,31,049,31049,DEUEL
"Logan County, Nebraska",365,24.4,31,113,31113,LOGAN
"Thayer County, Nebraska",2341,24.2,31,169,31169,THAYER
"Adams County, Nebraska",12670,28.4,31,001,31001,ADAMS
"Boone County, Nebraska",2227,26.2,31,011,31011,BOONE
"Rock County, Nebraska",690,18.1,31,149,31149,ROCK
"Sherman County, Nebraska",1377,25.1,31,163,31163,SHERMAN
"Howard County, Nebraska",2560,26.2,31,093,31093,HOWARD
"Gosper County, Nebraska",789,21.8,31,073,31073,GOSPER
"Sarpy County, Nebraska",61983,40.8,31,153,31153,SARPY
"Boyd County, Nebraska",935,21.1,31,015,31015,BOYD
"Fillmore County, Nebraska",2464,25.3,31,059,31059,FILLMORE
"Hooker County, Nebraska",312,16.3,31,091,31091,HOOKER
"Seward County, Nebraska",6348,32.7,31,159,31159,SEWARD
"Webster County, Nebraska",1552,24.4,31,181,31181,WEBSTER
"Butler County, Nebraska",3577,29.4,31,023,31023,BUTLER
"Arthur County, Nebraska",180,33.9,31,005,31005,ARTHUR
"Gage County, Nebraska",9240,27.0,31,067,31067,GAGE
"Kearney County, Nebraska",2767,31.4,31,099,31099,KEARNEY
"Madison County, Nebraska",14007,30.8,31,119,31119,MADISON
"Phelps County, Nebraska",3728,30.7,31,137,31137,PHELPS
"Wayne County, Nebraska",3500,25.6,31,179,31179,WAYNE
"Knox County, Nebraska",3716,26.7,31,107,31107,KNOX
"Merrick County, Nebraska",3325,27.8,31,121,31121,MERRICK
"Pawnee County, Nebraska",1261,23.6,31,133,31133,PAWNEE
"Wheeler County, Nebraska",389,19.0,31,183,31183,WHEELER
"Harlan County, Nebraska",1555,23.1,31,083,31083,HARLAN
"York County, Nebraska",5604,27.8,31,185,31185,YORK
"Buffalo County, Nebraska",18352,31.5,31,019,31019,BUFFALO
"Colfax County, Nebraska",3634,40.0,31,037,31037,COLFAX
"Hitchcock County, Nebraska",1342,22.2,31,087,31087,HITCHCOCK
"Platte County, Nebraska",12707,30.3,31,141,31141,PLATTE
"Polk County, Nebraska",2179,29.0,31,143,31143,POLK
"Box Butte County, Nebraska",4805,29.4,31,013,31013,BOX BUTTE
"Brown County, Nebraska",1511,29.0,31,017,31017,BROWN
"Sheridan County, Nebraska",2259,25.3,31,161,31161,SHERIDAN
"Lancaster County, Nebraska",117667,30.0,31,109,31109,LANCASTER
"Nuckolls County, Nebraska",2068,23.7,31,129,31129,NUCKOLLS
"Banner County, Nebraska",339,23.9,31,007,31007,BANNER
"Richardson County, Nebraska",3761,25.0,31,147,31147,RICHARDSON
"Holt County, Nebraska",4520,27.3,31,089,31089,HOLT
"Furnas County, Nebraska",2276,24.0,31,065,31065,FURNAS
"Saline County, Nebraska",5104,32.1,31,151,31151,SALINE
"Thurston County, Nebraska",2084,41.6,31,173,31173,THURSTON
"Washington County, Nebraska",8034,31.0,31,177,31177,WASHINGTON
"Cherry County, Nebraska",2639,20.8,31,031,31031,CHERRY
"Dodge County, Nebraska",15110,30.5,31,053,31053,DODGE
"Garden County, Nebraska",845,18.1,31,069,31069,GARDEN
"Morrill County, Nebraska",1981,31.3,31,123,31123,MORRILL
"Nemaha County, Nebraska",2877,25.7,31,127,31127,NEMAHA
"Thomas County, Nebraska",300,27.7,31,171,31171,THOMAS
"Dakota County, Nebraska",7290,41.1,31,043,31043,DAKOTA
"Antelope County, Nebraska",2821,27.3,31,003,31003,ANTELOPE
