NAME,state,county,county_fips,county_name,S1101_C01_001E,S1101_C01_010E
"Madison County, Nebraska",31,001,31001,Madison,59.35,43.58
"Pierce County, Nebraska",31,002,31002,Pierce,76.47,61.24
"Platte County, Nebraska",31,003,31003,Platte,3.61,52.06
"Stanton County, Nebraska",31,004,31004,Stanton,43.81,29.29
"Antelope County, Nebraska",31,005,31005,Antelope,87.74,5.58
"Boone County, Nebraska",31,006,31006,Boone,80.46,54.24
"Burt County, Nebraska",31,007,31007,Burt,69.03,2.3
"Cedar County, Nebraska",31,008,31008,Cedar,60.48,34.45
"Colfax County, Nebraska",31,009,31009,Colfax,68.66,25.22
"Cuming County, Nebraska",31,010,31010,Cuming,64.82,97.07
"Dodge County, Nebraska",31,011,31011,Dodge,93.54,3.91
"Knox County, Nebraska",31,012,31012,Knox,84.19,3.04
"Nance County, Nebraska",31,013,31013,Nance,46.51,37.64
"Thurston County, Nebraska",31,014,31014,Thurston,95.01,83.68
"Wayne County, Nebraska",31,015,31015,Wayne,98.25,4.97
"Banner County, Nebraska",31,016,31016,Banner,63.35,81.48
"Box Butte County, Nebraska",31,017,31017,Box Butte,56.25,6.7
"Cheyenne County, Nebraska",31,018,31018,Cheyenne,43.02,80.67
"Dawes County, Nebraska",31,019,31019,Dawes,37.55,9.76
"Deuel County, Nebraska",31,020,31020,Deuel,98.12,84.7
"Garden County, Nebraska",31,021,31021,Garden,37.36,84
"Kimball County, Nebraska",31,022,31022,Kimball,83.37,13.03
"Morrill County, Nebraska",31,023,31023,Morrill,75.21,74.85
"Scotts Bluff County, Nebraska",31,024,31024,Scotts Bluff,10.79,80.45
"Sheridan County, Nebraska",31,025,31025,Sheridan,64.33,36.72
"Sioux County, Nebraska",31,026,31026,Sioux,2.95,63.37
"Blaine County, Nebraska",31,027,31027,Blaine,27.98,6.76
"Boyd County, Nebraska",31,028,31028,Boyd,44.82,69.56
"Brown County, Nebraska",31,029,31029,Brown,28.18,75.87
"Cherry County, Nebraska",31,030,31030,Cherry,52.97,6.33
"Custer County, Nebraska",31,031,31031,Custer,90.27,64.07
"Garfield County, Nebraska",31,032,31032,Garfield,63.9,74.94
"Grant County, Nebraska",31,033,31033,Grant,4.45,20.83
"Greeley County, Nebraska",31,034,31034,Greeley,18.26,38.99
"Holt County, Nebraska",31,035,31035,Holt,68.63,89.26
"Hooker County, Nebraska",31,036,31036,Hooker,10,53.84
"Keya Paha County, Nebraska",31,037,31037,Keya Paha,89.39,36.31
"Loup County, Nebraska",31,038,31038,Loup,96.32,54.68
"Rock County, Nebraska",31,039,31039,Rock,76.03,76.3
"Thomas County, Nebraska",31,040,31040,Thomas,81.1,86.62
"Valley County, Nebraska",31,041,31041,Valley,91.35,60.33
"Wheeler County, Nebraska",31,042,31042,Wheeler,58.76,16.67
"Dakota County, Nebraska",31,043,31043,Dakota,60.08,64.98
"Dixon County, Nebraska",31,044,31044,Dixon,92.86,2.7
"Butler County, Nebraska",31,045,31045,Butler,74.89,53.69
"Fillmore County, Nebraska",31,046,31046,Fillmore,92.65,91.48
"Gage County, Nebraska",31,047,31047,Gage,67.8,64.28
"Jefferson County, Nebraska",31,048,31048,Jefferson,47.49,17.46
"Johnson County, Nebraska",31,049,31049,Johnson,45.99,96.21
"Nemaha County, Nebraska",31,050,31050,Nemaha,46.03,47.35
"Otoe County, Nebraska",31,051,31051,Otoe,63.72,80.99
"Pawnee County, Nebraska",31,052,31052,Pawnee,47.45,62.62
"Polk County, Nebraska",31,053,31053,Polk,79,38.26
"Richardson County, Nebraska",31,054,31054,Richardson,90.54,37.7
"Saline County, Nebraska",31,055,31055,Saline,39.28,52.46
"Thayer County, Nebraska",31,056,31056,Thayer,82.61,84.41
"York County, Nebraska",31,057,31057,York,41.72,59.21
"Arthur County, Nebraska",31,058,31058,Arthur,11.82,80.86
"Chase County, Nebraska",31,059,31059,Chase,1.13,73.17
"Dawson County, Nebraska",31,060,31060,Dawson,34.54,1.02
"Dundy County, Nebraska",31,061,31061,Dundy,92.98,85.28
"Frontier County, Nebraska",31,062,31062,Frontier,69.53,22.5
"Furnas County, Nebraska",31,063,31063,Furnas,83.79,57.87
"Gosper County, Nebraska",31,064,31064,Gosper,76.51,39.49
"Hayes County, Nebraska",31,065,31065,Hayes,77.09,18.11
"Hitchcock County, Nebraska",31,066,31066,Hitchcock,76.59,68.3
"Keith County, Nebraska",31,067,31067,Keith,26.78,79.33
"Lincoln County, Nebraska",31,068,31068,Lincoln,40.65,31.86
"Logan County, Nebraska",31,069,31069,Logan,13.71,20.61
"Mcpherson County, Nebraska",31,070,31070,McPherson,52.38,47.01
"Perkins County, Nebraska",31,071,31071,Perkins,97.03,42.64
"Red Willow County, Nebraska",31,072,31072,Red Willow,71.38,26.14
"Adams County, Nebraska",31,073,31073,Adams,81.51,69.39
"Buffalo County, Nebraska",31,074,31074,Buffalo,68.07,59
"Clay County, Nebraska",31,075,31075,Clay,79.33,54.31
"Franklin County, Nebraska",31,076,31076,Franklin,78.53,22.7
"Hall County, Nebraska",31,077,31077,Hall,74.91,3.71
"Hamilton County, Nebraska",31,078,31078,Hamilton,24.12,11.88
"Harlan County, Nebraska",31,079,31079,Harlan,5.53,74.16
"Howard County, Nebraska",31,080,31080,Howard,87.06,79.69
"Kearney County, Nebraska",31,081,31081,Kearney,74.31,3.58
"Merrick County, Nebraska",31,082,31082,Merrick,78.99,30.02
"Nuckolls County, Nebraska",31,083,31083,Nuckolls,32.62,26.25
"Phelps County, Nebraska",31,084,31084,Phelps,68.75,45.66
"Sherman County, Nebraska",31,085,31085,Sherman,3.7,20.76
"Webster County, Nebraska",31,086,31086,Webster,10.61,85.06
