NAME,state,county,county_fips,county_name,DP03_0002PE
"Madison County, Nebraska",31,001,31001,Madison,83.03
"Pierce County, Nebraska",31,002,31002,Pierce,53.78
"Platte County, Nebraska",31,003,31003,Platte,24.62
"Stanton County, Nebraska",31,004,31004,Stanton,48.46
"Antelope County, Nebraska",31,005,31005,Antelope,35.86
"Boone County, Nebraska",31,006,31006,Boone,42.17
"Burt County, Nebraska",31,007,31007,Burt,72.67
"Cedar County, Nebraska",31,008,31008,Cedar,2.71
"Colfax County, Nebraska",31,009,31009,Colfax,67.21
"Cuming County, Nebraska",31,010,31010,Cuming,64.75
"Dodge County, Nebraska",31,011,31011,Dodge,33.01
"Knox County, Nebraska",31,012,31012,Knox,91.08
"Nance County, Nebraska",31,013,31013,Nance,54.62
"Thurston County, Nebraska",31,014,31014,Thurston,12.46
"Wayne County, Nebraska",31,015,31015,Wayne,51.85
"Banner County, Nebraska",31,016,31016,Banner,34.82
"Box Butte County, Nebraska",31,017,31017,Box Butte,59.72
"Cheyenne County, Nebraska",31,018,31018,Cheyenne,21.03
"Dawes County, Nebraska",31,019,31019,Dawes,40.03
"Deuel County, Nebraska",31,020,31020,Deuel,33.05
"Garden County, Nebraska",31,021,31021,Garden,45.68
"Kimball County, Nebraska",31,022,31022,Kimball,41.41
"Morrill County, Nebraska",31,023,31023,Morrill,85.16
"Scotts Bluff County, Nebraska",31,024,31024,Scotts Bluff,76.55
"Sheridan County, Nebraska",31,025,31025,Sheridan,82.27
"Sioux County, Nebraska",31,026,31026,Sioux,10.55
"Blaine County, Nebraska",31,027,31027,Blaine,10.66
"Boyd County, Nebraska",31,028,31028,Boyd,28.26
"Brown County, Nebraska",31,029,31029,Brown,21.49
"Cherry County, Nebraska",31,030,31030,Cherry,53.68
"Custer County, Nebraska",31,031,31031,Custer,90.98
"Garfield County, Nebraska",31,032,31032,Garfield,33.23
"Grant County, Nebraska",31,033,31033,Grant,10.74
"Greeley County, Nebraska",31,034,31034,Greeley,39.2
"Holt County, Nebraska",31,035,31035,Holt,28.48
"Hooker County, Nebraska",31,036,31036,Hooker,91.45
"Keya Paha County, Nebraska",31,037,31037,Keya Paha,23.38
"Loup County, Nebraska",31,038,31038,Loup,2.31
"Rock County, Nebraska",31,039,31039,Rock,36.64
"Thomas County, Nebraska",31,040,31040,Thomas,28.74
"Valley County, Nebraska",31,041,31041,Valley,9.56
"Wheeler County, Nebraska",31,042,31042,Wheeler,15.76
"Dakota County, Nebraska",31,043,31043,Dakota,73.32
"Dixon County, Nebraska",31,044,31044,Dixon,51.62
"Butler County, Nebraska",31,045,31045,Butler,47.52
"Fillmore County, Nebraska",31,046,31046,Fillmore,5.35
"Gage County, Nebraska",31,047,31047,Gage,39.17
"Jefferson County, Nebraska",31,048,31048,Jefferson,32.17
"Johnson County, Nebraska",31,049,31049,Johnson,43.98
"Nemaha County, Nebraska",31,050,31050,Nemaha,58.46
"Otoe County, Nebraska",31,051,31051,Otoe,77.64
"Pawnee County, Nebraska",31,052,31052,Pawnee,42.59
"Polk County, Nebraska",31,053,31053,Polk,89.27
"Richardson County, Nebraska",31,054,31054,Richardson,94.22
"Saline County, Nebraska",31,055,31055,Saline,84.69
"Thayer County, Nebraska",31,056,31056,Thayer,48.03
"York County, Nebraska",31,057,31057,York,96.24
"Arthur County, Nebraska",31,058,31058,Arthur,23.64
"Chase County, Nebraska",31,059,31059,Chase,47.24
"Dawson County, Nebraska",31,060,31060,Dawson,37.66
"Dundy County, Nebraska",31,061,31061,Dundy,94.17
"Frontier County, Nebraska",31,062,31062,Frontier,46.72
"Furnas County, Nebraska",31,063,31063,Furnas,35.65
"Gosper County, Nebraska",31,064,31064,Gosper,53.1
"Hayes County, Nebraska",31,065,31065,Hayes,77.59
"Hitchcock County, Nebraska",31,066,31066,Hitchcock,10.81
"Keith County, Nebraska",31,067,31067,Keith,60.95
"Lincoln County, Nebraska",31,068,31068,Lincoln,3.47
"Logan County, Nebraska",31,069,31069,Logan,7.16
"Mcpherson County, Nebraska",31,070,31070,McPherson,48.18
"Perkins County, Nebraska",31,071,31071,Perkins,69.11
"Red Willow County, Nebraska",31,072,31072,Red Willow,83.13
"Adams County, Nebraska",31,073,31073,Adams,59.52
"Buffalo County, Nebraska",31,074,31074,Buffalo,95.44
"Clay County, Nebraska",31,075,31075,Clay,44.07
"Franklin County, Nebraska",31,076,31076,Franklin,10.05
"Hall County, Nebraska",31,077,31077,Hall,80.01
"Hamilton County, Nebraska",31,078,31078,Hamilton,43.71
"Harlan County, Nebraska",31,079,31079,Harlan,88.33
"Howard County, Nebraska",31,080,31080,Howard,87.11
"Kearney County, Nebraska",31,081,31081,Kearney,21.81
"Merrick County, Nebraska",31,082,31082,Merrick,76.27
"Nuckolls County, Nebraska",31,083,31083,Nuckolls,14.12
"Phelps County, Nebraska",31,084,31084,Phelps,23.33
"Sherman County, Nebraska",31,085,31085,Sherman,16.02
"Webster County, Nebraska",31,086,31086,Webster,49.26
