NAME,S1701_C03_001E,state,county,county_fips,county_name
"Arthur County, Nebraska",12.5,31,005,31005,ARTHUR
"Boone County, Nebraska",6.2,31,011,31011,BOONE
"Brown County, Nebraska",9.7,31,017,31017,BROWN
"Butler County, Nebraska",8.0,31,023,31023,BUTLER
"Chase County, Nebraska",8.9,31,029,31029,CHASE
"Clay County, Nebraska",9.3,31,035,31035,CLAY
"Cuming County, Nebraska",4.9,31,039,31039,CUMING
"Dawes County, Nebraska",13.1,31,045,31045,DAWES
"Dixon County, Nebraska",10.1,31,051,31051,DIXON
"Dundy County, Nebraska",11.1,31,057,31057,DUNDY
"Frontier County, Nebraska",9.4,31,063,31063,FRONTIER
"Garden County, Nebraska",8.6,31,069,31069,GARDEN
"Grant County, Nebraska",17.4,31,075,31075,GRANT
"Hamilton County, Nebraska",3.5,31,081,31081,HAMILTON
"Hitchcock County, Nebraska",12.3,31,087,31087,HITCHCOCK
"Howard County, Nebraska",6.1,31,093,31093,HOWARD
"Kearney County, Nebraska",10.0,31,099,31099,KEARNEY
"Kimball County, Nebraska",12.0,31,105,31105,KIMBALL
"Lincoln County, Nebraska",9.5,31,111,31111,LINCOLN
"McPherson County, Nebraska",13.6,31,117,31117,MCPHERSON
"Morrill County, Nebraska",9.7,31,123,31123,MORRILL
"Nemaha County, Nebraska",14.8,31,127,31127,NEMAHA
"Valley County, Nebraska",9.2,31,175,31175,VALLEY
"Wayne County, Nebraska",11.8,31,179,31179,WAYNE
"York County, Nebraska",8.6,31,185,31185,YORK
"Adams County, Nebraska",12.2,31,001,31001,ADAMS
"Antelope County, Nebraska",10.8,31,003,31003,ANTELOPE
"Banner County, Nebraska",3.4,31,007,31007,BANNER
"Blaine County, Nebraska",4.1,31,009,31009,BLAINE
"Box Butte County, Nebraska",12.8,31,013,31013,BOX BUTTE
"Boyd County, Nebraska",10.0,31,015,31015,BOYD
"Buffalo County, Nebraska",11.9,31,019,31019,BUFFALO
"Burt County, Nebraska",12.7,31,021,31021,BURT
"Cass County, Nebraska",6.4,31,025,31025,CASS
"Cedar County, Nebraska",6.8,31,027,31027,CEDAR
"Cherry County, Nebraska",9.8,31,031,31031,CHERRY
"Cheyenne County, Nebraska",11.0,31,033,31033,CHEYENNE
"Colfax County, Nebraska",11.8,31,037,31037,COLFAX
"Custer County, Nebraska",12.2,31,041,31041,CUSTER
"Dakota County, Nebraska",14.1,31,043,31043,DAKOTA
"Dawson County, Nebraska",11.8,31,047,31047,DAWSON
"Deuel County, Nebraska",8.2,31,049,31049,DEUEL
"Dodge County, Nebraska",11.2,31,053,31053,DODGE
"Douglas County, Nebraska",10.7,31,055,31055,DOUGLAS
"Fillmore County, Nebraska",7.0,31,059,31059,FILLMORE
"Franklin County, Nebraska",16.1,31,061,31061,FRANKLIN
"Furnas County, Nebraska",8.8,31,065,31065,FURNAS
"Gage County, Nebraska",13.2,31,067,31067,GAGE
"Garfield County, Nebraska",8.6,31,071,31071,GARFIELD
"Gosper County, Nebraska",5.1,31,073,31073,GOSPER
"Greeley County, Nebraska",13.7,31,077,31077,GREELEY
"Hall County, Nebraska",11.2,31,079,31079,HALL
"Harlan County, Nebraska",10.2,31,083,31083,HARLAN
"Hayes County, Nebraska",13.9,31,085,31085,HAYES
"Holt County, Nebraska",6.5,31,089,31089,HOLT
"Hooker County, Nebraska",11.5,31,091,31091,HOOKER
"Jefferson County, Nebraska",10.7,31,095,31095,JEFFERSON
"Johnson County, Nebraska",7.2,31,097,31097,JOHNSON
"Keith County, Nebraska",15.3,31,101,31101,KEITH
"Keya Paha County, Nebraska",7.0,31,103,31103,KEYA PAHA
"Knox County, Nebraska",9.5,31,107,31107,KNOX
"Lancaster County, Nebraska",11.9,31,109,31109,LANCASTER
"Logan County, Nebraska",11.0,31,113,31113,LOGAN
"Loup County, Nebraska",8.8,31,115,31115,LOUP
"Madison County, Nebraska",14.3,31,119,31119,MADISON
"Merrick County, Nebraska",12.2,31,121,31121,MERRICK
"Nance County, Nebraska",11.9,31,125,31125,NANCE
"Nuckolls County, Nebraska",9.0,31,129,31129,NUCKOLLS
"Otoe County, Nebraska",11.8,31,131,31131,OTOE
"Pawnee County, Nebraska",20.2,31,133,31133,PAWNEE
"Perkins County, Nebraska",6.7,31,135,31135,PERKINS
"Phelps County, Nebraska",11.5,31,137,31137,PHELPS
"Pierce County, Nebraska",8.6,31,139,31139,PIERCE
"Platte County, Nebraska",7.7,31,141,31141,PLATTE
"Polk County, Nebraska",9.2,31,143,31143,POLK
"Red Willow County, Nebraska",10.0,31,145,31145,RED WILLOW
"Richardson County, Nebraska",12.2,31,147,31147,RICHARDSON
"Rock County, Nebraska",6.3,31,149,31149,ROCK
"Saline County, Nebraska",12.4,31,151,31151,SALINE
"Sarpy County, Nebraska",5.6,31,153,31153,SARPY
"Saunders County, Nebraska",6.2,31,155,31155,SAUNDERS
"Scotts Bluff County, Nebraska",13.0,31,157,31157,SCOTTS BLUFF
"Seward County, Nebraska",7.2,31,159,31159,SEWARD
"Sheridan County, Nebraska",19.0,31,161,31161,SHERIDAN
"Sherman County, Nebraska",10.1,31,163,31163,SHERMAN
"Sioux County, Nebraska",8.1,31,165,31165,SIOUX
"Stanton County, Nebraska",6.2,31,167,31167,STANTON
"Thayer County, Nebraska",10.5,31,169,31169,THAYER
"Thomas County, Nebraska",11.1,31,171,31171,THOMAS
"Thurston County, Nebraska",21.2,31,173,31173,THURSTON
"Washington County, Nebraska",7.4,31,177,31177,WASHINGTON
