NAME,state,county,county_fips,county_name,B08128_001E,B08128_061E,B08128_064E,B08128_069E,B08128_070E
"Madison County, Nebraska",31,001,31001,Madison,54.75,91.49,10.03,25.59,95.34
"Pierce County, Nebraska",31,002,31002,Pierce,74.4,73.61,92.46,51.87,31.74
"Platte County, Nebraska",31,003,31003,Platte,82.29,9.51,62.17,32.63,75.45
"Stanton County, Nebraska",31,004,31004,Stanton,65.54,27.36,7.8,88.23,99.55
"Antelope County, Nebraska",31,005,31005,Antelope,40.85,91.68,51.5,6.48,99.38
"Boone County, Nebraska",31,006,31006,Boone,83.95,32.1,79.14,19.75,75.85
"Burt County, Nebraska",31,007,31007,Burt,34.57,83.6,82.17,74.55,93.81
"Cedar County, Nebraska",31,008,31008,Cedar,81.53,77.5,74.28,85.92,49.57
"Colfax County, Nebraska",31,009,31009,Colfax,25.62,32.17,89.09,35.67,41.41
"Cuming County, Nebraska",31,010,31010,Cuming,69.57,85.24,67.02,14.67,72.07
"Dodge County, Nebraska",31,011,31011,Dodge,5.49,17.86,93.73,30.24,4.01
"Knox County, Nebraska",31,012,31012,Knox,42.24,41.9,68.34,63.14,55.91
"Nance County, Nebraska",31,013,31013,Nance,83.85,85.59,98.81,97.14,56.16
"Thurston County, Nebraska",31,014,31014,Thurston,5.62,21.34,68.26,40.5,97.35
"Wayne County, Nebraska",31,015,31015,Wayne,68.62,70.86,91.77,50.38,65.37
"Banner County, Nebraska",31,016,31016,Banner,7.05,68.23,62.64,66.4,42.32
"Box Butte County, Nebraska",31,017,31017,Box Butte,36.59,34.79,63.98,63.41,11.52
"Cheyenne County, Nebraska",31,018,31018,Cheyenne,3.89,61.73,68.07,6.91,23.25
"Dawes County, Nebraska",31,019,31019,Dawes,16.27,83.84,75.19,26.23,36
"Deuel County, Nebraska",31,020,31020,Deuel,73.28,86.24,83.29,61.11,59.46
"Garden County, Nebraska",31,021,31021,Garden,91.55,10.86,18.84,89.68,22.54
"Kimball County, Nebraska",31,022,31022,Kimball,95.17,50.11,8.2,46.77,82.55
"Morrill County, Nebraska",31,023,31023,Morrill,57.15,63.4,23.33,38.96,15.96
"Scotts Bluff County, Nebraska",31,024,31024,Scotts Bluff,95.19,83.77,45.68,91.29,63.33
"Sheridan County, Nebraska",31,025,31025,Sheridan,48.18,57.6,73.47,71.2,40.17
