region_key,region_name,state_name,employment_2020,employment_2022,employment_growth_pct,private_employment_2022,wage_growth_pct,avg_annual_pay_2022,hh_children_growth_pct,dir_income_growth_pct
13_1,Northwest Georgia Regional Commission,Georgia,37543536,43144752,14.919255341318943,239804,12.066157558184424,48727.21766525996,1.039969035202086,11.167554160044906
13_10,Southwest Georgia Regional Commission,Georgia,14490028,15908145,9.786847892909524,100336,11.83350982947114,47573.5334376495,0.9809547230647321,6.038057517406207
13_11,Southern Georgia Regional Commission,Georgia,15822198,17200262,8.709687490954163,113392,12.429488105746419,42589.58123148017,-2.131213097786455,3.9877381905576597
13_12,Coastal Regional Commission of Georgia,Georgia,34000520,38730662,13.911969581641692,244995,11.859429154630199,51385.31346354007,-4.15339217632005,13.692845275348622
13_2,Georgia Mountains Regional Commission,Georgia,21781899,26033930,19.520938004533033,157041,13.186067576223307,52256.41540744137,-1.5570398549121953,13.419125897532128
13_3,Atlanta Regional Commission,Georgia,305275533,344770975,12.937637553809465,2193329,10.314240652829298,77042.29639693817,1.68356487824654,21.63162855477964
13_4,Three Rivers Regional Commission,Georgia,23447874,27003055,15.162061174501366,152598,12.540300249738479,50207.01870928846,-0.5773566231052623,14.534341349968665
13_5,Northeast Georgia Regional Commission,Georgia,29137761,35202200,20.812989028223548,188432,10.308106093491173,48996.364449774985,10.778309409888358,17.561739823294587
13_6,Middle Georgia Regional Commission,Georgia,22155630,24449855,10.355042939424425,150695,9.451009315724747,47659.3630445602,2.7423158237111727,16.66176502522893
13_7,Central Savannah River Area Regional Commission,Georgia,22230102,23978198,7.863643630605023,142931,6.001225603670016,52553.7963982621,-0.49015298048180056,1.4042844128879195
13_8,River Valley Regional Commission,Georgia,15911241,17326374,8.893919713742001,105891,7.42643922707491,49310.98935698029,-4.026041666666667,14.778929535153829
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,10519935,11470880,9.039456992842636,66644,9.250720385800584,43009.20429446012,-5.094441811657979,0.6461361755463989
21_1,Barren River Area Development District,Kentucky,12476393,14181627,13.667684241751601,102710,11.42149245980286,49715.55975075455,4.518165501021229,17.279990062857348
21_10,Kentucky River Area Development District,Kentucky,3898026,4242380,8.834061137611704,19087,16.26879659053273,45128.40210614554,-12.935412026726059,3.6797512958352874
21_11,Lake Cumberland Area Development District,Kentucky,8123006,9084383,11.835236856897557,55276,12.873406013576725,41429.24301686084,-6.734512029264176,-2.0168917547291394
21_12,Lincoln Trail Area Development District,Kentucky,12562775,14048952,11.830005711317762,75956,12.039478341721024,48417.47747380062,-6.011792996672925,12.431275464894705
21_13,Northern Kentucky Area Development District,Kentucky,25629465,29161485,13.781091411779373,201314,8.826661929605052,60349.29117199996,1.9349411104879417,26.390657806495998
21_14,Pennyrile Area Development District,Kentucky,8771567,9680714,10.364704504907731,59112,11.07146361390793,48111.86674448504,-2.0577032529223764,7.885484154517846
21_15,Purchase Area Development District,Kentucky,7596939,8808765,15.951503625341735,61925,8.973216796086165,48214.80085587404,0.582692784527647,8.933104319606272
21_2,Big Sandy Area Development District,Kentucky,5365968,5678620,5.826572204679565,31524,11.409261529783823,47576.431607664,-13.051247686514774,-2.0761871288902105
21_3,Bluegrass Area Development District,Kentucky,40574799,45353297,11.777009665531553,306374,10.317479852771028,54224.2672517903,0.8160710352742068,10.118884860492065
21_4,Buffalo Trace Area Development District,Kentucky,2243416,2444785,8.97599910137041,11543,9.579873861658816,47242.43680152473,-14.326784858648779,13.294220975831491
21_5,Cumberland Valley Area Development District,Kentucky,8405030,9038447,7.536165843548447,58514,12.956584056707248,42230.322692005335,-6.767438070404172,-2.891052321405551
21_6,FIVCO Area Development District,Kentucky,5325579,5743321,7.8440672835761145,34752,5.322586499967198,50997.32021178637,-4.757643549589859,0.552658862117579
21_7,Gateway Area Development District,Kentucky,3059324,3375213,10.325450981981641,21857,13.381906381090388,45341.48895090818,1.7130620985010707,12.545949442942195
21_8,Green River Area Development District,Kentucky,9521871,10820162,13.63483080163552,72769,9.526221780949,52277.23044153417,-0.4211235576518151,11.19544922755823
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,57125311,64559170,13.013249065724999,486898,8.999627673513514,64241.320541468645,3.5156061206538234,29.530138326484174
24_1,Tri-County Council for Western Maryland,Maryland,12070049,13001958,7.720838581516944,85570,7.513007464791256,47898.44561177983,5.620608899297424,8.522003787003765
24_2,Mid-Shore Regional Council,Maryland,6138617,7189722,17.12283076139137,32778,9.531404450604983,49217.50973213741,-3.9538714991762767,29.513769110988953
