region_key,region_name,state_name,broadband_access,has_interstate,college_count,weekly_wage,income_tax_rate,oz_tract_count
13_1,Northwest Georgia Regional Commission,Georgia,99.99657481445522,1,7.0,884.2,5.39,5
13_10,Southwest Georgia Regional Commission,Georgia,99.99945798868924,0,4.0,853.4285714285714,5.39,30
13_11,Southern Georgia Regional Commission,Georgia,99.99858045672131,1,5.0,834.7777777777778,5.39,29
13_12,Coastal Regional Commission of Georgia,Georgia,100.0,1,9.0,842.5,5.39,19
13_2,Georgia Mountains Regional Commission,Georgia,99.99921443038893,1,10.0,842.9166666666666,5.39,3
13_3,Atlanta Regional Commission,Georgia,99.99819081935743,1,46.0,1208.4545454545455,5.39,52
13_4,Three Rivers Regional Commission,Georgia,100.0,1,5.0,947.2,5.39,15
13_5,Northeast Georgia Regional Commission,Georgia,99.9964574562983,1,3.0,919.75,5.39,6
13_6,Middle Georgia Regional Commission,Georgia,100.0,1,9.0,852.0909090909091,5.39,24
13_7,Central Savannah River Area Regional Commission,Georgia,100.0,1,5.0,952.6153846153846,5.39,27
13_8,River Valley Regional Commission,Georgia,99.99948239091911,1,6.0,878.875,5.39,32
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,100.0,1,3.0,795.7647058823529,5.39,18
21_1,Barren River Area Development District,Kentucky,100.0,1,2.0,882.0,4.0,8
21_10,Kentucky River Area Development District,Kentucky,100.0,0,4.0,782.375,4.0,12
21_11,Lake Cumberland Area Development District,Kentucky,99.99916274283346,0,3.0,762.3,4.0,11
21_12,Lincoln Trail Area Development District,Kentucky,99.99272669207608,1,1.0,914.125,4.0,1
21_13,Northern Kentucky Area Development District,Kentucky,100.0,1,5.0,1141.0,4.0,11
21_14,Pennyrile Area Development District,Kentucky,99.99562133862511,1,3.0,859.7777777777778,4.0,5
21_15,Purchase Area Development District,Kentucky,99.99893900711922,1,2.0,826.0,4.0,8
21_2,Big Sandy Area Development District,Kentucky,100.0,0,4.0,810.8,4.0,14
21_3,Bluegrass Area Development District,Kentucky,99.99033502413694,1,14.0,933.8823529411765,4.0,20
21_4,Buffalo Trace Area Development District,Kentucky,100.0,0,1.0,855.2,4.0,5
21_5,Cumberland Valley Area Development District,Kentucky,100.0,1,4.0,786.875,4.0,8
21_6,FIVCO Area Development District,Kentucky,99.99715254802244,1,2.0,831.6,4.0,5
21_7,Gateway Area Development District,Kentucky,99.9954859158737,1,1.0,833.8,4.0,8
21_8,Green River Area Development District,Kentucky,99.99912469048449,1,4.0,1042.0,4.0,7
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,99.99762519091445,1,11.0,1036.142857142857,4.0,21
24_1,Tri-County Council for Western Maryland,Maryland,99.99387957254991,1,4.0,867.6666666666666,5.75,12
24_2,Mid-Shore Regional Council,Maryland,100.0,0,,945.3333333333334,5.75,6
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,100.0,0,3.0,902.0,5.75,13
24_4,Upper Shore Regional Council,Maryland,98.58760188511941,1,3.0,963.6666666666666,5.75,5
24_5,Tri-County Council for Southern Maryland,Maryland,100.0,0,2.0,1124.0,5.75,7
37_1,Southwestern Commission,North Carolina,99.96078122690865,1,4.0,792.1428571428571,4.5,7
37_10,Upper Coastal Plain Council of Governments,North Carolina,99.99342562182336,1,6.0,879.6,4.5,13
37_11,Mid-Carolina Council of Governments,North Carolina,99.99725096454624,1,9.0,833.0,4.5,14
37_12,Lumber River Council of Governments,North Carolina,100.0,1,5.0,818.6,4.5,12
37_13,Cape Fear Council of Governments,North Carolina,100.0,1,5.0,887.5,4.5,12
37_14,Eastern Carolina Council of Governments,North Carolina,99.99945487558533,1,9.0,797.7777777777778,4.5,17
37_15,Albemarle Commission,North Carolina,99.99921047296974,0,3.0,809.2,4.5,11
37_16,Mid-East Commission,North Carolina,99.99389357448615,0,6.0,815.2,4.5,9
37_2,Land of Sky Regional Council,North Carolina,99.97870166219742,1,9.0,900.0,4.5,8
37_3,Isothermal Planning & Development Commission,North Carolina,99.9908655422361,1,4.0,837.5,4.5,8
37_4,High Country Council of Governments,North Carolina,100.0,0,5.0,805.4285714285714,4.5,9
37_5,Western Piedmont Council of Governments,North Carolina,99.99896461962354,1,4.0,900.0,4.5,10
37_6,Centralina Regional Council,North Carolina,99.99964809698368,1,23.0,1032.888888888889,4.5,42
37_7,Piedmont Triad Council of Governments,North Carolina,99.99955567557288,1,23.0,914.8333333333334,4.5,43
37_8,Triangle J Council of Governments,North Carolina,99.99922946088684,1,21.0,1158.2857142857142,4.5,30
37_9,Kerr-Tar Council of Governments,North Carolina,100.0,1,3.0,862.0,4.5,7
