region_code,region_name,state,bachelors_attainment_rate
DC-1,District of Columbia,DC,25.77
KY-1,Northern Kentucky,KY,20.95543829918825
KY-10,East Central,KY,9.058680430465104
KY-2,Bluegrass,KY,20.15433551352835
KY-3,Louisville Metro,KY,19.967529083589994
KY-4,Eastern Mountains,KY,7.234375195834638
KY-5,Northeast,KY,9.616529509807648
KY-6,South Central,KY,12.036575824850736
KY-7,Pennyrile,KY,9.84732973725025
KY-8,Purchase,KY,14.547664326880449
KY-9,Western,KY,12.283708795967247
MD-1,Western Maryland,MD,13.117223948832285
MD-2,Central Maryland,MD,22.71092549633111
MD-3,Capital Region,MD,23.918201980371762
MD-4,Southern Maryland,MD,22.761905117979396
MD-5,Upper Eastern Shore,MD,18.37609890204794
MD-6,Lower Eastern Shore,MD,16.34571285977986
NC-1,Western Mountains,NC,17.53344907927741
NC-10,Coast,NC,21.23445738095987
NC-2,Asheville Metro,NC,24.246820753107777
NC-3,Western Piedmont,NC,13.978245014933062
NC-4,Charlotte Metro,NC,25.92610421109241
NC-5,Triad,NC,19.07135482183398
NC-6,Triangle,NC,29.350200188228214
NC-7,Sandhills,NC,16.268284401294014
NC-8,Eastern Piedmont,NC,15.092866589324522
NC-9,Coastal Plain,NC,13.152525371892064
TN-1,First Tennessee,TN,15.215902788187677
TN-2,Knoxville Metro,TN,16.737149602987042
TN-3,Southeast Tennessee,TN,17.32246261978784
TN-4,Upper Cumberland,TN,11.464864946069707
TN-5,Nashville Metro,TN,25.200453718510197
TN-6,South Central,TN,13.464533134648356
TN-7,Northwest Tennessee,TN,11.591404390447504
TN-8,Memphis Metro,TN,20.04157389402231
TN-9,Southern Middle Tennessee,TN,9.098931489424158
VA-1,Southwest Virginia,VA,9.071639559596198
VA-10,Hampton Roads,VA,20.94412390712765
VA-11,Eastern Shore,VA,13.618487164179104
VA-2,New River Valley & Highlands,VA,14.888181825434499
VA-3,Southside & Danville,VA,11.540173772616393
VA-4,Roanoke Valley & Alleghany Highlands,VA,18.87916340654714
VA-5,Shenandoah Valley,VA,16.276534458339437
VA-6,Charlottesville-Central Virginia,VA,20.73082609586792
VA-7,Richmond Metro,VA,23.86884507127417
VA-8,Northern Virginia,VA,30.919186648879403
VA-9,Rappahannock,VA,17.393796325185356
WV-1,Northern Panhandle,WV,14.822970662212812
WV-2,North Central,WV,16.000382551867812
WV-3,Eastern Panhandle,WV,14.728670145254547
WV-4,Central,WV,13.59272556272272
WV-5,Western,WV,14.49601318909374
WV-6,Southern Coalfields,WV,9.8490789724137
WV-7,Randolph-Pocahontas,WV,11.357511214988502
