region_code,total_weight,dependency_ratio,num_counties,region_name,state
DC-1,670587,0.4039,1,District of Columbia,DC
KY-1,477272,0.533142081035552,9,Northern Kentucky,KY
KY-10,154727,0.5738278755485469,4,East Central,KY
KY-2,805409,0.5068415936499344,15,Bluegrass,KY
KY-3,1068385,0.5349317089813129,8,Louisville Metro,KY
KY-4,429639,0.5687447869024925,21,Eastern Mountains,KY
KY-5,267313,0.5821282545181118,14,Northeast,KY
KY-6,594761,0.5569519391822934,22,South Central,KY
KY-7,264096,0.6004333836938083,12,Pennyrile,KY
KY-8,196820,0.5951455654913118,8,Purchase,KY
KY-9,244513,0.5789821436897015,7,Western,KY
MD-1,251662,0.5540036477497596,3,Western Maryland,MD
MD-2,2201580,0.5211078665322177,5,Central Maryland,MD
MD-3,2287928,0.51276438078471,3,Capital Region,MD
MD-4,962202,0.5065680592017061,4,Southern Maryland,MD
MD-5,244464,0.5979410547156228,5,Upper Eastern Shore,MD
MD-6,213871,0.5816263658934592,4,Lower Eastern Shore,MD
NC-1,390909,0.621019945562778,14,Western Mountains,NC
NC-10,876002,0.5756705338572287,15,Coast,NC
NC-2,385918,0.5950673192232546,2,Asheville Metro,NC
NC-3,868161,0.5867915553681864,13,Western Piedmont,NC
NC-4,2208509,0.48465282170007,7,Charlotte Metro,NC
NC-5,1610658,0.5391350806316424,9,Triad,NC
NC-6,1911144,0.47566452287216454,9,Triangle,NC
NC-7,812266,0.5561804716681481,9,Sandhills,NC
NC-8,647204,0.5675638029122193,8,Eastern Piedmont,NC
NC-9,759443,0.5791901019563022,14,Coastal Plain,NC
TN-1,518378,0.5714642830135538,8,First Tennessee,TN
TN-2,1262694,0.5582989605557641,16,Knoxville Metro,TN
TN-3,709337,0.5556232345133555,11,Southeast Tennessee,TN
TN-4,373741,0.6072882648679165,15,Upper Cumberland,TN
TN-5,2105705,0.48150571134133224,13,Nashville Metro,TN
TN-6,382868,0.5793012291442481,10,South Central,TN
TN-7,516321,0.5796794099019796,16,Northwest Tennessee,TN
TN-8,968668,0.5423829898375914,2,Memphis Metro,TN
TN-9,86060,0.5534989530560074,4,Southern Middle Tennessee,TN
VA-1,184086,0.5984768233325729,8,Southwest Virginia,VA
VA-10,1746362,0.510504111289641,16,Hampton Roads,VA
VA-11,45499,0.7308388536011782,2,Eastern Shore,VA
VA-2,368341,0.5271789282214036,13,New River Valley & Highlands,VA
VA-3,409220,0.6210216477689263,16,Southside & Danville,VA
VA-4,321586,0.5941688095874821,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,0.5579399108391022,12,Shenandoah Valley,VA
VA-6,589168,0.5515970028922141,14,Charlottesville-Central Virginia,VA
VA-7,1431547,0.5119547395230475,16,Richmond Metro,VA
VA-8,2770137,0.47432320495340125,11,Northern Virginia,VA
VA-9,251392,0.6135353873631619,14,Rappahannock,VA
WV-1,138420,0.6309291272937436,5,Northern Panhandle,WV
WV-2,308973,0.49923135257773327,8,North Central,WV
WV-3,280234,0.5612936599413347,8,Eastern Panhandle,WV
WV-4,307182,0.6122684551829208,11,Central,WV
WV-5,313405,0.590456045053525,8,Western,WV
WV-6,408808,0.6377777719614097,13,Southern Coalfields,WV
WV-7,35945,0.6193812491306162,2,Randolph-Pocahontas,WV
