region_code,total_weight,gini_coefficient,num_counties,region_name,state
DC-1,670587,0.5171,1,District of Columbia,DC
KY-1,477272,0.4388683038183677,9,Northern Kentucky,KY
KY-10,154727,0.47256628901226033,4,East Central,KY
KY-2,805409,0.4649650039917607,15,Bluegrass,KY
KY-3,1068385,0.4634195189936212,8,Louisville Metro,KY
KY-4,429639,0.48547770127944617,21,Eastern Mountains,KY
KY-5,267313,0.4798521467343526,14,Northeast,KY
KY-6,594761,0.46307763975781874,22,South Central,KY
KY-7,264096,0.4545458060705198,12,Pennyrile,KY
KY-8,196820,0.4819546062392033,8,Purchase,KY
KY-9,244513,0.446937198022191,7,Western,KY
MD-1,251662,0.44921852166795145,3,Western Maryland,MD
MD-2,2201580,0.45514875471252464,5,Central Maryland,MD
MD-3,2287928,0.43449333663471923,3,Capital Region,MD
MD-4,962202,0.4080386042639695,4,Southern Maryland,MD
MD-5,244464,0.44509185278814056,5,Upper Eastern Shore,MD
MD-6,213871,0.4650631745304412,4,Lower Eastern Shore,MD
NC-1,390909,0.46798158983292787,14,Western Mountains,NC
NC-10,876002,0.4441947317471878,15,Coast,NC
NC-2,385918,0.4714875196285221,2,Asheville Metro,NC
NC-3,868161,0.45785885682494376,13,Western Piedmont,NC
NC-4,2208509,0.47155064638631766,7,Charlotte Metro,NC
NC-5,1610658,0.46453259034506394,9,Triad,NC
NC-6,1911144,0.4582976414126827,9,Triangle,NC
NC-7,812266,0.45066353768346823,9,Sandhills,NC
NC-8,647204,0.45309575605218755,8,Eastern Piedmont,NC
NC-9,759443,0.47292303016816273,14,Coastal Plain,NC
TN-1,518378,0.4705604406437002,8,First Tennessee,TN
TN-2,1262694,0.45885750617330884,16,Knoxville Metro,TN
TN-3,709337,0.46514246740265913,11,Southeast Tennessee,TN
TN-4,373741,0.44597735356838025,15,Upper Cumberland,TN
TN-5,2105705,0.44455345064954493,13,Nashville Metro,TN
TN-6,382868,0.43534453075211305,10,South Central,TN
TN-7,516321,0.46296989682774864,16,Northwest Tennessee,TN
TN-8,968668,0.5098953176939881,2,Memphis Metro,TN
TN-9,86060,0.44021646293283756,4,Southern Middle Tennessee,TN
VA-1,184086,0.4641861564703454,8,Southwest Virginia,VA
VA-10,1746362,0.4374949836288238,16,Hampton Roads,VA
VA-11,45499,0.46507221037825003,2,Eastern Shore,VA
VA-2,368341,0.4666604969308331,13,New River Valley & Highlands,VA
VA-3,409220,0.45856722814134204,16,Southside & Danville,VA
VA-4,321586,0.46082253860553635,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,0.4274155487378074,12,Shenandoah Valley,VA
VA-6,589168,0.45471799995926465,14,Charlottesville-Central Virginia,VA
VA-7,1431547,0.4453871848426912,16,Richmond Metro,VA
VA-8,2770137,0.4175918506196625,11,Northern Virginia,VA
VA-9,251392,0.43082056310463346,14,Rappahannock,VA
WV-1,138420,0.46752193974859124,5,Northern Panhandle,WV
WV-2,308973,0.46256613490499177,8,North Central,WV
WV-3,280234,0.41801464954288203,8,Eastern Panhandle,WV
WV-4,307182,0.47867872499039665,11,Central,WV
WV-5,313405,0.4746212925766979,8,Western,WV
WV-6,408808,0.46992852512670985,13,Southern Coalfields,WV
WV-7,35945,0.44351969675893727,2,Randolph-Pocahontas,WV
