region_code,region_name,state,hs_attainment_rate
DC-1,District of Columbia,DC,15.03
KY-1,Northern Kentucky,KY,30.36823761886355
KY-10,East Central,KY,38.363278093390605
KY-2,Bluegrass,KY,27.339531759086896
KY-3,Louisville Metro,KY,27.86290915599503
KY-4,Eastern Mountains,KY,38.76304372029147
KY-5,Northeast,KY,38.12767922776653
KY-6,South Central,KY,36.48857980688877
KY-7,Pennyrile,KY,39.3528654433902
KY-8,Purchase,KY,35.17916676518398
KY-9,Western,KY,37.46505969694617
MD-1,Western Maryland,MD,38.15670731707317
MD-2,Central Maryland,MD,24.146104103527502
MD-3,Capital Region,MD,19.408805018450746
MD-4,Southern Maryland,MD,24.865426402610353
MD-5,Upper Eastern Shore,MD,32.83528749992803
MD-6,Lower Eastern Shore,MD,33.60909126956997
NC-1,Western Mountains,NC,28.64110554502995
NC-10,Coast,NC,25.79859472801588
NC-2,Asheville Metro,NC,23.77999777207646
NC-3,Western Piedmont,NC,32.022901151979134
NC-4,Charlotte Metro,NC,21.904647151445747
NC-5,Triad,NC,27.613948033506894
NC-6,Triangle,NC,17.34478509588738
NC-7,Sandhills,NC,27.679760112287862
NC-8,Eastern Piedmont,NC,31.432319766797605
NC-9,Coastal Plain,NC,31.048081217536737
TN-1,First Tennessee,TN,35.305970565560955
TN-2,Knoxville Metro,TN,33.107245718343556
TN-3,Southeast Tennessee,TN,30.342206518540465
TN-4,Upper Cumberland,TN,41.58852684344241
TN-5,Nashville Metro,TN,25.326497523721883
TN-6,South Central,TN,38.90773411692256
TN-7,Northwest Tennessee,TN,41.27163888794883
TN-8,Memphis Metro,TN,27.839671666887224
TN-9,Southern Middle Tennessee,TN,42.998739705474655
VA-1,Southwest Virginia,VA,37.805136224098234
VA-10,Hampton Roads,VA,24.56567525667577
VA-11,Eastern Shore,VA,32.4901719402985
VA-2,New River Valley & Highlands,VA,33.12192703367891
VA-3,Southside & Danville,VA,36.334391812805976
VA-4,Roanoke Valley & Alleghany Highlands,VA,32.29747149222834
VA-5,Shenandoah Valley,VA,34.86418427002445
VA-6,Charlottesville-Central Virginia,VA,27.596337821920073
VA-7,Richmond Metro,VA,24.531171214205454
VA-8,Northern Virginia,VA,13.982044039487727
VA-9,Rappahannock,VA,32.50740318014987
WV-1,Northern Panhandle,WV,39.33894389931105
WV-2,North Central,WV,36.75052148435642
WV-3,Eastern Panhandle,WV,38.65375788222495
WV-4,Central,WV,41.34668325138707
WV-5,Western,WV,36.16326191137184
WV-6,Southern Coalfields,WV,42.30361966526628
WV-7,Randolph-Pocahontas,WV,49.651499227202464
