region_code,total_weight,income_stability_cv,num_counties,region_name,state
DC-1,49750036.8,21.143107982805777,1,District of Columbia,DC
KY-1,21231022.2,20.769518861608557,9,Northern Kentucky,KY
KY-10,5010994.266666667,17.655181609085368,4,East Central,KY
KY-2,32476387.266666666,19.227451987964102,15,Bluegrass,KY
KY-3,48748102.46666667,20.01831369613484,8,Louisville Metro,KY
KY-4,13875396.0,11.834364267809992,21,Eastern Mountains,KY
KY-5,8742133.6,14.650045063720253,14,Northeast,KY
KY-6,20119919.666666668,18.97628076040391,22,South Central,KY
KY-7,9533891.133333333,13.015202557651003,12,Pennyrile,KY
KY-8,7771301.866666666,16.273925780051997,8,Purchase,KY
KY-9,9089370.266666668,16.037952364505532,7,Western,KY
MD-1,10255536.133333333,14.789151145989738,3,Western Maryland,MD
MD-2,119372676.93333332,15.461287744943618,5,Central Maryland,MD
MD-3,136631784.13333333,14.336596156770653,3,Capital Region,MD
MD-4,54826846.46666667,16.983523085358826,4,Southern Maryland,MD
MD-5,12440038.133333333,16.942958356107233,5,Upper Eastern Shore,MD
MD-6,8746395.0,14.894524083011138,4,Lower Eastern Shore,MD
NC-1,13396000.866666667,20.215564085213018,14,Western Mountains,NC
NC-10,36064925.0,21.958881710463213,15,Coast,NC
NC-2,15878428.399999999,24.249906290505468,2,Asheville Metro,NC
NC-3,31389758.53333333,19.026760262842735,13,Western Piedmont,NC
NC-4,103748815.13333333,24.062724858604334,7,Charlotte Metro,NC
NC-5,63752472.53333333,18.581330444191728,9,Triad,NC
NC-6,92160895.73333333,25.77803076828008,9,Triangle,NC
NC-7,29474433.2,17.513353493390596,9,Sandhills,NC
NC-8,23622912.933333334,18.063038773890543,8,Eastern Piedmont,NC
NC-9,28942002.266666666,14.81232827834468,14,Coastal Plain,NC
TN-1,19008124.0,15.75187350529389,8,First Tennessee,TN
TN-2,49332646.8,22.189742608680458,16,Knoxville Metro,TN
TN-3,28569361.066666666,18.936958456769503,11,Southeast Tennessee,TN
TN-4,12238124.933333334,20.25686536484422,15,Upper Cumberland,TN
TN-5,102422258.8,28.176922168619143,13,Nashville Metro,TN
TN-6,13103797.133333333,23.272810895666996,10,South Central,TN
TN-7,18787428.2,15.639557996829696,16,Northwest Tennessee,TN
TN-8,45071386.2,14.835865866060347,2,Memphis Metro,TN
TN-9,2674144.0666666664,15.026490063765914,4,Southern Middle Tennessee,TN
VA-1,4984099.8,9.202698233576418,6,Southwest Virginia,VA
VA-10,68652429.53333333,14.111594072343674,10,Hampton Roads,VA
VA-11,1939270.2000000002,20.664290950823226,2,Eastern Shore,VA
VA-2,5143521.333333333,14.556127281655431,7,New River Valley & Highlands,VA
VA-3,7762203.733333333,14.926151914436334,10,Southside & Danville,VA
VA-4,5957782.266666667,14.398923283256192,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,5303363.733333333,18.55677677486992,5,Shenandoah Valley,VA
VA-6,11737872.733333332,18.56777491427963,10,Charlottesville-Central Virginia,VA
VA-7,59389201.33333333,21.258049238013395,10,Richmond Metro,VA
VA-8,72782663.26666667,21.240911133381115,5,Northern Virginia,VA
VA-9,9741245.2,18.288807676037933,13,Rappahannock,VA
WV-1,5914685.666666667,14.104883428001596,5,Northern Panhandle,WV
WV-2,12443149.866666667,16.138483073363982,8,North Central,WV
WV-3,10767202.399999999,20.113739447163915,8,Eastern Panhandle,WV
WV-4,12681199.666666666,10.019042112918527,11,Central,WV
WV-5,12558501.466666667,14.815537433774775,8,Western,WV
WV-6,14554672.133333333,10.320114390996096,13,Southern Coalfields,WV
WV-7,1317105.2666666666,14.609080738116525,2,Randolph-Pocahontas,WV
