region_code,total_weight,labor_force_participation_rate,num_counties,region_name,state
DC-1,397662,100.82,1,District of Columbia,DC
KY-1,251584,100.0696658770033,9,Northern Kentucky,KY
KY-10,65465,100.02189566944169,4,East Central,KY
KY-2,415695,100.10981760665872,15,Bluegrass,KY
KY-3,559346,100.23253562195849,8,Louisville Metro,KY
KY-4,149665,100.06777990846223,21,Eastern Mountains,KY
KY-5,106817,100.09240448617729,14,Northeast,KY
KY-6,274521,101.40853096848693,22,South Central,KY
KY-7,108819,106.12448873817992,12,Pennyrile,KY
KY-8,89204,100.06237848078561,8,Purchase,KY
KY-9,112838,100.74631312146617,7,Western,KY
MD-1,117369,100.29574606582658,3,Western Maryland,MD
MD-2,1165673,100.4727864589812,5,Central Maryland,MD
MD-3,1276028,100.64458322231174,3,Capital Region,MD
MD-4,510109,103.31524585921832,4,Southern Maryland,MD
MD-5,123949,100.23792406554308,5,Upper Eastern Shore,MD
MD-6,107250,100.26704466200465,4,Lower Eastern Shore,MD
NC-1,180350,100.14379323537565,14,Western Mountains,NC
NC-10,398851,110.47387149587189,15,Coast,NC
NC-2,193415,100.12076338443244,2,Asheville Metro,NC
NC-3,412741,100.1259759025636,13,Western Piedmont,NC
NC-4,1191995,100.18509653144518,7,Charlotte Metro,NC
NC-5,797840,100.24084119622984,9,Triad,NC
NC-6,1028391,100.14086098575348,9,Triangle,NC
NC-7,341849,112.6512855676044,9,Sandhills,NC
NC-8,307542,101.31177845627589,8,Eastern Piedmont,NC
NC-9,335900,101.90043986305449,14,Coastal Plain,NC
TN-1,237508,100.17054924465701,8,First Tennessee,TN
TN-2,610059,100.20766342271813,16,Knoxville Metro,TN
TN-3,348167,100.08922442391152,11,Southeast Tennessee,TN
TN-4,167031,100.14340110518407,15,Upper Cumberland,TN
TN-5,1133460,101.24164357807068,13,Nashville Metro,TN
TN-6,183306,100.05543113700588,10,South Central,TN
TN-7,232252,100.30619852573928,16,Northwest Tennessee,TN
TN-8,483600,100.43596954094293,2,Memphis Metro,TN
TN-9,35462,100.29693982290902,4,Southern Middle Tennessee,TN
VA-1,67063,100.10842416831935,8,Southwest Virginia,VA
VA-10,854127,109.84985101747165,16,Hampton Roads,VA
VA-11,20164,101.38669757984526,2,Eastern Shore,VA
VA-2,170472,100.1650118494533,13,New River Valley & Highlands,VA
VA-3,174612,100.23656667353904,16,Southside & Danville,VA
VA-4,157473,100.43535240961943,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,257330,100.40715466521587,12,Shenandoah Valley,VA
VA-6,293639,100.33504101975555,14,Charlottesville-Central Virginia,VA
VA-7,766550,101.03061870719456,16,Richmond Metro,VA
VA-8,1558657,101.96404518120409,11,Northern Virginia,VA
VA-9,122499,101.50157356386583,14,Rappahannock,VA
WV-1,62875,100.10208588469186,5,Northern Panhandle,WV
WV-2,149668,100.21005064542854,8,North Central,WV
WV-3,139697,100.23951502179719,8,Eastern Panhandle,WV
WV-4,130324,100.44794834412694,11,Central,WV
WV-5,137121,100.55690747587897,8,Western,WV
WV-6,149776,100.20398909037496,13,Southern Coalfields,WV
WV-7,14254,100.19292268836817,2,Randolph-Pocahontas,WV
