region_code,total_weight,long_run_pop_growth,num_counties,region_name,state
DC-1,670587,17.22,1,District of Columbia,DC
KY-1,477272,22.967472342815,9,Northern Kentucky,KY
KY-10,154727,13.126900153173008,4,East Central,KY
KY-2,805409,24.278960590209447,15,Bluegrass,KY
KY-3,1068385,19.088876332033866,8,Louisville Metro,KY
KY-4,429639,-10.576067815072655,21,Eastern Mountains,KY
KY-5,267313,3.9645610950458825,14,Northeast,KY
KY-6,594761,18.855148168760227,22,South Central,KY
KY-7,264096,-0.5458760829395373,12,Pennyrile,KY
KY-8,196820,2.1273216136571484,8,Purchase,KY
KY-9,244513,7.637057825146311,7,Western,KY
MD-1,251662,7.755207977366467,3,Western Maryland,MD
MD-2,2201580,10.815959501812335,5,Central Maryland,MD
MD-3,2287928,22.649750888139838,3,Capital Region,MD
MD-4,962202,25.202086900671585,4,Southern Maryland,MD
MD-5,244464,17.224728099024805,5,Upper Eastern Shore,MD
MD-6,213871,15.229145746735181,4,Lower Eastern Shore,MD
NC-1,390909,16.551033642100847,14,Western Mountains,NC
NC-10,876002,42.6373669923128,15,Coast,NC
NC-2,385918,30.596035945459917,2,Asheville Metro,NC
NC-3,868161,8.247471425231033,13,Western Piedmont,NC
NC-4,2208509,55.88901867730672,7,Charlotte Metro,NC
NC-5,1610658,21.9049844349328,9,Triad,NC
NC-6,1911144,62.039096096369505,9,Triangle,NC
NC-7,812266,21.585857329987956,9,Sandhills,NC
NC-8,647204,26.952189356060842,8,Eastern Piedmont,NC
NC-9,759443,4.688758498004458,14,Coastal Plain,NC
TN-1,518378,9.775894713896037,8,First Tennessee,TN
TN-2,1262694,21.82690262248811,16,Knoxville Metro,TN
TN-3,709337,17.573682410476263,11,Southeast Tennessee,TN
TN-4,373741,20.798935573030523,15,Upper Cumberland,TN
TN-5,2105705,53.066903293671245,13,Nashville Metro,TN
TN-6,382868,26.373587398267812,10,South Central,TN
TN-7,516321,3.0245293528638193,16,Northwest Tennessee,TN
TN-8,968668,5.120230791148258,2,Memphis Metro,TN
TN-9,86060,0.6164649082035789,4,Southern Middle Tennessee,TN
VA-1,184086,-11.674953337027258,8,Southwest Virginia,VA
VA-10,1746362,13.190141998050803,16,Hampton Roads,VA
VA-11,45499,-11.41013011274973,2,Eastern Shore,VA
VA-2,368341,4.7085838394313955,13,New River Valley & Highlands,VA
VA-3,409220,-3.743749010312302,16,Southside & Danville,VA
VA-4,321586,7.776397511085681,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,26.908130992777615,12,Shenandoah Valley,VA
VA-6,589168,25.905444525160902,14,Charlottesville-Central Virginia,VA
VA-7,1431547,31.01584986032593,16,Richmond Metro,VA
VA-8,2770137,51.700762298037965,11,Northern Virginia,VA
VA-9,251392,31.782615636137987,14,Rappahannock,VA
WV-1,138420,-12.747390622742378,5,Northern Panhandle,WV
WV-2,308973,11.096524065209582,8,North Central,WV
WV-3,280234,37.402967305894364,8,Eastern Panhandle,WV
WV-4,307182,-8.772546112727959,11,Central,WV
WV-5,313405,-0.9490803273719307,8,Western,WV
WV-6,408808,-10.895940832860415,13,Southern Coalfields,WV
WV-7,35945,-3.589432466267909,2,Randolph-Pocahontas,WV
