region_code,total_weight,median_age,num_counties,region_name,state
DC-1,670587,34.8,1,District of Columbia,DC
KY-1,477272,38.30867974655961,9,Northern Kentucky,KY
KY-10,154727,41.09085679939506,4,East Central,KY
KY-2,805409,37.536103023432815,15,Bluegrass,KY
KY-3,1068385,39.07131258862676,8,Louisville Metro,KY
KY-4,429639,41.261689464876326,21,Eastern Mountains,KY
KY-5,267313,40.906838425366516,14,Northeast,KY
KY-6,594761,38.55602620212152,22,South Central,KY
KY-7,264096,38.420516024475944,12,Pennyrile,KY
KY-8,196820,41.125413067777664,8,Purchase,KY
KY-9,244513,39.9444508062966,7,Western,KY
MD-1,251662,41.93907701599765,3,Western Maryland,MD
MD-2,2201580,38.78954741594673,5,Central Maryland,MD
MD-3,2287928,39.02290015245235,3,Capital Region,MD
MD-4,962202,38.7421381373142,4,Southern Maryland,MD
MD-5,244464,43.730546419922774,5,Upper Eastern Shore,MD
MD-6,213871,41.07289113531054,4,Lower Eastern Shore,MD
NC-1,390909,45.481211739816686,14,Western Mountains,NC
NC-10,876002,41.48500231734631,15,Coast,NC
NC-2,385918,43.929705274177415,2,Asheville Metro,NC
NC-3,868161,43.97757397533407,13,Western Piedmont,NC
NC-4,2208509,37.455210279876596,7,Charlotte Metro,NC
NC-5,1610658,39.707429510175345,9,Triad,NC
NC-6,1911144,37.81592721427585,9,Triangle,NC
NC-7,812266,35.80941181829598,9,Sandhills,NC
NC-8,647204,40.119108503655724,8,Eastern Piedmont,NC
NC-9,759443,39.24369109992455,14,Coastal Plain,NC
TN-1,518378,44.04730756320678,8,First Tennessee,TN
TN-2,1262694,41.48598203523577,16,Knoxville Metro,TN
TN-3,709337,40.847681708412225,11,Southeast Tennessee,TN
TN-4,373741,42.62663689560417,15,Upper Cumberland,TN
TN-5,2105705,36.37601492136838,13,Nashville Metro,TN
TN-6,382868,40.11014945098572,10,South Central,TN
TN-7,516321,40.61244768274,16,Northwest Tennessee,TN
TN-8,968668,36.37517333080064,2,Memphis Metro,TN
TN-9,86060,42.3333581222403,4,Southern Middle Tennessee,TN
VA-1,184086,45.18416663950545,8,Southwest Virginia,VA
VA-10,1746362,37.066786840300004,16,Hampton Roads,VA
VA-11,45499,48.3665728917119,2,Eastern Shore,VA
VA-2,368341,41.057297449917336,13,New River Valley & Highlands,VA
VA-3,409220,45.19824470944724,16,Southside & Danville,VA
VA-4,321586,42.173278687505054,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,40.20004042013278,12,Shenandoah Valley,VA
VA-6,589168,40.51205649322434,14,Charlottesville-Central Virginia,VA
VA-7,1431547,38.881199918689354,16,Richmond Metro,VA
VA-8,2770137,37.4203161071095,11,Northern Virginia,VA
VA-9,251392,43.06740548625254,14,Rappahannock,VA
WV-1,138420,45.49784207484468,5,Northern Panhandle,WV
WV-2,308973,38.92192327484926,8,North Central,WV
WV-3,280234,42.038179878244605,8,Eastern Panhandle,WV
WV-4,307182,44.08161871463823,11,Central,WV
WV-5,313405,42.28495875943268,8,Western,WV
WV-6,408808,44.386771785287955,13,Southern Coalfields,WV
WV-7,35945,45.66028654889414,2,Randolph-Pocahontas,WV
