region_code,total_weight,median_gross_rent,num_counties,region_name,state
DC-1,670587,1817.0,1,District of Columbia,DC
KY-1,477272,1002.565304480464,9,Northern Kentucky,KY
KY-10,154727,768.1383856728302,4,East Central,KY
KY-2,805409,944.9339838516828,15,Bluegrass,KY
KY-3,1068385,1025.1679806436819,8,Louisville Metro,KY
KY-4,429639,-6289884.121169168,21,Eastern Mountains,KY
KY-5,267313,737.3161574633482,14,Northeast,KY
KY-6,594761,796.6921032145685,22,South Central,KY
KY-7,264096,790.8487406094754,12,Pennyrile,KY
KY-8,196820,766.6405344985266,8,Purchase,KY
KY-9,244513,832.4311468101901,7,Western,KY
MD-1,251662,923.926393337095,3,Western Maryland,MD
MD-2,2201580,1464.8241821782537,5,Central Maryland,MD
MD-3,2287928,1816.1412352136956,3,Capital Region,MD
MD-4,962202,1828.0853531794778,4,Southern Maryland,MD
MD-5,244464,1307.5111754695988,5,Upper Eastern Shore,MD
MD-6,213871,1115.3113886408162,4,Lower Eastern Shore,MD
NC-1,390909,849.4258228897263,14,Western Mountains,NC
NC-10,876002,1143.2049618608178,15,Coast,NC
NC-2,385918,1155.5818826797401,2,Asheville Metro,NC
NC-3,868161,786.4039849751371,13,Western Piedmont,NC
NC-4,2208509,1256.5674230895143,7,Charlotte Metro,NC
NC-5,1610658,939.7358079741323,9,Triad,NC
NC-6,1911144,1305.070017225285,9,Triangle,NC
NC-7,812266,1010.6217815346205,9,Sandhills,NC
NC-8,647204,889.501948381036,8,Eastern Piedmont,NC
NC-9,759443,836.4716483001357,14,Coastal Plain,NC
TN-1,518378,778.0910474595759,8,First Tennessee,TN
TN-2,1262694,940.9059233670232,16,Knoxville Metro,TN
TN-3,709337,958.5328666064227,11,Southeast Tennessee,TN
TN-4,373741,777.5675374122721,15,Upper Cumberland,TN
TN-5,2105705,1333.1466278514797,13,Nashville Metro,TN
TN-6,382868,892.4297590814589,10,South Central,TN
TN-7,516321,814.221654745788,16,Northwest Tennessee,TN
TN-8,968668,1092.8862190141515,2,Memphis Metro,TN
TN-9,86060,706.236497792238,4,Southern Middle Tennessee,TN
VA-1,184086,690.3451647599492,8,Southwest Virginia,VA
VA-10,1746362,1373.6485659903274,16,Hampton Roads,VA
VA-11,45499,917.738279962197,2,Eastern Shore,VA
VA-2,368341,862.9569393578233,13,New River Valley & Highlands,VA
VA-3,409220,792.9913029666194,16,Southside & Danville,VA
VA-4,321586,963.1754896046469,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,1102.0007058735382,12,Shenandoah Valley,VA
VA-6,589168,1124.6085293159167,14,Charlottesville-Central Virginia,VA
VA-7,1431547,1379.2234834064127,16,Richmond Metro,VA
VA-8,2770137,2070.9789916527593,11,Northern Virginia,VA
VA-9,251392,1218.132347091395,14,Rappahannock,VA
WV-1,138420,730.643339112845,5,Northern Panhandle,WV
WV-2,308973,839.1742449987539,8,North Central,WV
WV-3,280234,988.8057373480734,8,Eastern Panhandle,WV
WV-4,307182,779.5546809383362,11,Central,WV
WV-5,313405,816.6039884494504,8,Western,WV
WV-6,408808,754.7495425725524,13,Southern Coalfields,WV
WV-7,35945,746.561413270274,2,Randolph-Pocahontas,WV
