region_code,total_weight,median_home_value,num_counties,region_name,state
DC-1,670587,705000.0,1,District of Columbia,DC
KY-1,477272,208297.15319566202,9,Northern Kentucky,KY
KY-10,154727,133891.3001609286,4,East Central,KY
KY-2,805409,218148.21761365965,15,Bluegrass,KY
KY-3,1068385,230281.31881297473,8,Louisville Metro,KY
KY-4,429639,91078.90368425586,21,Eastern Mountains,KY
KY-5,267313,123953.59634585673,14,Northeast,KY
KY-6,594761,166218.4494275852,22,South Central,KY
KY-7,264096,130040.74806131104,12,Pennyrile,KY
KY-8,196820,153508.25017782746,8,Purchase,KY
KY-9,244513,155582.64918429696,7,Western,KY
MD-1,251662,225292.35601719766,3,Western Maryland,MD
MD-2,2201580,329445.99923691165,5,Central Maryland,MD
MD-3,2287928,480600.42798549606,3,Capital Region,MD
MD-4,962202,415672.0669880129,4,Southern Maryland,MD
MD-5,244464,328281.42998560116,5,Upper Eastern Shore,MD
MD-6,213871,239322.5916557177,4,Lower Eastern Shore,MD
NC-1,390909,231231.1809142281,14,Western Mountains,NC
NC-10,876002,263832.2767527928,15,Coast,NC
NC-2,385918,317612.7819899564,2,Asheville Metro,NC
NC-3,868161,173995.71807533395,13,Western Piedmont,NC
NC-4,2208509,296036.00053248595,7,Charlotte Metro,NC
NC-5,1610658,196527.61151032682,9,Triad,NC
NC-6,1911144,348639.2269237692,9,Triangle,NC
NC-7,812266,180306.66727402108,9,Sandhills,NC
NC-8,647204,172949.6154226488,8,Eastern Piedmont,NC
NC-9,759443,136119.15048265638,14,Coastal Plain,NC
TN-1,518378,174625.64132737115,8,First Tennessee,TN
TN-2,1262694,216055.64610269788,16,Knoxville Metro,TN
TN-3,709337,216232.27675984756,11,Southeast Tennessee,TN
TN-4,373741,184188.79544925498,15,Upper Cumberland,TN
TN-5,2105705,348086.32111335633,13,Nashville Metro,TN
TN-6,382868,213317.19678844928,10,South Central,TN
TN-7,516321,144838.4450758346,16,Northwest Tennessee,TN
TN-8,968668,209434.93209231645,2,Memphis Metro,TN
TN-9,86060,129868.20706483848,4,Southern Middle Tennessee,TN
VA-1,184086,105622.13096052932,8,Southwest Virginia,VA
VA-10,1746362,301144.48482044385,16,Hampton Roads,VA
VA-11,45499,200978.55117694894,2,Eastern Shore,VA
VA-2,368341,189674.6419757779,13,New River Valley & Highlands,VA
VA-3,409220,144691.66536337422,16,Southside & Danville,VA
VA-4,321586,206899.57958368835,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,279954.8331634373,12,Shenandoah Valley,VA
VA-6,589168,289573.776579855,14,Charlottesville-Central Virginia,VA
VA-7,1431547,306698.91271470656,16,Richmond Metro,VA
VA-8,2770137,622568.4681299157,11,Northern Virginia,VA
VA-9,251392,323363.7295538442,14,Rappahannock,VA
WV-1,138420,128390.92977893369,5,Northern Panhandle,WV
WV-2,308973,177748.00840202864,8,North Central,WV
WV-3,280234,226187.95435243403,8,Eastern Panhandle,WV
WV-4,307182,125449.66957699344,11,Central,WV
WV-5,313405,149587.7388682376,8,Western,WV
WV-6,408808,108827.9696092053,13,Southern Coalfields,WV
WV-7,35945,128876.71442481568,2,Randolph-Pocahontas,WV
