region_code,total_weight,median_household_income,num_counties,region_name,state
DC-1,670587,101722.0,1,District of Columbia,DC
KY-1,455201,78111.80696659278,7,Northern Kentucky,KY
KY-10,154727,49091.05675156889,4,East Central,KY
KY-2,805409,65064.91295975089,15,Bluegrass,KY
KY-3,1021606,71544.65845541235,7,Louisville Metro,KY
KY-4,416550,39109.81893890289,20,Eastern Mountains,KY
KY-5,251085,51334.17235597507,13,Northeast,KY
KY-6,464090,54183.37570729815,20,South Central,KY
KY-7,236598,52970.61861047008,11,Pennyrile,KY
KY-8,196820,55709.45081292552,8,Purchase,KY
KY-9,244513,60950.86674328154,7,Western,KY
MD-1,251662,67221.73202549451,3,Western Maryland,MD
MD-2,2201580,92222.69163282734,5,Central Maryland,MD
MD-3,2287928,112836.0772021672,3,Capital Region,MD
MD-4,962202,117053.21401847013,4,Southern Maryland,MD
MD-5,244464,86346.82903004123,5,Upper Eastern Shore,MD
MD-6,213871,67407.51656839871,4,Lower Eastern Shore,MD
NC-1,390909,53328.49261337038,14,Western Mountains,NC
NC-10,876002,66818.46413250198,15,Coast,NC
NC-2,385918,66222.26138972527,2,Asheville Metro,NC
NC-3,868161,56890.839420337936,13,Western Piedmont,NC
NC-4,2208509,77421.58851695873,7,Charlotte Metro,NC
NC-5,1610658,60476.57889384338,9,Triad,NC
NC-6,1911144,87462.45015812518,9,Triangle,NC
NC-7,812266,58778.54316566248,9,Sandhills,NC
NC-8,625571,59614.98090064917,7,Eastern Piedmont,NC
NC-9,759443,49541.45777629131,14,Coastal Plain,NC
TN-1,518378,53648.11512641354,8,First Tennessee,TN
TN-2,1262694,62615.15436439866,16,Knoxville Metro,TN
TN-3,709337,63516.813544196906,11,Southeast Tennessee,TN
TN-4,373741,52188.41177713979,15,Upper Cumberland,TN
TN-5,2105705,80632.34587893366,13,Nashville Metro,TN
TN-6,382868,61550.6951011837,10,South Central,TN
TN-7,417677,53037.49720717205,15,Northwest Tennessee,TN
TN-8,968668,60556.21958400608,2,Memphis Metro,TN
TN-9,86060,48514.96204973274,4,Southern Middle Tennessee,TN
VA-1,184086,44111.3460176222,8,Southwest Virginia,VA
VA-10,1746362,79519.28654139291,16,Hampton Roads,VA
VA-11,45499,53227.019802633025,2,Eastern Shore,VA
VA-2,368341,56646.113913466055,13,New River Valley & Highlands,VA
VA-3,409220,51847.40797859342,16,Southside & Danville,VA
VA-4,321586,66281.3625593154,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,72898.02446305304,12,Shenandoah Valley,VA
VA-6,589168,74796.53835578306,14,Charlottesville-Central Virginia,VA
VA-7,1431547,85549.62227436472,16,Richmond Metro,VA
VA-8,2770137,140237.86496805033,11,Northern Virginia,VA
VA-9,251392,80702.07801362016,14,Rappahannock,VA
WV-1,138420,55436.72678803641,5,Northern Panhandle,WV
WV-2,308973,58120.725251073716,8,North Central,WV
WV-3,280234,72106.2976048588,8,Eastern Panhandle,WV
WV-4,307182,51716.643468692826,11,Central,WV
WV-5,313405,56719.94664411863,8,Western,WV
WV-6,408808,46676.51593902272,13,Southern Coalfields,WV
WV-7,35945,49086.19084712755,2,Randolph-Pocahontas,WV
