region_code,total_weight,millennial_genz_balance_change,num_counties,region_name,state
DC-1,670587,7.3999999999999995,1,District of Columbia,DC
KY-1,477272,5.843312974572152,9,Northern Kentucky,KY
KY-10,154727,5.8333416921416426,4,East Central,KY
KY-2,805409,5.858632111138565,15,Bluegrass,KY
KY-3,1068385,5.840482466526579,8,Louisville Metro,KY
KY-4,429639,5.535993171011011,21,Eastern Mountains,KY
KY-5,267313,5.503157122923314,14,Northeast,KY
KY-6,594761,5.8591805279767835,22,South Central,KY
KY-7,264096,5.47113663213377,12,Pennyrile,KY
KY-8,196820,5.627033685601057,8,Purchase,KY
KY-9,244513,5.498779165115965,7,Western,KY
MD-1,251662,5.459568429083454,3,Western Maryland,MD
MD-2,2201580,5.973100137174211,5,Central Maryland,MD
MD-3,2287928,5.465198992275981,3,Capital Region,MD
MD-4,962202,5.923998890045957,4,Southern Maryland,MD
MD-5,244464,5.034989200863931,5,Upper Eastern Shore,MD
MD-6,213871,4.696989213123799,4,Lower Eastern Shore,MD
NC-1,390909,4.003250244941918,14,Western Mountains,NC
NC-10,876002,3.8526210556596903,15,Coast,NC
NC-2,385918,5.195496763561171,2,Asheville Metro,NC
NC-3,868161,5.252314628277474,13,Western Piedmont,NC
NC-4,2208509,6.3871254045149914,7,Charlotte Metro,NC
NC-5,1610658,5.87327672913803,9,Triad,NC
NC-6,1911144,5.6061470668876865,9,Triangle,NC
NC-7,812266,5.513669093622039,9,Sandhills,NC
NC-8,647204,5.408512555546628,8,Eastern Piedmont,NC
NC-9,759443,4.4760648396258835,14,Coastal Plain,NC
TN-1,518378,5.3493712310321815,8,First Tennessee,TN
TN-2,1262694,5.769115652723462,16,Knoxville Metro,TN
TN-3,709337,5.907922792692331,11,Southeast Tennessee,TN
TN-4,373741,5.460116069684621,15,Upper Cumberland,TN
TN-5,2105705,6.481574422818011,13,Nashville Metro,TN
TN-6,382868,6.38695918697828,10,South Central,TN
TN-7,516321,5.420951404262077,16,Northwest Tennessee,TN
TN-8,968668,5.535970177604711,2,Memphis Metro,TN
TN-9,86060,4.951264699047178,4,Southern Middle Tennessee,TN
VA-1,184086,4.330632693415034,8,Southwest Virginia,VA
VA-10,1746362,5.312642252866245,16,Hampton Roads,VA
VA-11,45499,4.01670652102244,2,Eastern Shore,VA
VA-2,368341,4.694837419673617,13,New River Valley & Highlands,VA
VA-3,409220,5.060063266702508,16,Southside & Danville,VA
VA-4,321586,5.814266043919822,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,5.841361803566042,12,Shenandoah Valley,VA
VA-6,589168,5.003436014854846,14,Charlottesville-Central Virginia,VA
VA-7,1431547,6.167108743198791,16,Richmond Metro,VA
VA-8,2770137,6.34275177003881,11,Northern Virginia,VA
VA-9,251392,5.22982004200611,14,Rappahannock,VA
WV-1,138420,4.764718104320185,5,Northern Panhandle,WV
WV-2,308973,5.499615079634791,8,North Central,WV
WV-3,280234,5.490160580086642,8,Eastern Panhandle,WV
WV-4,307182,4.8961999075466665,11,Central,WV
WV-5,313405,5.390842296708732,8,Western,WV
WV-6,408808,4.84842752588012,13,Southern Coalfields,WV
WV-7,35945,5.045191264431771,2,Randolph-Pocahontas,WV
