region_code,total_weight,pct_age_25_54,num_counties,region_name,state
DC-1,670587,49.69,1,District of Columbia,DC
KY-1,477272,39.20829001072764,9,Northern Kentucky,KY
KY-10,154727,38.12869583201381,4,East Central,KY
KY-2,805409,38.41862674740411,15,Bluegrass,KY
KY-3,1068385,39.4141819849586,8,Louisville Metro,KY
KY-4,429639,37.628505023985255,21,Eastern Mountains,KY
KY-5,267313,36.77908721236902,14,Northeast,KY
KY-6,594761,36.96192687482871,22,South Central,KY
KY-7,264096,36.001967239185745,12,Pennyrile,KY
KY-8,196820,35.35439691088304,8,Purchase,KY
KY-9,244513,37.152149742549476,7,Western,KY
MD-1,251662,37.51166024270648,3,Western Maryland,MD
MD-2,2201580,39.668085960991654,5,Central Maryland,MD
MD-3,2287928,40.36828314964457,3,Capital Region,MD
MD-4,962202,40.37304525453075,4,Southern Maryland,MD
MD-5,244464,35.73115366679757,5,Upper Eastern Shore,MD
MD-6,213871,34.22078542672919,4,Lower Eastern Shore,MD
NC-1,390909,32.67368126597239,14,Western Mountains,NC
NC-10,876002,35.40448118839911,15,Coast,NC
NC-2,385918,38.32714447110526,2,Asheville Metro,NC
NC-3,868161,36.52525290815874,13,Western Piedmont,NC
NC-4,2208509,42.20760902944022,7,Charlotte Metro,NC
NC-5,1610658,37.580275943123866,9,Triad,NC
NC-6,1911144,42.0030172504008,9,Triangle,NC
NC-7,812266,38.740992458135636,9,Sandhills,NC
NC-8,647204,37.59205769741843,8,Eastern Piedmont,NC
NC-9,759443,35.49540956990847,14,Coastal Plain,NC
TN-1,518378,36.58427093742404,8,First Tennessee,TN
TN-2,1262694,37.245804486280925,16,Knoxville Metro,TN
TN-3,709337,38.170850893157976,11,Southeast Tennessee,TN
TN-4,373741,35.89357656773006,15,Upper Cumberland,TN
TN-5,2105705,42.18674989611555,13,Nashville Metro,TN
TN-6,382868,37.54268787153797,10,South Central,TN
TN-7,516321,36.39430941216801,16,Northwest Tennessee,TN
TN-8,968668,39.32695887548675,2,Memphis Metro,TN
TN-9,86060,37.682201022542415,4,Southern Middle Tennessee,TN
VA-1,184086,36.615446530426,8,Southwest Virginia,VA
VA-10,1746362,39.528325249862284,16,Hampton Roads,VA
VA-11,45499,31.741387722807094,2,Eastern Shore,VA
VA-2,368341,34.712878148237635,13,New River Valley & Highlands,VA
VA-3,409220,34.353164972386494,16,Southside & Danville,VA
VA-4,321586,36.34085501234506,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,36.39091716238838,12,Shenandoah Valley,VA
VA-6,589168,35.67853617304402,14,Charlottesville-Central Virginia,VA
VA-7,1431547,40.09592015490934,16,Richmond Metro,VA
VA-8,2770137,43.430268957816885,11,Northern Virginia,VA
VA-9,251392,35.37599028608707,14,Rappahannock,VA
WV-1,138420,34.561588932235225,5,Northern Panhandle,WV
WV-2,308973,37.67502186275176,8,North Central,WV
WV-3,280234,38.28801519444465,8,Eastern Panhandle,WV
WV-4,307182,35.96103811421242,11,Central,WV
WV-5,313405,36.09289746494154,8,Western,WV
WV-6,408808,35.75007487622551,13,Southern Coalfields,WV
WV-7,35945,35.74980108499096,2,Randolph-Pocahontas,WV
