region_code,total_weight,pct_bachelors_or_higher,num_counties,region_name,state
DC-1,484596,62.64,1,District of Columbia,DC
KY-1,323375,33.00020644762273,9,Northern Kentucky,KY
KY-10,108255,16.133413329638355,4,East Central,KY
KY-2,535579,35.0912225087242,15,Bluegrass,KY
KY-3,740280,33.59876568325499,8,Louisville Metro,KY
KY-4,299998,13.686447509650066,21,Eastern Mountains,KY
KY-5,184193,17.563766375486583,14,Northeast,KY
KY-6,397284,20.705349472921135,22,South Central,KY
KY-7,175376,16.255915632697747,12,Pennyrile,KY
KY-8,135340,24.596380449238954,8,Purchase,KY
KY-9,167429,20.08097062038237,7,Western,KY
MD-1,177612,22.59796781748981,3,Western Maryland,MD
MD-2,1527710,42.37321348947117,5,Central Maryland,MD
MD-3,1572836,47.90260871444957,3,Capital Region,MD
MD-4,661980,40.01840010272214,4,Southern Maryland,MD
MD-5,173687,30.874859891644164,5,Upper Eastern Shore,MD
MD-6,146270,26.84800451220346,4,Lower Eastern Shore,MD
NC-1,280269,28.675691746143883,14,Western Mountains,NC
NC-10,604061,32.66079342980262,15,Coast,NC
NC-2,287263,40.27742298868981,2,Asheville Metro,NC
NC-3,621105,20.471723251302116,13,Western Piedmont,NC
NC-4,1495004,39.23719337874682,7,Charlotte Metro,NC
NC-5,1097207,29.67709937140394,9,Triad,NC
NC-6,1302674,50.70417612541588,9,Triangle,NC
NC-7,532916,25.282740075358966,9,Sandhills,NC
NC-8,442191,21.69681424995081,8,Eastern Piedmont,NC
NC-9,509422,20.594237194310413,14,Coastal Plain,NC
TN-1,373576,24.303819838533528,8,First Tennessee,TN
TN-2,884354,27.21841065907996,16,Knoxville Metro,TN
TN-3,499529,27.518771582831025,11,Southeast Tennessee,TN
TN-4,262932,17.679272055132127,15,Upper Cumberland,TN
TN-5,1417046,39.16653608986582,13,Nashville Metro,TN
TN-6,263063,20.639437891303604,10,South Central,TN
TN-7,354588,18.64164179272846,16,Northwest Tennessee,TN
TN-8,642305,33.39141135441885,2,Memphis Metro,TN
TN-9,61319,13.5762404801122,4,Southern Middle Tennessee,TN
VA-1,135512,13.889549929157566,8,Southwest Virginia,VA
VA-10,1181062,34.68722155991811,16,Hampton Roads,VA
VA-11,33500,23.521371940298508,2,Eastern Shore,VA
VA-2,250691,26.77488425990562,13,New River Valley & Highlands,VA
VA-3,294753,17.88229765261083,16,Southside & Danville,VA
VA-4,228008,30.638832584821586,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,348087,27.021089440283603,12,Shenandoah Valley,VA
VA-6,404953,36.855244806187386,14,Charlottesville-Central Virginia,VA
VA-7,992295,39.41073980016023,16,Richmond Metro,VA
VA-8,1874000,59.50087187833512,11,Northern Virginia,VA
VA-9,176281,27.951095239986156,14,Rappahannock,VA
WV-1,100587,23.133112131786415,5,Northern Panhandle,WV
WV-2,210246,29.801720080286906,8,North Central,WV
WV-3,198548,23.502449583979693,8,Eastern Panhandle,WV
WV-4,221690,22.905731652307278,11,Central,WV
WV-5,219727,24.240984858483483,8,Western,WV
WV-6,294204,16.19318748215524,13,Southern Coalfields,WV
WV-7,26527,16.981499227202473,2,Randolph-Pocahontas,WV
