region_code,total_weight,pct_dir_income,num_counties,region_name,state
DC-1,67776148,17.88,1,District of Columbia,DC
KY-1,29539483,18.658197976924647,9,Northern Kentucky,KY
KY-10,6702948,10.806146332926945,4,East Central,KY
KY-2,44284053,18.308694126529023,15,Bluegrass,KY
KY-3,67113027,19.184471947450678,8,Louisville Metro,KY
KY-4,16989647,9.138745346504257,21,Eastern Mountains,KY
KY-5,11185321,11.020342274486355,14,Northeast,KY
KY-6,27514292,13.275861633292253,22,South Central,KY
KY-7,12085131,13.156716289628967,12,Pennyrile,KY
KY-8,10368775,15.09372665719914,8,Purchase,KY
KY-9,11998654,14.384359035605161,7,Western,KY
MD-1,13001958,13.402258146042312,3,Western Maryland,MD
MD-2,154577723,17.0460820015443,5,Central Maryland,MD
MD-3,171806169,20.237797803872805,3,Capital Region,MD
MD-4,72188054,18.376018627818947,4,Southern Maryland,MD
MD-5,16766676,20.68084098362728,5,Upper Eastern Shore,MD
MD-6,11400704,17.535253104545124,4,Lower Eastern Shore,MD
NC-1,18910366,21.87715704233329,14,Western Mountains,NC
NC-10,52323721,21.372219483205335,15,Coast,NC
NC-2,23526103,25.826060341145325,2,Asheville Metro,NC
NC-3,43641229,15.415299396586652,13,Western Piedmont,NC
NC-4,154283696,17.15357225600818,7,Charlotte Metro,NC
NC-5,87696226,17.07006656113115,9,Triad,NC
NC-6,139678997,20.1193367921306,9,Triangle,NC
NC-7,40127605,17.593454563510583,9,Sandhills,NC
NC-8,32398171,13.089319648013465,8,Eastern Piedmont,NC
NC-9,37972719,14.258552517927411,14,Coastal Plain,NC
TN-1,25059669,13.531252351736969,8,First Tennessee,TN
TN-2,71464507,14.81472933144281,16,Knoxville Metro,TN
TN-3,39163967,15.82653271053977,11,Southeast Tennessee,TN
TN-4,17081348,12.782706295779468,15,Upper Cumberland,TN
TN-5,160026524,16.27716391471454,13,Nashville Metro,TN
TN-6,19165030,11.940229667785545,10,South Central,TN
TN-7,24501103,11.338478962355287,16,Northwest Tennessee,TN
TN-8,57472465,15.716358154639792,2,Memphis Metro,TN
TN-9,3434708,11.662170298028247,4,Southern Middle Tennessee,TN
VA-1,6076299,12.146953829954713,6,Southwest Virginia,VA
VA-10,88230806,18.366739112640545,10,Hampton Roads,VA
VA-11,2606696,18.926147740281184,2,Eastern Shore,VA
VA-2,6702418,13.19605112214726,7,New River Valley & Highlands,VA
VA-3,10219925,16.59172639427393,10,Southside & Danville,VA
VA-4,7723610,18.39443477208197,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,7294604,16.15836838298556,5,Shenandoah Valley,VA
VA-6,15978396,18.094803440220154,10,Charlottesville-Central Virginia,VA
VA-7,82964859,19.743016553671236,10,Richmond Metro,VA
VA-8,102583354,19.13197448788816,5,Northern Virginia,VA
VA-9,13256140,20.288777932339276,13,Rappahannock,VA
WV-1,7356006,21.949226667297445,5,Northern Panhandle,WV
WV-2,16173085,17.803959393646913,8,North Central,WV
WV-3,15027473,14.178606582091348,8,Eastern Panhandle,WV
WV-4,15241433,15.770936885002873,11,Central,WV
WV-5,16156172,16.137230321019114,8,Western,WV
WV-6,17324050,12.363239085548702,13,Southern Coalfields,WV
WV-7,1660685,15.187812631534579,2,Randolph-Pocahontas,WV
