region_code,total_weight,pct_farm_income,num_counties,region_name,state
DC-1,67776148,130.4,1,District of Columbia,DC
KY-1,29539483,48.16409326121246,9,Northern Kentucky,KY
KY-10,6702948,39.35772537098602,4,East Central,KY
KY-2,44284053,51.07204206105525,15,Bluegrass,KY
KY-3,67113027,56.369294617273034,8,Louisville Metro,KY
KY-4,16989647,31.12498027651781,21,Eastern Mountains,KY
KY-5,11185321,37.40381244668794,14,Northeast,KY
KY-6,27514292,41.80565824590362,22,South Central,KY
KY-7,12085131,53.880599319941176,12,Pennyrile,KY
KY-8,10368775,42.5877724186319,8,Purchase,KY
KY-9,11998654,39.70333228293774,7,Western,KY
MD-1,13001958,44.02915239996929,3,Western Maryland,MD
MD-2,154577723,53.985467198594975,5,Central Maryland,MD
MD-3,171806169,46.16430714388376,3,Capital Region,MD
MD-4,72188054,48.45650703272871,4,Southern Maryland,MD
MD-5,16766676,30.949068026363726,5,Upper Eastern Shore,MD
MD-6,11400704,43.240752840350915,4,Lower Eastern Shore,MD
NC-1,18910366,34.46473581632423,14,Western Mountains,NC
NC-10,52323721,39.37765086126043,15,Coast,NC
NC-2,23526103,45.080152544601205,2,Asheville Metro,NC
NC-3,43641229,39.624427433975335,13,Western Piedmont,NC
NC-4,154283696,61.171997659234194,7,Charlotte Metro,NC
NC-5,87696226,49.642327007435874,9,Triad,NC
NC-6,139678997,60.298831773970996,9,Triangle,NC
NC-7,40127605,45.742087574626,9,Sandhills,NC
NC-8,32398171,37.733088992894075,8,Eastern Piedmont,NC
NC-9,37972719,42.34506879136045,14,Coastal Plain,NC
TN-1,25059669,43.447872445960876,8,First Tennessee,TN
TN-2,71464507,46.43862476347874,16,Knoxville Metro,TN
TN-3,39163967,50.68281392510621,11,Southeast Tennessee,TN
TN-4,17081348,32.37361926470909,15,Upper Cumberland,TN
TN-5,160026524,49.76009262764465,13,Nashville Metro,TN
TN-6,19165030,37.86964185289561,10,South Central,TN
TN-7,24501103,39.08122363144223,16,Northwest Tennessee,TN
TN-8,57472465,63.741328770742655,2,Memphis Metro,TN
TN-9,3434708,32.698070852020024,4,Southern Middle Tennessee,TN
VA-1,6076299,32.049571396996754,6,Southwest Virginia,VA
VA-10,88230806,55.7955250721613,10,Hampton Roads,VA
VA-11,2606696,37.391945735137504,2,Eastern Shore,VA
VA-2,6702418,39.61321089642574,7,New River Valley & Highlands,VA
VA-3,10219925,34.30387388850701,10,Southside & Danville,VA
VA-4,7723610,64.76170185573844,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,7294604,26.710879445957588,5,Shenandoah Valley,VA
VA-6,15978396,22.864875879906844,10,Charlottesville-Central Virginia,VA
VA-7,82964859,53.284372141221866,10,Richmond Metro,VA
VA-8,102583354,52.043709039187775,5,Northern Virginia,VA
VA-9,13256140,30.13991882780357,13,Rappahannock,VA
WV-1,7356006,44.405563630589754,5,Northern Panhandle,WV
WV-2,16173085,50.21093717741544,8,North Central,WV
WV-3,15027473,28.264337829786815,8,Eastern Panhandle,WV
WV-4,15241433,49.232803164243144,11,Central,WV
WV-5,16156172,45.49188895735945,8,Western,WV
WV-6,17324050,33.88980571402184,13,Southern Coalfields,WV
WV-7,1660685,37.226343039167574,2,Randolph-Pocahontas,WV
