region_code,total_weight,pct_hispanic,num_counties,region_name,state
DC-1,670587,11.51,1,District of Columbia,DC
KY-1,477272,3.5079247054090748,9,Northern Kentucky,KY
KY-10,154727,1.9367990719137578,4,East Central,KY
KY-2,805409,5.114241646169834,15,Bluegrass,KY
KY-3,1068385,5.713433041459774,8,Louisville Metro,KY
KY-4,429639,1.066665596000363,21,Eastern Mountains,KY
KY-5,267313,1.689724517700224,14,Northeast,KY
KY-6,594761,3.994659552324379,22,South Central,KY
KY-7,264096,4.282906708166728,12,Pennyrile,KY
KY-8,196820,3.383259120008129,8,Purchase,KY
KY-9,244513,3.151156543823846,7,Western,KY
MD-1,251662,4.518733738109051,3,Western Maryland,MD
MD-2,2201580,5.952574796282669,5,Central Maryland,MD
MD-3,2287928,18.90414911220983,3,Capital Region,MD
MD-4,962202,7.617150057888053,4,Southern Maryland,MD
MD-5,244464,5.626850006544931,5,Upper Eastern Shore,MD
MD-6,213871,5.120489453923159,4,Lower Eastern Shore,MD
NC-1,390909,4.963171914691143,14,Western Mountains,NC
NC-10,876002,7.497335051746457,15,Coast,NC
NC-2,385918,8.140254510025446,2,Asheville Metro,NC
NC-3,868161,7.563872588148972,13,Western Piedmont,NC
NC-4,2208509,11.805426661154653,7,Charlotte Metro,NC
NC-5,1610658,10.242228617124182,9,Triad,NC
NC-6,1911144,10.64283425529421,9,Triangle,NC
NC-7,812266,12.03638414017083,9,Sandhills,NC
NC-8,647204,10.554959873548372,8,Eastern Piedmont,NC
NC-9,759443,9.700829450004807,14,Coastal Plain,NC
TN-1,518378,2.9014790944060125,8,First Tennessee,TN
TN-2,1262694,4.760250504080957,16,Knoxville Metro,TN
TN-3,709337,5.455244418379416,11,Southeast Tennessee,TN
TN-4,373741,4.799209425778815,15,Upper Cumberland,TN
TN-5,2105705,8.228212978551127,13,Nashville Metro,TN
TN-6,382868,5.916753189088667,10,South Central,TN
TN-7,516321,3.612222667681539,16,Northwest Tennessee,TN
TN-8,968668,6.622190141513914,2,Memphis Metro,TN
TN-9,86060,2.451654775737857,4,Southern Middle Tennessee,TN
VA-1,184086,1.2313601794813294,8,Southwest Virginia,VA
VA-10,1746362,7.497845652848608,16,Hampton Roads,VA
VA-11,45499,9.295995076814874,2,Eastern Shore,VA
VA-2,368341,3.0230588232100146,13,New River Valley & Highlands,VA
VA-3,409220,3.928537388201945,16,Southside & Danville,VA
VA-4,321586,4.127789176145727,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,8.928577290194864,12,Shenandoah Valley,VA
VA-6,589168,4.355916665535127,14,Charlottesville-Central Virginia,VA
VA-7,1431547,7.478160409682672,16,Richmond Metro,VA
VA-8,2770137,17.72393879075295,11,Northern Virginia,VA
VA-9,251392,7.249486379837068,14,Rappahannock,VA
WV-1,138420,1.2316547464239274,5,Northern Panhandle,WV
WV-2,308973,1.8337930498781445,8,North Central,WV
WV-3,280234,4.274944403605558,8,Eastern Panhandle,WV
WV-4,307182,1.1657205825862194,11,Central,WV
WV-5,313405,1.389731306137426,8,Western,WV
WV-6,408808,1.2965134488561867,13,Southern Coalfields,WV
WV-7,35945,0.9347767422450968,2,Randolph-Pocahontas,WV
