region_code,total_weight,pct_housing_built_last_10_years,num_counties,region_name,state
DC-1,350372,12.230000000000002,1,District of Columbia,DC
KY-1,199794,7.983456109793088,9,Northern Kentucky,KY
KY-10,71030,9.196820216809801,4,East Central,KY
KY-2,353051,9.494061339579833,15,Bluegrass,KY
KY-3,468925,7.9313739723836445,8,Louisville Metro,KY
KY-4,199928,6.97450347124965,21,Eastern Mountains,KY
KY-5,120062,7.016547950225717,14,Northeast,KY
KY-6,266571,11.01574057193018,22,South Central,KY
KY-7,118700,7.09488399326032,12,Pennyrile,KY
KY-8,94366,7.87994584914058,8,Purchase,KY
KY-9,106775,8.370612596581596,7,Western,KY
MD-1,115084,4.515164140975287,3,Western Maryland,MD
MD-2,935810,5.965284448766309,5,Central Maryland,MD
MD-3,867036,8.493375015570289,3,Capital Region,MD
MD-4,376939,11.699276036706205,4,Southern Maryland,MD
MD-5,108761,7.578287345647796,5,Upper Eastern Shore,MD
MD-6,127445,5.743714543528581,4,Lower Eastern Shore,MD
NC-1,241815,6.392769927423856,14,Western Mountains,NC
NC-10,474193,15.502767438574589,15,Coast,NC
NC-2,186825,12.580361782416698,2,Asheville Metro,NC
NC-3,400409,5.703112792170006,13,Western Piedmont,NC
NC-4,923915,15.699779016467962,7,Charlotte Metro,NC
NC-5,709843,9.12482278475663,9,Triad,NC
NC-6,810991,18.789744053879758,9,Triangle,NC
NC-7,350510,11.76404664631537,9,Sandhills,NC
NC-8,286501,11.001989452043798,8,Eastern Piedmont,NC
NC-9,354879,8.777924813809777,14,Coastal Plain,NC
TN-1,245049,7.148436271929288,8,First Tennessee,TN
TN-2,581248,9.758445431210086,16,Knoxville Metro,TN
TN-3,314553,10.415409613006393,11,Southeast Tennessee,TN
TN-4,171163,10.12316113879752,15,Upper Cumberland,TN
TN-5,881388,18.696688291649078,13,Nashville Metro,TN
TN-6,164714,11.456736525128406,10,South Central,TN
TN-7,233798,6.267865293971719,16,Northwest Tennessee,TN
TN-8,418813,6.113404622110584,2,Memphis Metro,TN
TN-9,40124,7.095705562755457,4,Southern Middle Tennessee,TN
VA-1,91735,4.403494413255573,8,Southwest Virginia,VA
VA-10,734064,9.182972629089562,16,Hampton Roads,VA
VA-11,29181,5.331620917720435,2,Eastern Shore,VA
VA-2,176692,5.87010905983293,13,New River Valley & Highlands,VA
VA-3,206203,4.26607241407739,16,Southside & Danville,VA
VA-4,150437,4.417164527343672,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,215848,8.463439967013825,12,Shenandoah Valley,VA
VA-6,263223,9.772576446587115,14,Charlottesville-Central Virginia,VA
VA-7,595030,10.497839470278809,16,Richmond Metro,VA
VA-8,1043849,11.066848136080985,11,Northern Virginia,VA
VA-9,119023,9.674279088915588,14,Rappahannock,VA
WV-1,68263,3.1661141467559295,5,Northern Panhandle,WV
WV-2,144199,8.675652258337436,8,North Central,WV
WV-3,127070,9.796263949004485,8,Eastern Panhandle,WV
WV-4,153463,4.40487094609124,11,Central,WV
WV-5,147978,5.379880184892349,8,Western,WV
WV-6,198124,4.141862823282389,13,Southern Coalfields,WV
WV-7,20045,4.368553255175854,2,Randolph-Pocahontas,WV
