region_code,total_weight,pct_hs_or_higher,num_counties,region_name,state
DC-1,484596,92.7,1,District of Columbia,DC
KY-1,323375,91.78466266718208,9,Northern Kentucky,KY
KY-10,108255,82.27237873539327,4,East Central,KY
KY-2,535579,90.73711637312144,15,Bluegrass,KY
KY-3,740280,91.114503660777,8,Louisville Metro,KY
KY-4,299998,78.41638727591518,21,Eastern Mountains,KY
KY-5,184193,84.18003387750892,14,Northeast,KY
KY-6,397284,86.22502889620525,22,South Central,KY
KY-7,175376,86.75378837469208,12,Pennyrile,KY
KY-8,135340,91.05973769765036,8,Purchase,KY
KY-9,167429,89.0431600260409,7,Western,KY
MD-1,177612,89.25298988807064,3,Western Maryland,MD
MD-2,1527710,91.46848111225297,5,Central Maryland,MD
MD-3,1572836,89.77977787258176,3,Capital Region,MD
MD-4,661980,93.59161306988128,4,Southern Maryland,MD
MD-5,173687,90.95198241664603,5,Upper Eastern Shore,MD
MD-6,146270,89.34075661448006,4,Lower Eastern Shore,MD
NC-1,280269,89.81560597140604,14,Western Mountains,NC
NC-10,604061,92.26830551881349,15,Coast,NC
NC-2,287263,91.96005037195879,2,Asheville Metro,NC
NC-3,621105,85.67659307202486,13,Western Piedmont,NC
NC-4,1495004,90.22237870266568,7,Charlotte Metro,NC
NC-5,1097207,88.1854584504109,9,Triad,NC
NC-6,1302674,92.21391122414356,9,Triangle,NC
NC-7,532916,89.35575100015762,9,Sandhills,NC
NC-8,442191,86.32666899597686,8,Eastern Piedmont,NC
NC-9,509422,85.0031566756049,14,Coastal Plain,NC
TN-1,373576,88.36323082853288,8,First Tennessee,TN
TN-2,884354,88.9453568932803,16,Knoxville Metro,TN
TN-3,499529,88.2385282536149,11,Southeast Tennessee,TN
TN-4,262932,85.07640195944198,15,Upper Cumberland,TN
TN-5,1417046,91.7138866063628,13,Nashville Metro,TN
TN-6,263063,88.08416459175179,10,South Central,TN
TN-7,354588,87.1330777409275,16,Northwest Tennessee,TN
TN-8,642305,89.67043410840644,2,Memphis Metro,TN
TN-9,61319,83.46599814086987,4,Southern Middle Tennessee,TN
VA-1,135512,82.0683442794734,8,Southwest Virginia,VA
VA-10,1181062,92.52551304673251,16,Hampton Roads,VA
VA-11,33500,83.0130519402985,2,Eastern Shore,VA
VA-2,250691,89.47834736787519,13,New River Valley & Highlands,VA
VA-3,294753,84.03450475482862,16,Southside & Danville,VA
VA-4,228008,91.21441357320795,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,348087,88.19475381154712,12,Shenandoah Valley,VA
VA-6,404953,90.85390672497797,14,Charlottesville-Central Virginia,VA
VA-7,992295,91.52595942738803,16,Richmond Metro,VA
VA-8,1874000,92.96761570971185,11,Northern Virginia,VA
VA-9,176281,88.59256669748866,14,Rappahannock,VA
WV-1,100587,91.94982671717021,5,Northern Panhandle,WV
WV-2,210246,90.21278497569514,8,North Central,WV
WV-3,198548,89.94216008219675,8,Eastern Panhandle,WV
WV-4,221690,88.46122734449004,11,Central,WV
WV-5,219727,90.30036795660068,8,Western,WV
WV-6,294204,83.70926567959647,13,Southern Coalfields,WV
WV-7,26527,86.66318694160668,2,Randolph-Pocahontas,WV
