region_code,region_name,state,pct_knowledge_workers
DC-1,District of Columbia,DC,52.97
KY-1,Northern Kentucky,KY,40.89985417700579
KY-10,East Central,KY,37.67480345773259
KY-2,Bluegrass,KY,42.17304505165198
KY-3,Louisville Metro,KY,42.59518738202342
KY-4,Eastern Mountains,KY,41.66359990107364
KY-5,Northeast,KY,38.59387293350432
KY-6,South Central,KY,34.85563589974833
KY-7,Pennyrile,KY,33.393629770282566
KY-8,Purchase,KY,38.15782855610234
KY-9,Western,KY,36.52932449459855
MD-1,Western Maryland,MD,39.69769719070773
MD-2,Central Maryland,MD,50.52242402715717
MD-3,Capital Region,MD,48.6192952909111
MD-4,Southern Maryland,MD,42.72766058910619
MD-5,Upper Eastern Shore,MD,40.067393182909264
MD-6,Lower Eastern Shore,MD,40.996195058647366
NC-1,Western Mountains,NC,39.44012256626789
NC-10,Coast,NC,41.6376149937376
NC-2,Asheville Metro,NC,40.86522750312439
NC-3,Western Piedmont,NC,32.52380417565857
NC-4,Charlotte Metro,NC,45.116865991902834
NC-5,Triad,NC,41.07143023988606
NC-6,Triangle,NC,52.953362229058136
NC-7,Sandhills,NC,37.43975720679608
NC-8,Eastern Piedmont,NC,37.25832679918696
NC-9,Coastal Plain,NC,37.71356598128462
TN-1,First Tennessee,TN,39.49094557350602
TN-2,Knoxville Metro,TN,40.08993913137621
TN-3,Southeast Tennessee,TN,38.504274604046785
TN-4,Upper Cumberland,TN,32.638104152826
TN-5,Nashville Metro,TN,44.52858833132714
TN-6,South Central,TN,35.19160582566398
TN-7,Northwest Tennessee,TN,34.3181725494137
TN-8,Memphis Metro,TN,39.8931653014541
TN-9,Southern Middle Tennessee,TN,31.122592952317362
VA-1,Southwest Virginia,VA,39.27896925599834
VA-10,Hampton Roads,VA,44.333986975505255
VA-11,Eastern Shore,VA,32.219151728057035
VA-2,New River Valley & Highlands,VA,41.34489331445381
VA-3,Southside & Danville,VA,38.12052054433346
VA-4,Roanoke Valley & Alleghany Highlands,VA,44.38121065663855
VA-5,Shenandoah Valley,VA,39.25255600773305
VA-6,Charlottesville-Central Virginia,VA,47.19634852588848
VA-7,Richmond Metro,VA,46.34500535457428
VA-8,Northern Virginia,VA,52.28908401498693
VA-9,Rappahannock,VA,39.93405733897605
WV-1,Northern Panhandle,WV,40.646243118181516
WV-2,North Central,WV,45.562474419267495
WV-3,Eastern Panhandle,WV,37.33396694589088
WV-4,Central,WV,43.041788364658416
WV-5,Western,WV,42.51466581262801
WV-6,Southern Coalfields,WV,41.20958377125416
WV-7,Randolph-Pocahontas,WV,39.51196103699212
