region_code,total_weight,pct_non_white,num_counties,region_name,state
DC-1,670587,60.39,1,District of Columbia,DC
KY-1,477272,10.399512667828827,9,Northern Kentucky,KY
KY-10,154727,3.9642266055698103,4,East Central,KY
KY-2,805409,17.765621342696694,15,Bluegrass,KY
KY-3,1068385,26.35169219897322,8,Louisville Metro,KY
KY-4,429639,4.6131320015175525,21,Eastern Mountains,KY
KY-5,267313,5.486397032692013,14,Northeast,KY
KY-6,594761,13.443291927345607,22,South Central,KY
KY-7,264096,15.50329989852175,12,Pennyrile,KY
KY-8,196820,12.312998120109745,8,Purchase,KY
KY-9,244513,10.597719057882403,7,Western,KY
MD-1,251662,16.874385286614586,3,Western Maryland,MD
MD-2,2201580,47.323082672444336,5,Central Maryland,MD
MD-3,2287928,63.79767424936449,3,Capital Region,MD
MD-4,962202,36.0066244302132,4,Southern Maryland,MD
MD-5,244464,18.01985944760783,5,Upper Eastern Shore,MD
MD-6,213871,34.110609573060394,4,Lower Eastern Shore,MD
NC-1,390909,10.169501623139912,14,Western Mountains,NC
NC-10,876002,23.020976812838327,15,Coast,NC
NC-2,385918,14.278836799527362,2,Asheville Metro,NC
NC-3,868161,16.668014584852347,13,Western Piedmont,NC
NC-4,2208509,39.55248545964721,7,Charlotte Metro,NC
NC-5,1610658,35.793501121901734,9,Triad,NC
NC-6,1911144,40.26660072187129,9,Triangle,NC
NC-7,812266,44.46642012591934,9,Sandhills,NC
NC-8,647204,44.96901667789445,8,Eastern Piedmont,NC
NC-9,759443,46.970178854765926,14,Coastal Plain,NC
TN-1,518378,7.598638155940259,8,First Tennessee,TN
TN-2,1262694,11.838942016038724,16,Knoxville Metro,TN
TN-3,709337,19.29754834443995,11,Southeast Tennessee,TN
TN-4,373741,8.120410284127242,15,Upper Cumberland,TN
TN-5,2105705,27.784307407732804,13,Nashville Metro,TN
TN-6,382868,13.830266462592851,10,South Central,TN
TN-7,516321,24.951212462789623,16,Northwest Tennessee,TN
TN-8,968668,62.00428340773103,2,Memphis Metro,TN
TN-9,86060,20.31322600511271,4,Southern Middle Tennessee,TN
VA-1,184086,5.5208468324587425,8,Southwest Virginia,VA
VA-10,1746362,44.79681196109397,16,Hampton Roads,VA
VA-11,45499,38.594568671838935,2,Eastern Shore,VA
VA-2,368341,9.808807789521122,13,New River Valley & Highlands,VA
VA-3,409220,35.75179091930991,16,Southside & Danville,VA
VA-4,321586,20.997976964171325,11,Roanoke Valley & Alleghany Highlands,VA
VA-5,507173,14.968849150092769,12,Shenandoah Valley,VA
VA-6,589168,23.6290675834397,14,Charlottesville-Central Virginia,VA
VA-7,1431547,40.881199813907614,16,Richmond Metro,VA
VA-8,2770137,43.793183694524856,11,Northern Virginia,VA
VA-9,251392,30.76924357179226,14,Rappahannock,VA
WV-1,138420,6.4016217309637335,5,Northern Panhandle,WV
WV-2,308973,8.66676204716917,8,North Central,WV
WV-3,280234,12.456968997337938,8,Eastern Panhandle,WV
WV-4,307182,9.95061761431334,11,Central,WV
WV-5,313405,6.036080119972559,8,Western,WV
WV-6,408808,7.539267553472535,13,Southern Coalfields,WV
WV-7,35945,7.700247600500766,2,Randolph-Pocahontas,WV
