region_code,total_weight,pct_nonfarm_income,num_counties,region_name,state
DC-1,67776148,32.84,1,District of Columbia,DC
KY-1,29539483,10.567880550583773,9,Northern Kentucky,KY
KY-10,6702948,9.783227095003571,4,East Central,KY
KY-2,44284053,12.153879876803508,15,Bluegrass,KY
KY-3,67113027,11.94111163187439,8,Louisville Metro,KY
KY-4,16989647,8.494371665285335,21,Eastern Mountains,KY
KY-5,11185321,9.764884695754372,14,Northeast,KY
KY-6,27514292,11.210127091767436,22,South Central,KY
KY-7,12085131,17.83566484715805,12,Pennyrile,KY
KY-8,10368775,10.650407694255106,8,Purchase,KY
KY-9,11998654,9.696128042362085,7,Western,KY
MD-1,13001958,10.657413520332861,3,Western Maryland,MD
MD-2,154577723,11.53264401740476,5,Central Maryland,MD
MD-3,171806169,10.695669287055694,3,Capital Region,MD
MD-4,72188054,12.730678903049528,4,Southern Maryland,MD
MD-5,16766676,7.418545454686427,5,Upper Eastern Shore,MD
MD-6,11400704,10.76508886731907,4,Lower Eastern Shore,MD
NC-1,18910366,7.774011324794031,14,Western Mountains,NC
NC-10,52323721,9.834166960526373,15,Coast,NC
NC-2,23526103,9.152974763818724,2,Asheville Metro,NC
NC-3,43641229,8.56733112167854,13,Western Piedmont,NC
NC-4,154283696,10.746503465084217,7,Charlotte Metro,NC
NC-5,87696226,9.690022235278402,9,Triad,NC
NC-6,139678997,11.056926756497257,9,Triangle,NC
NC-7,40127605,13.342307488573017,9,Sandhills,NC
NC-8,32398171,8.708700658132832,8,Eastern Piedmont,NC
NC-9,37972719,10.464295762702692,14,Coastal Plain,NC
TN-1,25059669,9.987087375336042,8,First Tennessee,TN
TN-2,71464507,9.444062605511292,16,Knoxville Metro,TN
TN-3,39163967,10.803407189317669,11,Southeast Tennessee,TN
TN-4,17081348,7.810644155250511,15,Upper Cumberland,TN
TN-5,160026524,9.086824740191194,13,Nashville Metro,TN
TN-6,19165030,8.467869802447478,10,South Central,TN
TN-7,24501103,9.35765592144974,16,Northwest Tennessee,TN
TN-8,57472465,12.12680432568883,2,Memphis Metro,TN
TN-9,3434708,8.190844345429074,4,Southern Middle Tennessee,TN
VA-1,6076299,8.18986802821915,6,Southwest Virginia,VA
VA-10,88230806,14.591076067241188,10,Hampton Roads,VA
VA-11,2606696,10.395038800074884,2,Eastern Shore,VA
VA-2,6702418,9.701186810491379,7,New River Valley & Highlands,VA
VA-3,10219925,8.376473102297718,10,Southside & Danville,VA
VA-4,7723610,14.056674293497473,4,Roanoke Valley & Alleghany Highlands,VA
VA-5,7294604,6.208629234705544,5,Shenandoah Valley,VA
VA-6,15978396,5.377034368781447,10,Charlottesville-Central Virginia,VA
VA-7,82964859,10.532485602850238,10,Richmond Metro,VA
VA-8,102583354,10.766642855038643,5,Northern Virginia,VA
VA-9,13256140,8.058395191963875,13,Rappahannock,VA
WV-1,7356006,10.293349749850668,5,Northern Panhandle,WV
WV-2,16173085,12.273273027378512,8,North Central,WV
WV-3,15027473,7.4343039238866035,8,Eastern Panhandle,WV
WV-4,15241433,11.558017766439677,11,Central,WV
WV-5,16156172,10.771096033144484,8,Western,WV
WV-6,17324050,8.738258662379755,13,Southern Coalfields,WV
WV-7,1660685,9.531963177845286,2,Randolph-Pocahontas,WV
